subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,tType_study,correctDirection,eyes_1,eyes_2,eyePresent,RoboRT
14,1496309010,1,2211199.39750958,2211212.3256127,OK,8,LeftArrow,12.8868789919652,2,\LEFT,1,0,left,3
14,1496309010,2,2211216.06794813,2211230.38691778,OK,10,RightArrow,14.215403302107,3,\RIGHT,0,1,right,3
14,1496309010,3,2211232.90851507,2211238.82222764,OK,1,LeftArrow,5.80649055121467,1,\LEFT,0,1,right,3
14,1496309010,4,2211241.69400916,2211252.11056678,OK,2,LeftArrow,10.3641772456467,2,\LEFT,1,0,left,3
14,1496309010,5,2211254.2818917,2211262.39699101,OK,5,LeftArrow,8.00774176651612,2,\LEFT,1,0,left,3
14,1496309010,6,2211265.10868507,2211275.02490538,OK,12,RightArrow,9.8362976196222,3,\RIGHT,0,1,right,3
14,1496309010,7,2211276.78601749,2211278.69720088,OK,2,RightArrow,1.86282300995663,4,\RIGHT,1,0,left,3
14,1496309010,8,2211280.96864144,2211284.98115691,OK,8,RightArrow,3.9038258777,4,\RIGHT,1,0,left,3
14,1496309010,9,2211286.72224964,2211288.83361541,OK,3,LeftArrow,2.02205232251436,2,\LEFT,1,0,left,3
14,1496309010,10,2211291.1750491,2211296.4883712,OK,9,RightArrow,5.24083389388397,4,\RIGHT,1,0,left,3
14,1496309010,11,2211302.79232337,2211305.00366502,OK,9,LeftArrow,2.11914224829525,2,\LEFT,1,0,left,3
14,1496309010,12,2211306.78482339,2211313.49902307,OK,4,RightArrow,6.67015812825412,3,\RIGHT,0,1,right,3
14,1496309010,13,2211315.6804016,2211319.19259214,OK,8,RightArrow,3.45433918386698,3,\RIGHT,0,1,right,3
14,1496309010,14,2211321.2639134,2211325.97685831,OK,6,LeftArrow,4.65445454930887,2,\LEFT,1,0,left,3
14,1496309010,15,2211328.05810219,2211330.36960777,OK,6,RightArrow,2.26803149702027,4,\RIGHT,1,0,left,3
14,1496309010,16,2211331.87053821,2211335.58286132,OK,0,RightArrow,3.64732885221019,3,\RIGHT,0,1,right,3
14,1496309010,17,2211336.9737339,2211340.08569762,OK,0,LeftArrow,3.05583833577111,1,\LEFT,0,1,right,3
14,1496309010,18,2211341.54659865,2211345.45904226,OK,0,LeftArrow,3.83470718888566,1,\LEFT,0,1,right,3
14,1496309010,19,2211347.09008617,2211355.10511633,OK,2,LeftArrow,7.95471785031259,2,\LEFT,1,0,left,3
14,1496309010,20,2211356.7361195,2211365.45158664,OK,2,LeftArrow,8.69214495038614,1,\LEFT,0,1,right,3
14,1496309010,21,2211370.22458669,2211374.63734648,OK,1,RightArrow,4.33918765140697,3,\RIGHT,0,1,right,3
14,1496309010,22,2211376.65861128,2211379.27024524,OK,6,RightArrow,2.56095297867432,4,\RIGHT,1,0,left,3
14,1496309010,23,2211381.41127531,2211383.12267567,OK,7,LeftArrow,1.64004377974197,2,\LEFT,1,0,left,3
14,1496309010,24,2211385.92441304,2211393.63925747,OK,12,LeftArrow,7.66239372361451,2,\LEFT,1,0,left,3
14,1496309010,25,2211395.88066306,2211397.69178968,OK,9,RightArrow,1.74592740787193,4,\RIGHT,1,0,left,3
14,1496309010,26,2211400.02326212,2211404.13585249,OK,9,LeftArrow,4.05894645210356,1,\LEFT,0,1,right,3
14,1496309010,27,2211406.17710649,2211408.18836779,OK,6,LeftArrow,1.96093891235068,1,\LEFT,0,1,right,3
14,1496309010,28,2211410.30940141,2211416.62366618,OK,6,LeftArrow,6.24411859083921,1,\LEFT,0,1,right,3
14,1496309010,29,2211418.96513187,2211422.77752564,OK,9,RightArrow,3.73218100285158,3,\RIGHT,0,1,right,3
14,1496309010,30,2211424.66870625,2211426.78002462,OK,4,RightArrow,2.02035111421719,3,\RIGHT,0,1,right,3
14,1496309010,31,2211430.85256445,2211432.46360165,OK,8,LeftArrow,1.52413491439074,1,\LEFT,0,1,right,3
14,1496309010,32,2211434.77503932,2211438.2872537,OK,9,LeftArrow,3.41742060426623,2,\LEFT,1,0,left,3
14,1496309010,33,2211441.44920839,2211446.46235533,OK,8,RightArrow,4.92678102431819,3,\RIGHT,0,1,right,3
14,1496309010,34,2211449.01396404,2211452.72629378,OK,11,RightArrow,3.60966863576323,4,\RIGHT,1,0,left,3
14,1496309010,35,2211456.0583666,2211458.26978493,OK,9,RightArrow,2.11700970027596,3,\RIGHT,0,1,right,3
14,1496309010,36,2211460.19097363,2211465.1040484,OK,5,RightArrow,4.8399279313162,4,\RIGHT,1,0,left,3
14,1496309010,37,2211466.58500745,2211473.89956561,OK,1,LeftArrow,7.30143597582355,1,\LEFT,0,1,right,3
14,1496309010,38,2211475.63064186,2211478.54246426,OK,3,LeftArrow,2.82366080395877,1,\LEFT,0,1,right,3
14,1496309010,39,2211480.05340907,2211484.76635942,OK,1,RightArrow,4.67260006908327,4,\RIGHT,1,0,left,3
14,1496309010,40,2211486.27731812,2211488.08844624,OK,1,RightArrow,1.78447897778824,4,\RIGHT,1,0,left,3
