subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,list,tType_study,trial_test,item_test,pair_test,tType_test,gonogo_answer,name,name_test,roboBCFS_1,roboBCFS_2,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,response_cue,rt_cue,RoboRT_cue,response_noise,rt_noise,RoboRT_noise
4,231331523,1,12185488.6071727,12185626.3739264,12185493.5202539,12185631.2870888,OK,OK,4,9,NO RESPONSE,NO RESPONSE,NaN,NaN,50,80,1,Binocular,3,141,155,Not Studied,go,dresser,purse,z,z,1,1,12185782.6524434,12185803.0049554,12185806.4074244,12185811.320527,Return,OK,1,1,1,,,0.1,0.1,NO RESPONSE,20.3361863065511,1,NO RESPONSE,NaN,1
4,231331523,2,12185499.6240922,12185633.7082971,12185504.5371927,12185639.6223186,OK,OK,0,0,f,f,4.842584438622,5.85607616789639,61,121,1,Not Studied,10,85,25,Binocular,go,glass,foot stool,f,f,0,0,12185815.282981,12185832.6936478,12185836.0160553,12185837.7271415,Return,Return,6,1,1,,,0.1,0.1,handle,17.3922320473939,1,Return,1.60295527987182,1
4,231331523,3,12185512.7123277,12185642.3240309,12185518.1257664,12185647.9375684,OK,OK,0,0,f,f,5.34574886970222,5.55198904499412,85,25,1,Not Studied,2,50,80,Not Studied,go,foot stool,dresser,f,f,0,0,12185841.7296743,12185849.0940056,12185852.2463172,12185853.7572703,Return,Return,7,1,1,,,0.1,0.1,drawer,7.34477842599154,1,Return,1.48406103439629,1
4,231331523,4,12185526.451008,12185651.3997478,12185531.4641623,12185654.4116382,OK,OK,9,6,j,j,4.94246191903949,2.92394229955971,184,181,1,CFS,9,8,153,CFS,go,mailbox,bed,j,j,0,1,12185856.1287665,12185864.6137853,12185866.8855447,12185868.2964347,Return,Return,4,1,1,1,2,0.1,0.1,bed,8.47293006442487,1,Return,1.34015048295259,1
4,231331523,5,12185541.2903545,12185661.8363138,12185544.7025231,12185665.9489124,OK,OK,1,9,j,f,3.39046200551093,4.00682691112161,8,153,1,CFS,4,56,99,Binocular,nogo,bed,clothes pin,j,j,0,1,12185870.607854,12185891.5907911,12185897.3847725,12185902.2978745,Return,OK,4,1,1,3,,0.1,0.1,clothespin,20.968607744202,1,NO RESPONSE,NaN,1
4,231331523,6,12185555.9292609,12185670.3016678,12185560.8426777,12185675.2147408,OK,OK,0,6,NO RESPONSE,NO RESPONSE,NaN,NaN,53,23,1,Binocular,7,143,128,CFS,go,floss,high heel,z,z,1,1,12185904.5792955,12185924.0712698,12185926.5932095,12185930.6057166,Return,Return,0,1,1,,,0.1,0.1,belt,19.4756255745888,1,Return,3.94956351257861,1
4,231331523,7,12185565.4655755,12185677.6062204,12185570.4787494,12185681.4186686,OK,OK,3,2,j,j,4.91006420738995,3.72420212998986,32,122,1,CFS,8,53,23,Not Studied,nogo,chain,floss,j,j,0,1,12185932.8271271,12185948.8569026,12185951.5589234,12185956.4720134,Return,OK,9,1,1,3,3,0.1,0.1,dental floss,16.0106685366482,1,NO RESPONSE,NaN,1
4,231331523,8,12185577.6632652,12185687.572544,12185584.5776341,12185694.2867879,OK,OK,0,0,f,f,6.82370350696146,6.66929979249835,153,8,1,Not Studied,11,32,122,CFS,go,knife,chain,f,f,0,0,12185958.5933568,12185965.6474755,12185968.3995431,12185972.6121937,Return,Return,2,1,1,,,0.1,0.1,chain,7.03564983047545,1,Return,4.1412760168314,1
4,231331523,9,12185588.600159,12185697.3687183,12185593.5132649,12185702.2818149,OK,OK,9,5,NO RESPONSE,NO RESPONSE,NaN,NaN,56,99,1,Binocular,5,184,181,Binocular,go,clothes pin,mailbox,z,z,1,1,12185974.7135224,12185985.3999467,12185987.2614359,12185989.672951,Return,Return,1,1,1,,,0.1,0.1,drawer,10.674535356462,1,Return,2.39055980555713,1
4,231331523,10,12185599.6771385,12185704.8134108,12185603.68967,12185709.7265061,OK,OK,10,5,f,f,4.00084849633276,4.8996256776154,143,128,1,CFS,6,61,121,Binocular,go,high heel,glass,j,j,0,1,12185992.2245443,12186005.102362,12186007.8844391,12186009.2953308,Return,Return,8,1,1,,,0.1,0.1,cup,12.8665856290609,1,Return,1.37462551891804,1
