subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType,swap,trial_test,item_test,pair_test,tType_test,swap_test,name_test,roboBCFS_1,roboBCFS_2,mm_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_cue,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,meanRoboRT_cue,response_noise,rt_noise,RoboRT_noise,meanRoboRT_noise
11,945153347,1,343484.199558211,343642.702285679,343489.108230664,343644.910769444,OK,OK,9,4,j,j,4.88743950572098,2.1998848648509,127,138,can opener,1,CFS,match,12,40,88,BINOCULAR,mismatch,cookie cutter,j,j,q,1,0,343904.428872188,343954.390320829,343958.224300954,343966.333194308,OK,OK,8,9,0.5,0.5,3#,2@,3.95485705947195,0.875371782254839,2.34671662001737,2.34671662001737,car,49.9440188529552,2,NaN,q,8.01993944949936,2,NaN
11,945153347,2,343499.517292796,343650.452826523,343503.925931311,343654.761457144,OK,OK,2,3,NO RESPONSE,NO RESPONSE,NaN,NaN,5,49,basket,1,BINOCULAR,match,5,64,107,BINOCULAR,match,watch,z,z,p,1,1,343969.966787798,343974.825107782,343978.767403201,343988.376407776,OK,OK,7,1,1,1,,,0,0,NaN,NaN,clock,4.83697646146175,2,NaN,q,9.55570802063448,2,NaN
11,945153347,3,343507.659521377,343657.236632412,343511.268103199,343661.545259895,OK,OK,10,3,NO RESPONSE,NO RESPONSE,NaN,NaN,170,172,notebook,1,BINOCULAR,mismatch,3,170,172,BINOCULAR,mismatch,notebook,z,z,q,1,1,343992.11000914,344037.637853465,344044.538683857,344051.047469855,OK,OK,5,8,1,1,,,0,0,NaN,NaN,question mark,45.5062478568289,2,NaN,q,6.42090743174776,2,NaN
11,945153347,4,343516.968510121,343665.687217542,343520.377077256,343667.39566734,OK,OK,6,7,j,j,3.36474131146679,1.64583618135657,171,173,binky,1,CFS,match,7,159,162,NOT STUDIED,match,crowbar,j,j,p,1,0,344054.547718267,344113.976524239,344115.993693434,344124.502613462,OK,OK,7,3,0.5,0.5,2@,2@,4.21702829464976,3.65634735141442,2.34671662001737,2.34671662001737,basket,59.4162721233442,2,NaN,p,8.41776566172484,2,NaN
11,945153347,5,343526.810859646,343673.046067316,343530.419448861,343676.954671111,OK,OK,10,7,NO RESPONSE,NO RESPONSE,NaN,NaN,64,107,watch,1,BINOCULAR,match,6,115,118,CFS,mismatch,pot,z,z,q,1,1,344127.286144978,344131.427774167,344134.103296379,344137.811887901,OK,OK,7,4,1,1,,,0,0,NaN,NaN,NO RESPONSE,4.116863641073,2,NaN,p,3.61945727607235,2,NaN
11,945153347,6,343535.728149491,343684.355191604,343539.03670996,343686.26365308,OK,OK,8,10,j,j,3.24404537206283,1.84081926138606,115,118,pot,1,CFS,mismatch,4,171,173,CFS,match,binky,j,j,p,1,0,344140.70375643,344145.99545571,344149.704390158,344153.112961355,OK,OK,9,2,0.5,0.5,2@,3#,2.25889604261877,4.66816663329185,2.34671662001737,2.34671662001737,NO RESPONSE,5.27445422165329,2,NaN,p,3.3775296061649,2,NaN
11,945153347,7,343547.362293884,343692.172405498,343555.571201129,343703.88155392,OK,OK,0,0,f,f,8.12102596182376,11.6865998780704,159,162,crowbar,1,NOT STUDIED,match,9,3,6,CFS,mismatch,balloon,f,f,q,0,0,344156.129839513,344158.954678143,344161.696899546,344167.105606287,OK,OK,5,3,0,0,,,0,0,NaN,NaN,NO RESPONSE,2.80765182769392,2,NaN,p,5.36819532909431,2,NaN
11,945153347,8,343559.629819134,343706.806751835,343576.839355718,343715.91572364,OK,OK,0,0,f,f,17.1802727211034,9.0355910443468,78,98,sweater,1,NOT STUDIED,match,1,127,138,CFS,match,can opener,f,f,p,0,0,344170.672528212,344174.397431412,344176.931295859,344182.239993668,OK,OK,3,8,0,0,,,0,0,NaN,NaN,NO RESPONSE,3.70406677894061,2,NaN,q,5.28497218486154,2,NaN
11,945153347,9,343580.981312162,343719.507640676,343583.089783823,343720.91606624,OK,OK,5,6,j,j,2.08436738845194,1.39038612763397,3,6,balloon,1,CFS,mismatch,8,78,98,NOT STUDIED,match,sweater,j,j,p,1,0,344185.040199576,344188.331755786,344191.023948505,344194.23250124,OK,OK,1,5,0.5,0.5,2@,3#,2.65557183215603,3.79166741323767,2.34671662001737,2.34671662001737,NO RESPONSE,3.27165279490873,2,NaN,p,3.19167690869654,2,NaN
11,945153347,10,343589.056873849,343725.349716723,343610.566707703,343735.658769028,OK,OK,0,0,f,f,21.4793689366197,10.2355307405232,100,124,satellite,1,NOT STUDIED,mismatch,2,5,49,BINOCULAR,match,basket,f,f,p,0,0,344196.090972942,344198.649144916,344201.157997488,344205.966657727,OK,OK,6,7,0,0,,,0,0,NaN,NaN,NO RESPONSE,2.54027462622616,2,NaN,p,4.73700813972391,2,NaN
