subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType_study,trial_test,item_test,pair_test,tType_test,name_test,roboBCFS_1,roboBCFS_2,gonogo_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_cue,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,meanRoboRT_cue,response_noise,rt_noise,RoboRT_noise,meanRoboRT_noise
196,1109181412,1,1983626.61921152,1983680.55625778,1983626.73588711,1983680.67293005,OK,OK,0,0,f,f,0.104715413181111,0.104436666937545,90,57,speakers,1,Not Studied,3,122,32,Not Studied,lure,f,f,go,0,0,1983741.16044325,1983741.17711563,1983742.55220894,1983744.96904018,OK,OK,1,4,0,0,,,0,0,NaN,NaN,NO RESPONSE,0.00592212681658566,2,NaN,Return,2.40592352603562,2,NaN
196,1109181412,2,1983629.1360462,1983682.37305109,1983632.95298766,1983686.89003004,OK,OK,8,1,NO RESPONSE,NO RESPONSE,NaN,NaN,124,100,magnifying glass,1,Binocular,2,124,100,Binocular,magnifying glass,z,z,nogo,1,1,1983746.26080041,1983746.27746495,1983747.63589046,1983752.35288834,OK,OK,7,0,1,1,,,0,0,NaN,NaN,NO RESPONSE,0.00601806049235165,2,NaN,NO RESPONSE,NaN,2,NaN
196,1109181412,3,1983634.41975094,1983688.35679399,1983634.53642986,1983688.47347379,OK,OK,0,0,f,f,0.104507050244138,0.104488087352365,145,15,router,1,Not Studied,12,90,57,Not Studied,speakers,f,f,go,0,0,1983753.65297493,1983753.66964359,1983755.03640077,1983757.05321127,OK,OK,6,0,0,0,,,0,0,NaN,NaN,NO RESPONSE,0.00601468700915575,2,NaN,Return,2.00586580601521,2,NaN
196,1109181412,4,1983637.13660236,1983690.37360608,1983640.75351493,1983694.6905595,OK,OK,10,3,NO RESPONSE,NO RESPONSE,NaN,NaN,122,32,lure,1,Binocular,1,28,137,Binocular,candle,z,z,go,1,1,1983758.34496604,1983758.36163618,1983759.72839324,1983762.44525161,OK,OK,9,8,1,1,,,0,0,NaN,NaN,NO RESPONSE,0.00601461599580944,2,NaN,Return,2.70588631182909,2,NaN
196,1109181412,5,1983643.02034219,1983696.25734277,1983646.83726443,1983700.77432346,OK,OK,8,1,NO RESPONSE,NO RESPONSE,NaN,NaN,29,86,candlestick,1,Binocular,6,74,58,Not Studied,wheel,z,z,nogo,1,1,1983763.74534037,1983763.76200825,1983765.12043754,1983769.83742301,OK,OK,3,1,1,1,,,0,0,NaN,NaN,NO RESPONSE,0.00593167939223349,2,NaN,NO RESPONSE,NaN,2,NaN
196,1109181412,6,1983648.80406849,1983703.14115286,1983653.02102348,1983707.65812868,OK,OK,5,9,j,j,4.20498960767873,4.50496574607678,28,137,candle,1,CFS,4,29,86,Not Studied,candlestick,j,j,go,1,0,1983771.12917866,1983771.14585321,1983772.51261798,1983775.02944595,OK,OK,3,5,0.343644639395486,0.361263676821036,2@,2@,3.69663742684445,3.65862243752685,2.56660933584118,2.53584153123231,NO RESPONSE,0.00604165764525533,2,NaN,Return,2.50589241273701,2,NaN
196,1109181412,7,1983654.76281942,1983709.39991774,1983654.87948802,1983709.51659006,OK,OK,0,0,f,f,0.104600214399397,0.104530114913359,50,80,dresser,1,Not Studied,8,19,189,CFS,necklace,f,f,go,0,0,1983776.32121082,1983776.33787308,1983777.70464123,1983779.72144663,OK,OK,8,0,0,0,,,0,0,NaN,NaN,NO RESPONSE,0.00598679296672344,2,NaN,Return,2.00585778057575,2,NaN
196,1109181412,8,1983656.47960238,1983711.11670193,1983656.5962734,1983711.23337736,OK,OK,0,0,f,f,0.104514667531475,0.10451457859017,74,58,wheel,1,Not Studied,5,50,80,Binocular,dresser,f,f,go,0,0,1983781.02153738,1983781.03820321,1983782.40496563,1983784.92179985,OK,OK,6,6,0,0,,,0,0,NaN,NaN,NO RESPONSE,0.00593784055672586,2,NaN,Return,2.50582714308985,2,NaN
196,1109181412,9,1983658.49640518,1983713.43353394,1983663.41341417,1983718.65055603,OK,OK,3,6,j,j,4.90494147036225,5.20497242058627,135,117,earring,1,CFS,9,135,117,CFS,earring,j,j,go,1,0,1983786.21355653,1983786.23022542,1983787.59699181,1983790.41384648,OK,OK,2,9,0.399258109379689,0.402120162467704,2@,2@,4.61027114087632,4.62287927014932,2.47567332099695,2.47144426805551,NO RESPONSE,0.0059783945325762,2,NaN,Return,2.80583811807446,2,NaN
196,1109181412,10,1983665.45522368,1983720.59235831,1983669.77218221,1983725.00933004,OK,OK,3,2,NO RESPONSE,NO RESPONSE,NaN,NaN,2,187,backpack,1,Binocular,11,62,123,Binocular,watering pot,z,z,go,1,1,1983791.70560304,1983791.72226994,1983793.08903338,1983795.30585375,OK,OK,4,2,1,1,,,0,0,NaN,NaN,NO RESPONSE,0.00602668966166675,2,NaN,Return,2.2058627945371,2,NaN
196,1109181412,11,1983671.93899974,1983727.27615258,1983673.55578299,1983732.9932179,OK,OK,7,8,j,j,1.60475206910633,5.70509222685359,19,189,necklace,1,CFS,7,2,187,CFS,backpack,j,j,nogo,1,0,1983796.60560938,1983796.62225739,1983797.98071476,1983802.69803468,OK,OK,0,9,0.463871743164276,0.447597241123015,2@,2@,0.995867112558687,4.98963268848456,2.38873871979792,2.4090840040464,NO RESPONSE,0.00578849855810404,2,NaN,NO RESPONSE,NaN,2,NaN
196,1109181412,12,1983675.99761164,1983734.93501496,1983678.81446928,1983737.25184127,OK,OK,7,2,j,j,2.80481906840578,2.30488036968745,62,123,watering pot,1,CFS,10,145,15,CFS,router,j,j,go,1,0,1983803.98978942,1983804.00645584,1983805.3732165,1983808.09007349,OK,OK,3,8,0.409365376538991,0.498217470697022,2@,2@,2.19909240514538,2.11449438918206,2.46091119824717,2.34869630532371,NO RESPONSE,0.00589568866416812,2,NaN,Return,2.70584568707272,2,NaN
196,1109181412,13,1983809.95686763,NaN,1983810.0735355,NaN,OK,EMPTY,0,0,f,,0.104675427079201,NaN,32,122,chain,2,Not Studied,16,112,37,Not Studied,rake,f,f,go,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,5,2,0,NaN,,,0,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
196,1109181412,14,1983812.27369278,NaN,1983813.18208954,NaN,ESCAPE,EMPTY,6,2,ESCAPE,,0.816726053832099,NaN,125,111,cork screw,2,CFS,14,125,111,Binocular,cork screw,j,j,nogo,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,10,7,0.453632169290192,NaN,,,2.19316537758147,NaN,2.40142896596719,NaN,,NaN,2,NaN,,NaN,2,NaN
196,1109181412,15,NaN,NaN,NaN,NaN,EMPTY,EMPTY,1,3,,,NaN,NaN,37,112,comb,2,CFS,18,34,4,Not Studied,chess board,j,j,go,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,3,3,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
196,1109181412,16,NaN,NaN,NaN,NaN,EMPTY,EMPTY,10,5,,,NaN,NaN,100,124,satellite,2,CFS,23,32,122,Binocular,chain,j,j,go,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,6,7,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
196,1109181412,17,NaN,NaN,NaN,NaN,EMPTY,EMPTY,1,0,,,NaN,NaN,112,37,rake,2,Binocular,13,71,20,Not Studied,truck,z,z,nogo,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,6,7,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
196,1109181412,18,NaN,NaN,NaN,NaN,EMPTY,EMPTY,5,6,,,NaN,NaN,34,4,chess board,2,Binocular,15,37,112,Not Studied,comb,z,z,go,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,4,7,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
196,1109181412,19,NaN,NaN,NaN,NaN,EMPTY,EMPTY,8,7,,,NaN,NaN,71,20,truck,2,CFS,17,95,66,CFS,shoe,j,j,go,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,5,2,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
196,1109181412,20,NaN,NaN,NaN,NaN,EMPTY,EMPTY,8,4,,,NaN,NaN,59,79,keys,2,Binocular,24,128,143,Binocular,pfd,z,z,go,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,1,0,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
196,1109181412,21,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,56,99,clothes pin,2,Not Studied,22,79,59,CFS,glasses,f,f,go,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,4,0,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
196,1109181412,22,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,95,66,shoe,2,Not Studied,19,56,99,Binocular,clothes pin,f,f,go,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,9,5,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
196,1109181412,23,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,79,59,glasses,2,Not Studied,21,100,124,CFS,satellite,f,f,nogo,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,6,6,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
196,1109181412,24,NaN,NaN,NaN,NaN,EMPTY,EMPTY,2,10,,,NaN,NaN,128,143,pfd,2,Binocular,20,59,79,CFS,keys,z,z,go,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,1,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
196,1109181412,25,NaN,NaN,NaN,NaN,EMPTY,EMPTY,5,8,,,NaN,NaN,73,68,toothbrush,3,Binocular,25,73,68,Not Studied,toothbrush,z,z,go,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,7,2,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
196,1109181412,26,NaN,NaN,NaN,NaN,EMPTY,EMPTY,3,2,,,NaN,NaN,30,69,cane,3,CFS,30,110,102,Binocular,lazy chair,j,j,nogo,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,8,4,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
196,1109181412,27,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,117,135,plane,3,Not Studied,28,16,13,Not Studied,book,f,f,go,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,2,10,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
196,1109181412,28,NaN,NaN,NaN,NaN,EMPTY,EMPTY,10,2,,,NaN,NaN,121,61,mug,3,CFS,32,117,135,Binocular,plane,j,j,go,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,7,9,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
196,1109181412,29,NaN,NaN,NaN,NaN,EMPTY,EMPTY,4,7,,,NaN,NaN,16,13,book,3,CFS,27,85,25,Not Studied,foot stool,j,j,nogo,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,7,6,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
196,1109181412,30,NaN,NaN,NaN,NaN,EMPTY,EMPTY,1,2,,,NaN,NaN,96,81,truck,3,Binocular,31,30,69,Not Studied,cane,z,z,go,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,8,6,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
196,1109181412,31,NaN,NaN,NaN,NaN,EMPTY,EMPTY,5,10,,,NaN,NaN,23,53,bucket,3,Binocular,36,96,81,CFS,truck,z,z,go,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,8,10,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
