subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,tType,correctDirection,eyes_1,eyes_2,eyePresent,RoboRT
1,893501380,1,3022211.07000746,3022216.61222158,OK,0,RightArrow,5.50847439700738,4,\RIGHT,1,0,left,3
1,893501380,2,3022219.91255293,3022227.82164208,OK,7,LeftArrow,7.88154860725626,1,\LEFT,0,1,right,3
1,893501380,3,3022231.68870562,3022233.69725231,OK,10,RightArrow,1.93732034042478,3,\RIGHT,0,1,right,3
1,893501380,4,3022239.12278269,3022248.33203627,OK,1,LeftArrow,9.15075006149709,2,\LEFT,1,0,left,3
1,893501380,5,3022251.84073072,3022257.04959399,OK,1,LeftArrow,5.144528248813,2,\LEFT,1,0,left,3
1,893501380,6,3022259.25810591,3022262.36681467,OK,7,LeftArrow,3.05503490800038,1,\LEFT,0,1,right,3
1,893501380,7,3022264.7253365,3022267.83399183,OK,4,LeftArrow,3.06761587643996,1,\LEFT,0,1,right,3
1,893501380,8,3022270.06749,3022271.57603322,OK,2,RightArrow,1.42935818899423,3,\RIGHT,0,1,right,3
1,893501380,9,3022273.3845359,3022274.89299913,OK,2,LeftArrow,1.44819175964221,1,\LEFT,0,1,right,3
1,893501380,10,3022276.57653279,3022278.18499267,OK,3,RightArrow,1.55212277267128,3,\RIGHT,0,1,right,3
1,893501380,11,3022284.42731041,3022286.93587023,OK,3,RightArrow,2.47708129044622,4,\RIGHT,1,0,left,3
1,893501380,12,3022288.86107537,3022291.56968342,OK,10,RightArrow,2.61118441168219,3,\RIGHT,0,1,right,3
1,893501380,13,3022293.44488495,3022296.95358091,OK,9,LeftArrow,3.42722740257159,2,\LEFT,1,0,left,3
1,893501380,14,3022298.63704937,3022300.54560726,OK,5,RightArrow,1.89094682782888,4,\RIGHT,1,0,left,3
1,893501380,15,3022302.2457631,3022304.25428565,OK,0,LeftArrow,1.96210073400289,1,\LEFT,0,1,right,3
1,893501380,16,3022305.93779455,3022307.24627565,OK,0,LeftArrow,1.2859815126285,2,\LEFT,1,0,left,3
1,893501380,17,3022308.80474068,3022310.613266,OK,3,RightArrow,1.78700766526163,4,\RIGHT,1,0,left,3
1,893501380,18,3022312.21339048,3022314.12196044,OK,9,RightArrow,1.81022807769477,4,\RIGHT,1,0,left,3
1,893501380,19,3022315.55539245,3022316.56383953,OK,0,RightArrow,0.916141969151795,3,\RIGHT,0,1,right,3
1,893501380,20,3022317.94736,3022321.95604253,OK,7,LeftArrow,3.92397205904126,2,\LEFT,1,0,left,3
