subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,item,tType,eyes_1,eyes_2,transparency,pas,RoboRT,meanRoboRT,roboBCFS
3,928260597,1,109462.70697602,109480.815761228,OK,1,f,18.0460570519936,4,CATCH,0,0,0,,0,NaN,f
3,928260597,2,109487.607580551,109493.016043874,OK,3,j,5.33664364810102,2,CFS,0,1,0.5,3#,2.99873258877457,2.34671662001737,j
3,928260597,3,109514.491564991,109517.499970118,OK,3,j,2.98703130536887,11,CFS,0,1,0.727495707309101,3#,2.98128611956616,2.15022107250873,j
3,928260597,4,109536.308752126,109539.917173009,OK,2,j,3.55241417238722,12,CFS,0,1,0.626161358095932,3#,2.70175724997973,2.22617721685257,j
3,928260597,5,109547.475685622,109551.484113085,OK,1,f,3.9847617460764,10,CATCH,0,0,0,,0,NaN,f
3,928260597,6,109555.284208045,109557.692597114,OK,5,j,2.31982977248845,15,CFS,0,1,0.709533774296629,3#,2.29967816237012,2.16264425926926,j
3,928260597,7,109564.45944887,109571.067914426,OK,4,j,6.56776622119651,7,CFS,0,1,0.637443242234078,1!,1.19069167279339,2.21695456449497,j
3,928260597,8,109579.068102776,109582.776533077,OK,2,j,3.65429773455253,3,CFS,0,1,0.70009444073533,3#,1.81667329653821,2.16933796455339,j
3,928260597,9,109594.65183077,109599.160244348,OK,5,j,4.45352670617285,1,CFS,0,1,0.768903321071731,3#,5.41578984346069,2.12304192407034,j
3,928260597,10,109604.718711081,109608.327130153,OK,1,f,3.59397436384461,18,CATCH,0,0,0,,0,NaN,f
3,928260597,11,109615.08562538,109618.894043365,OK,2,j,3.7943535996892,16,CFS,0,1,0.844475091866419,2@,1.39690802367723,2.07802981974037,j
3,928260597,12,109625.294197849,109627.502580458,OK,6,j,2.19327927925042,5,CFS,0,1,0.927474444756974,3#,2.78471284356399,2.03426604393856,j
3,928260597,13,109635.194430208,109639.502910674,OK,7,j,4.24432972389332,6,CFS,0,1,0.853317682610087,3#,2.51361687250593,2.0731061737574,j
3,928260597,14,109646.011349608,109651.319812567,OK,8,j,5.25864433751849,9,CFS,0,1,0.919777605755015,3#,3.13485499876787,2.03810650762778,j
3,928260597,15,109657.378279602,109662.886767736,OK,7,j,5.45092904330522,13,CFS,0,1,0.991413703581943,3#,1.6929057112281,2.00388554076818,j
3,928260597,16,109668.386874287,109671.795292936,OK,10,j,3.30576961272163,17,CFS,0,1,1,1!,1.96787175062198,2,j
3,928260597,17,109682.03719916,109685.34560809,OK,1,f,3.27859526987595,19,CATCH,0,0,0,,0,NaN,f
3,928260597,18,109688.312349493,109689.920737777,OK,1,j,1.56313594596577,14,CFS,0,1,1,3#,2.7094673379644,2,j
3,928260597,19,109698.112573642,109702.020996215,OK,7,j,3.89016166121291,20,CFS,0,1,0.934090623477949,3#,3.48053891536246,2.03099775997589,j
3,928260597,20,109706.921113572,109708.929502399,OK,3,j,1.99305700189143,8,CFS,0,1,0.994334292819405,3#,2.99366607045973,2.00255899852688,j
