subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,tType,correctDirection,eyes_1,eyes_2,eyePresent,RoboRT
6,928934209,1,181253.199579823,181268.617316433,OK,3,RightArrow,15.3522074219654,3,\RIGHT,0,1,right,3
6,928934209,2,181272.325906117,181277.234576627,OK,1,LeftArrow,4.84941985353362,1,\LEFT,0,1,right,3
6,928934209,3,181279.693081999,181292.702317009,OK,0,LeftArrow,12.9533010267187,2,\LEFT,1,0,left,3
6,928934209,4,181295.860869525,181303.269713014,OK,10,RightArrow,7.39299010302057,2,\LEFT,1,0,left,3
6,928934209,5,181308.386740144,181313.295416993,OK,5,RightArrow,4.83458713837899,3,\RIGHT,0,1,right,3
6,928934209,6,181316.512309521,181323.921151027,OK,2,RightArrow,7.36432818108005,4,\RIGHT,1,0,left,3
6,928934209,7,181328.00477635,181335.313610452,OK,10,RightArrow,7.2793200853921,4,\RIGHT,1,0,left,3
6,928934209,8,181338.263822293,181344.472580447,OK,8,LeftArrow,6.17176273994846,2,\LEFT,1,0,left,3
6,928934209,9,181351.648084489,181369.357652473,OK,9,RightArrow,17.6341000540415,3,\RIGHT,0,1,right,3
6,928934209,10,181371.907825722,181389.117352228,OK,6,LeftArrow,17.165282859205,2,\LEFT,1,0,left,3
6,928934209,11,181395.992835007,181399.401398841,OK,4,RightArrow,3.39956614337279,4,\RIGHT,1,0,left,3
6,928934209,12,181401.543216426,181408.652041999,OK,0,LeftArrow,7.09670438125613,1,\LEFT,0,1,right,3
6,928934209,13,181411.093882771,181413.102352894,OK,0,RightArrow,1.97784546905314,3,\RIGHT,0,1,right,3
6,928934209,14,181415.568878362,181421.277923205,OK,6,RightArrow,5.69432581064757,4,\RIGHT,1,0,left,3
6,928934209,15,181423.536419745,181430.345220942,OK,3,LeftArrow,6.79826998265344,1,\LEFT,0,1,right,3
6,928934209,16,181432.978741237,181437.6873975,OK,7,LeftArrow,4.61962203390431,1,\LEFT,0,1,right,3
6,928934209,17,181440.054232727,181441.862688621,OK,5,RightArrow,1.75190253180335,3,\RIGHT,0,1,right,3
6,928934209,18,181444.254526941,181464.264241592,OK,6,LeftArrow,19.9982662655821,2,\LEFT,1,0,left,3
6,928934209,19,181466.32272511,181479.131942544,OK,0,LeftArrow,12.7132893288799,1,\LEFT,0,1,right,3
6,928934209,20,181481.92381323,181492.332865493,OK,5,RightArrow,10.3595122909173,4,\RIGHT,1,0,left,3
