subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,tType,correctDirection,eyes_1,eyes_2,eyePresent,RoboRT
1,927994840,1,172770.030095763,172778.13896373,OK,8,RightArrow,8.03565937146777,4,\RIGHT,1,0,left,3
1,927994840,2,172782.372633459,172787.981359257,OK,3,LeftArrow,5.50853014134918,3,\RIGHT,0,1,right,3
1,927994840,3,172792.098284071,172793.30670084,OK,3,LeftArrow,1.13454924570397,2,\LEFT,1,0,left,3
1,927994840,4,172800.023889225,172802.232350667,OK,10,LeftArrow,2.16048316942761,2,\LEFT,1,0,left,3
1,927994840,5,172806.032587192,172809.241130736,OK,1,LeftArrow,3.18332137019024,1,\LEFT,0,1,right,3
1,927994840,6,172815.674973543,172819.083525055,OK,3,RightArrow,3.316400630516,3,\RIGHT,0,1,right,3
1,927994840,7,172825.959016987,172828.967551958,OK,3,RightArrow,2.99969936232083,3,\RIGHT,0,1,right,3
1,927994840,8,172834.834596756,172835.643012377,OK,5,RightArrow,0.739814087603008,4,\RIGHT,1,0,left,3
1,927994840,9,172838.726578484,172846.135416748,OK,2,LeftArrow,7.36720839803456,2,\LEFT,1,0,left,3
1,927994840,10,172849.477282235,172851.285738606,OK,5,RightArrow,1.7121771540551,3,\RIGHT,0,1,right,3
1,927994840,11,172860.54472559,172869.853701134,OK,7,RightArrow,9.21169903149712,2,\LEFT,1,0,left,3
1,927994840,12,172872.095545733,172872.903937207,OK,1,LeftArrow,0.796588728262577,1,\LEFT,0,1,right,3
1,927994840,13,172875.395787088,172876.404193473,OK,4,RightArrow,1.00017144801677,4,\RIGHT,1,0,left,3
1,927994840,14,172881.471216961,172882.479577465,OK,9,RightArrow,0.988438730593771,4,\RIGHT,1,0,left,3
1,927994840,15,172886.379858724,172888.788388504,OK,4,LeftArrow,2.35139322621399,1,\LEFT,0,1,right,3
1,927994840,16,172891.896910857,172892.605322494,OK,4,RightArrow,0.618142759456532,3,\RIGHT,0,1,right,3
1,927994840,17,172896.71393027,172898.422424613,OK,7,LeftArrow,1.6008515652793,1,\LEFT,0,1,right,3
1,927994840,18,172901.497606369,172904.906178406,OK,5,RightArrow,3.34474207038875,2,\LEFT,1,0,left,3
1,927994840,19,172907.381342293,172908.289707868,OK,2,RightArrow,0.876769340247847,4,\RIGHT,1,0,left,3
1,927994840,20,172911.331625393,172916.440290822,OK,1,LeftArrow,5.05405984621029,1,\LEFT,0,1,right,3
