subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,item,pair,list,tType_study,trial_test,item_test,pair_test,tType_test,gonogo_answer,name,name_test,roboBCFS,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_noise,transparency,pas,RoboRT,response_cue,rt_cue,RoboRT_cue,response_noise,rt_noise,RoboRT_noise
7,231767058,1,2174197.86549544,2174202.77857042,OK,5,NO RESPONSE,NaN,197,194,1,Binocular,8,205,204,Binocular,go,pipe,cheese grater,z,1,1,2174418.89279927,2174428.8286451,2174435.0327777,2174436.54371517,Return,Return,6,1,,0.1,cheese grater,9.91046150261536,1,Return,1.48244915530086,1
7,231767058,2,2174208.37206475,2174215.0862549,OK,0,f,6.68369690980762,198,193,1,Not Studied,3,200,196,Not Studied,go,chest,tape,f,0,0,2174439.40520527,2174455.57519216,2174459.09767866,2174460.90879767,Return,Return,7,1,,0.1,cassette tape,16.1494911303744,1,Return,1.76907039061189,1
7,231767058,3,2174220.34956738,2174226.36329672,OK,0,f,5.93794886069372,200,196,1,Not Studied,5,206,207,Binocular,nogo,tape,frame,f,0,0,2174465.38156176,2174472.02568226,2174474.95748683,2174479.87052558,Return,OK,7,1,,0.1,picture frame,6.62083317246288,1,NO RESPONSE,NaN,1
7,231767058,4,2174231.30638348,2174233.91800731,OK,10,j,2.59690349549055,207,206,1,CFS,12,208,202,Binocular,go,axe,hockey stick,j,0,1,2174482.37211576,2174490.44675553,2174492.67846543,2174493.98925662,Return,Return,0,1,3#,0.1,hockey stick,8.06192405801266,1,Return,1.27559532132,1
7,231767058,5,2174246.6359266,2174251.5489892,OK,0,NO RESPONSE,NaN,206,207,1,Binocular,2,198,193,Not Studied,go,frame,chest,z,1,1,2174495.95048979,2174506.23682396,2174510.04919598,2174512.26055019,Return,Return,7,1,,0.1,chest,10.2672239341773,1,Return,2.14448816003278,1
7,231767058,6,2174255.43140371,2174260.14433633,OK,0,f,4.68744717491791,201,203,1,Not Studied,4,207,206,CFS,go,bellow,axe,f,0,0,2174514.4719207,2174518.47438838,2174520.80579003,2174522.51689038,Return,Return,3,1,,0.1,axe,3.98552235634997,1,Return,1.65968874981627,1
7,231767058,7,2174264.21688181,2174266.82849025,OK,9,j,2.5738884434104,202,208,1,CFS,1,197,194,Binocular,go,zip tie,pipe,j,0,1,2174525.40870741,2174531.50244896,2174533.96397221,2174535.1747206,Return,Return,4,1,2@,0.1,pipe,6.06443671137095,1,Return,1.15722046885639,1
7,231767058,8,2174278.87600096,2174283.78904212,OK,6,NO RESPONSE,NaN,205,204,1,Binocular,9,204,205,CFS,go,cheese grater,bowtie,z,1,1,2174537.12593787,2174544.52018786,2174548.38290381,2174549.99389857,Return,Return,5,1,,0.1,bowtie,7.37897424306721,1,Return,1.5379623840563,1
7,231767058,9,2174287.67145723,2174291.78405334,OK,9,j,4.00674739899114,204,205,1,CFS,7,202,208,CFS,nogo,bowtie,zip tie,j,0,1,2174551.89473478,2174560.84058322,2174563.50223102,2174568.41527159,Return,OK,8,1,3#,0.1,stick,8.92185537936166,1,NO RESPONSE,NaN,1
7,231767058,10,2174305.58256954,2174307.59378381,OK,7,j,1.96732070902362,203,201,1,CFS,11,199,195,Not Studied,go,bowling pin,scroll,j,0,1,2174570.72669215,2174586.99675474,2174588.98799879,2174591.99984877,Return,Return,1,1,3#,0.1,towel,16.2573601678014,1,Return,2.96398791112006,1
7,231767058,11,2174318.8007771,2174323.41364307,OK,0,f,4.57268645055592,199,195,1,Not Studied,10,203,201,CFS,go,scroll,bowling pin,f,0,0,2174593.89101772,2174603.82715574,2174606.68893382,2174609.60071926,Return,Return,10,1,,0.1,tree,9.91662571486086,1,Return,2.82275134976953,1
7,231767058,12,2174328.52681331,2174333.43988406,OK,4,NO RESPONSE,NaN,208,202,1,Binocular,6,201,203,Not Studied,nogo,hockey stick,bellow,z,1,1,2174613.23298737,2174621.91830072,2174624.40988948,2174629.32295359,Return,OK,4,1,,0.1,NO RESPONSE,8.67033975757658,1,NO RESPONSE,NaN,1
