subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,tType,correctDirection,eyes_1,eyes_2,eyePresent,RoboRT
5,894379222,1,1556791.34441141,1556816.78806035,OK,5,LeftArrow,25.376604556106,2,\LEFT,1,0,left,3
5,894379222,2,1556819.73831194,1556828.34730252,OK,7,LeftArrow,8.52616279944777,2,\LEFT,1,0,left,3
5,894379222,3,1556830.68912497,1556836.09788615,OK,6,RightArrow,5.39892360498197,4,\RIGHT,1,0,left,3
5,894379222,4,1556838.3897335,1556843.39846962,OK,8,LeftArrow,4.90608528465964,2,\LEFT,1,0,left,3
5,894379222,5,1556845.49862779,1556849.10727548,OK,4,RightArrow,3.532927546883,4,\RIGHT,1,0,left,3
5,894379222,6,1556851.08242874,1556860.69149117,OK,10,LeftArrow,9.56460302276537,1,\LEFT,0,1,right,3
5,894379222,7,1556863.07499811,1556869.38388667,OK,0,RightArrow,6.27562294178642,4,\RIGHT,1,0,left,3
5,894379222,8,1556871.42570278,1556875.6343565,OK,2,RightArrow,4.14059633365832,3,\RIGHT,0,1,right,3
5,894379222,9,1556877.65121721,1556880.75977373,OK,4,RightArrow,3.05092833796516,4,\RIGHT,1,0,left,3
5,894379222,10,1556882.8015989,1556889.21044973,OK,7,RightArrow,6.38019052729942,3,\RIGHT,0,1,right,3
5,894379222,11,1556899.91131211,1556902.61988856,OK,3,RightArrow,2.64587809494697,3,\RIGHT,0,1,right,3
5,894379222,12,1556904.90337437,1556910.11217691,OK,8,RightArrow,5.1094509055838,3,\RIGHT,0,1,right,3
5,894379222,13,1556912.07893876,1556915.78761904,OK,5,RightArrow,3.65367939369753,4,\RIGHT,1,0,left,3
5,894379222,14,1556917.72110652,1556922.42977714,OK,8,RightArrow,4.66722458507866,3,\RIGHT,0,1,right,3
5,894379222,15,1556924.3883145,1556929.49705757,OK,2,LeftArrow,5.07169618248008,2,\LEFT,1,0,left,3
5,894379222,16,1556931.55554301,1556933.76405849,OK,9,LeftArrow,2.12824314576574,1,\LEFT,0,1,right,3
5,894379222,17,1556935.97258905,1556938.88115041,OK,9,LeftArrow,2.81501248129644,1,\LEFT,0,1,right,3
5,894379222,18,1556940.91460921,1556944.22324512,OK,5,LeftArrow,3.23275398369879,1,\LEFT,0,1,right,3
5,894379222,19,1556946.22337854,1556948.23191243,OK,5,LeftArrow,1.97181601682678,1,\LEFT,0,1,right,3
5,894379222,20,1556950.29037523,1556957.9993311,OK,9,LeftArrow,7.68035443173721,2,\LEFT,1,0,left,3
