subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType_study,trial_test,item_test,pair_test,tType_test,name_test,roboBCFS_1,roboBCFS_2,gonogo_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_cue,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,meanRoboRT_cue,response_noise,rt_noise,RoboRT_noise,meanRoboRT_noise
199,1109047867,15,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,79,59,glasses,2,Not Studied,19,125,111,Not Studied,cork screw,f,f,go,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,8,7,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,16,NaN,NaN,NaN,NaN,EMPTY,EMPTY,5,7,,,NaN,NaN,128,143,pfd,2,Binocular,21,34,4,Binocular,chess board,z,z,go,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,3,5,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,17,NaN,NaN,NaN,NaN,EMPTY,EMPTY,8,0,,,NaN,NaN,59,79,keys,2,Binocular,24,95,66,Not Studied,shoe,z,z,go,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,10,5,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,18,NaN,NaN,NaN,NaN,EMPTY,EMPTY,6,10,,,NaN,NaN,37,112,comb,2,CFS,13,100,124,Not Studied,satellite,j,j,nogo,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,9,9,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,19,NaN,NaN,NaN,NaN,EMPTY,EMPTY,7,9,,,NaN,NaN,112,37,rake,2,Binocular,22,79,59,CFS,glasses,z,z,go,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,10,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,20,NaN,NaN,NaN,NaN,EMPTY,EMPTY,4,5,,,NaN,NaN,125,111,cork screw,2,CFS,15,32,122,Binocular,chain,j,j,go,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,4,9,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,21,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,56,99,clothes pin,2,Not Studied,14,128,143,CFS,pfd,f,f,nogo,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,2,4,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,22,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,95,66,shoe,2,Not Studied,17,112,37,Binocular,rake,f,f,nogo,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,9,5,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,23,NaN,NaN,NaN,NaN,EMPTY,EMPTY,9,8,,,NaN,NaN,34,4,chess board,2,Binocular,16,71,20,CFS,truck,z,z,go,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,2,0,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,24,NaN,NaN,NaN,NaN,EMPTY,EMPTY,3,6,,,NaN,NaN,71,20,truck,2,CFS,23,59,79,CFS,keys,j,j,go,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,9,9,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,25,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,4,34,bandana,3,Not Studied,34,73,68,Not Studied,toothbrush,f,f,go,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,5,7,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
