subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,tType_study,correctDirection,eyes_1,eyes_2,eyePresent,RoboRT
32,1868292048,1,1275405.23081681,1275435.08869889,OK,1,NO RESPONSE,NaN,4,\RIGHT,1,0,left,3
32,1868292048,2,1275437.28998391,1275446.41545347,OK,10,RightArrow,9.09367935825139,3,\RIGHT,0,1,right,3
32,1868292048,3,1275450.79779435,1275453.0094306,OK,5,LeftArrow,2.12151295272633,1,\LEFT,0,1,right,3
32,1868292048,4,1275455.84112566,1275457.05184098,OK,6,LeftArrow,1.19790916750208,1,\LEFT,0,1,right,3
32,1868292048,5,1275459.93353153,1275461.74464577,OK,11,RightArrow,1.70529973530211,3,\RIGHT,0,1,right,3
32,1868292048,6,1275464.13607706,1275466.24736012,OK,7,LeftArrow,2.03852379997261,1,\LEFT,0,1,right,3
32,1868292048,7,1275469.10903461,1275470.51991872,OK,12,RightArrow,1.32139287795872,4,\RIGHT,1,0,left,3
32,1868292048,8,1275473.69180718,1275474.80247901,OK,12,LeftArrow,1.00236979918554,2,\LEFT,1,0,left,3
32,1868292048,9,1275477.03380261,1275478.54471483,OK,5,LeftArrow,1.48413297068328,1,\LEFT,0,1,right,3
32,1868292048,10,1275480.98617512,1275482.59712992,OK,5,RightArrow,1.52362901950255,3,\RIGHT,0,1,right,3
32,1868292048,11,1275493.7538047,1275495.06458706,OK,3,RightArrow,1.24330601934344,4,\RIGHT,1,0,left,3
32,1868292048,12,1275497.13578819,1275498.24648748,OK,3,LeftArrow,1.0930946811568,2,\LEFT,1,0,left,3
32,1868292048,13,1275500.34771452,1275501.45842347,OK,3,RightArrow,1.09698729752563,3,\RIGHT,0,1,right,3
32,1868292048,14,1275503.55967858,1275504.87044796,OK,3,LeftArrow,1.24491727724671,1,\LEFT,0,1,right,3
32,1868292048,15,1275507.11179771,1275508.42253842,OK,6,RightArrow,1.22055310988799,4,\RIGHT,1,0,left,3
32,1868292048,16,1275511.41435595,1275512.72513922,OK,12,RightArrow,1.26977707725018,4,\RIGHT,1,0,left,3
32,1868292048,17,1275515.49680601,1275516.60746817,OK,10,LeftArrow,1.08315154607408,2,\LEFT,1,0,left,3
32,1868292048,18,1275518.4285512,1275519.9394764,OK,1,RightArrow,1.40723357722163,4,\RIGHT,1,0,left,3
32,1868292048,19,1275522.1407258,1275523.25145075,OK,5,RightArrow,1.07089022779837,3,\RIGHT,0,1,right,3
32,1868292048,20,1275525.00245583,1275526.11313278,OK,0,LeftArrow,1.02495880541392,2,\LEFT,1,0,left,3
32,1868292048,21,1275531.64641275,1275533.15733553,OK,10,LeftArrow,1.45263254153542,2,\LEFT,1,0,left,3
32,1868292048,22,1275535.20859726,1275536.51933555,OK,3,LeftArrow,1.29823639988899,1,\LEFT,0,1,right,3
32,1868292048,23,1275539.3609988,1275540.37164765,OK,10,RightArrow,0.945671200286597,4,\RIGHT,1,0,left,3
32,1868292048,24,1275542.91311551,1275544.22390361,OK,8,LeftArrow,1.20939564541914,1,\LEFT,0,1,right,3
32,1868292048,25,1275546.00497836,1275547.21571903,OK,0,RightArrow,1.157407063758,4,\RIGHT,1,0,left,3
32,1868292048,26,1275549.0167863,1275550.42760854,OK,1,RightArrow,1.36939496919513,3,\RIGHT,0,1,right,3
32,1868292048,27,1275552.68894809,1275553.89965466,OK,5,LeftArrow,1.16103103617206,2,\LEFT,1,0,left,3
32,1868292048,28,1275556.80135946,1275557.81197813,OK,11,RightArrow,0.976438443176448,3,\RIGHT,0,1,right,3
32,1868292048,29,1275560.31345853,1275561.52419468,OK,8,LeftArrow,1.15208309004083,1,\LEFT,0,1,right,3
32,1868292048,30,1275563.87555913,1275565.08629136,OK,7,LeftArrow,1.15785108017735,2,\LEFT,1,0,left,3
32,1868292048,31,1275569.07865554,1275570.38945601,OK,6,LeftArrow,1.2584059049841,2,\LEFT,1,0,left,3
32,1868292048,32,1275572.55072913,1275573.86149005,OK,5,LeftArrow,1.23420503665693,1,\LEFT,0,1,right,3
32,1868292048,33,1275575.94273363,1275577.25351206,OK,5,RightArrow,1.28203869750723,4,\RIGHT,1,0,left,3
32,1868292048,34,1275580.20522925,1275581.21585637,OK,12,RightArrow,0.939329097047448,4,\RIGHT,1,0,left,3
32,1868292048,35,1275583.79738112,1275584.90805898,OK,9,LeftArrow,1.0829076541122,2,\LEFT,1,0,left,3
32,1868292048,36,1275587.00926911,1275588.32002491,OK,4,LeftArrow,1.29484967887402,2,\LEFT,1,0,left,3
32,1868292048,37,1275589.99102609,1275591.10169973,OK,0,LeftArrow,1.08101537637413,1,\LEFT,0,1,right,3
32,1868292048,38,1275593.28297322,1275594.4937,OK,5,RightArrow,1.12490661628544,3,\RIGHT,0,1,right,3
32,1868292048,39,1275596.19470386,1275597.80565474,OK,1,RightArrow,1.58098564436659,3,\RIGHT,0,1,right,3
32,1868292048,40,1275600.30710224,1275601.41778252,OK,9,RightArrow,1.02036077342927,3,\RIGHT,0,1,right,3
