subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,item,tType_study,eyes_1,eyes_2,transparency,pas,RoboRT,meanRoboRT,roboBCFS
45,23081929,1,10352509.3394704,10352516.2540289,OK,1,j,6.83210198953748,18,CATCH,0,0,0,,0,NaN,f
45,23081929,2,10352520.5168344,10352527.4313766,OK,6,j,6.83014902286232,2,CFS,0,1,0.5,1,5.35340592036133,2.34671662001737,j
45,23081929,3,10352544.9028458,10352548.1149455,OK,10,j,3.17130528762937,1,CFS,0,1,1,2,3.80080587234007,2,j
45,23081929,4,10352558.7119119,10352564.225522,OK,12,j,5.425521671772,13,CFS,0,1,1,2,2.26712367149613,2,j
45,23081929,5,10352570.9799382,10352575.89318,OK,0,j,4.8130142390728,9,CFS,0,1,1,1,3.10880721655179,2,j
45,23081929,6,10352581.4768309,10352584.4888183,OK,9,j,2.9797422811389,6,CFS,0,1,1,2,4.10517993228026,2,j
45,23081929,7,10352589.362027,10352593.8749888,OK,4,j,4.48614692129195,10,CFS,0,1,0.90483741803596,3,1.93964047016501,2.04568180093028,j
45,23081929,8,10352599.7588449,10352605.6727119,OK,1,f,5.83278326317668,16,CATCH,0,0,0,,0,NaN,f
45,23081929,9,10352608.744757,10352612.4571884,OK,3,j,3.66251965798438,12,CFS,0,1,1,2,2.69193589643436,2,j
45,23081929,10,10352618.8313842,10352623.6445451,OK,5,j,4.71145005337894,5,CFS,0,1,1,2,1.77088006725871,2,j
45,23081929,11,10352630.8592838,10352634.3715797,OK,2,j,3.49104020185769,19,CFS,0,1,1,2,3.41918959960635,2,j
45,23081929,12,10352639.1847044,10352644.7984213,OK,1,f,5.58120836317539,17,CATCH,0,0,0,,0,NaN,f
45,23081929,13,10352648.2607068,10352652.5735293,OK,8,j,4.24887002632022,4,CFS,0,1,1,2,2.85508563122078,2,j
45,23081929,14,10352656.9564401,10352661.7695703,OK,10,j,4.76871481724083,7,CFS,0,1,1,2,1.88951533338888,2,j
45,23081929,15,10352666.372577,10352668.9842896,OK,10,j,2.52826910465956,11,CFS,0,1,1,1,2.95125938658901,2,j
45,23081929,16,10352673.2270644,10352677.7400584,OK,7,j,4.4894177634269,15,CFS,0,1,0.931062779704023,3,2.26476658207236,2.03248971804528,j
45,23081929,17,10352681.512544,10352684.2243182,OK,2,j,2.60357993282378,8,CFS,0,1,1,3,2.64300265294038,2,j
45,23081929,18,10352689.1275139,10352693.5404348,OK,5,j,4.36422510631382,3,CFS,0,1,0.945959468906766,2,2.26135463423023,2.02520949557939,j
45,23081929,19,10352698.0634107,10352700.9752994,OK,12,j,2.82003163360059,14,CFS,0,1,1,3,2.19140282701698,2,j
45,23081929,20,10352704.5276349,10352711.6423338,OK,1,f,7.0593106970191,20,CATCH,0,0,0,,0,NaN,f
