subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,tType_study,correctDirection,eyes_1,eyes_2,eyePresent,RoboRT
51,31889382,1,2510673.20970981,2510696.84418007,OK,5,LeftArrow,23.6145172109827,2,\LEFT,1,0,left,3
51,31889382,2,2510700.41637373,2510730.14465837,OK,2,NO RESPONSE,NaN,3,\RIGHT,0,1,right,3
51,31889382,3,2510732.05579965,2510757.18125294,OK,7,RightArrow,25.0445354599506,3,\RIGHT,0,1,right,3
51,31889382,4,2510762.90477118,2510787.63001082,OK,6,LeftArrow,24.6895943768322,3,\RIGHT,0,1,right,3
51,31889382,5,2510791.90260122,2510796.51546162,OK,7,LeftArrow,4.59509510779753,2,\LEFT,1,0,left,3
51,31889382,6,2510798.58671292,2510802.39909441,OK,0,LeftArrow,3.71070438763127,2,\LEFT,1,0,left,3
51,31889382,7,2510804.94062412,2510807.35213002,OK,8,LeftArrow,2.38847224460915,2,\LEFT,1,0,left,3
51,31889382,8,2510809.89366334,2510838.82152221,OK,10,NO RESPONSE,NaN,1,\LEFT,0,1,right,3
51,31889382,9,2510841.23297227,2510842.4436836,OK,12,LeftArrow,1.16586768766865,4,\RIGHT,1,0,left,3
51,31889382,10,2510844.75513903,2510861.27526383,OK,7,RightArrow,16.4344773795456,3,\RIGHT,0,1,right,3
51,31889382,11,2510869.55035107,2510898.77837492,OK,7,NO RESPONSE,NaN,3,\RIGHT,0,1,right,3
51,31889382,12,2510900.28925577,2510929.91751198,OK,3,NO RESPONSE,NaN,3,\RIGHT,0,1,right,3
51,31889382,13,2510931.92870463,2510961.05661855,OK,8,NO RESPONSE,NaN,3,\RIGHT,0,1,right,3
51,31889382,14,2510962.96784011,2510971.78324818,OK,7,RightArrow,8.74265539972112,4,\RIGHT,1,0,left,3
51,31889382,15,2510975.05522705,2511003.78291978,OK,12,NO RESPONSE,NaN,1,\LEFT,0,1,right,3
51,31889382,16,2511004.99358885,2511013.00855846,OK,0,RightArrow,8.00211501540616,4,\RIGHT,1,0,left,3
51,31889382,17,2511016.01040937,2511018.82213706,OK,11,LeftArrow,2.74500524904579,2,\LEFT,1,0,left,3
51,31889382,18,2511021.05350383,2511048.98071071,OK,6,LeftArrow,27.8999785091728,1,\LEFT,0,1,right,3
51,31889382,19,2511051.52223498,2511080.55008092,OK,9,NO RESPONSE,NaN,3,\RIGHT,0,1,right,3
51,31889382,20,2511082.16106778,2511086.27362935,OK,4,RightArrow,4.01400462072343,4,\RIGHT,1,0,left,3
51,31889382,21,2511114.92120986,2511120.63475821,OK,6,RightArrow,5.69163815770298,4,\RIGHT,1,0,left,3
51,31889382,22,2511123.55651984,2511129.27003198,OK,12,LeftArrow,5.61575235333294,2,\LEFT,1,0,left,3
51,31889382,23,2511131.05116273,2511157.77755572,OK,2,LeftArrow,26.6312921484932,1,\LEFT,0,1,right,3
51,31889382,24,2511159.94884512,2511168.0638987,OK,1,LeftArrow,8.09294055076316,2,\LEFT,1,0,left,3
51,31889382,25,2511169.7449159,2511191.46827326,OK,1,LeftArrow,21.6953342277557,1,\LEFT,0,1,right,3
51,31889382,26,2511194.23999495,2511206.05723733,OK,11,LeftArrow,11.711314110551,1,\LEFT,0,1,right,3
51,31889382,27,2511208.45872414,2511216.67375666,OK,8,LeftArrow,8.18787839822471,1,\LEFT,0,1,right,3
51,31889382,28,2511218.59497135,2511239.41777277,OK,3,LeftArrow,20.8101107217371,1,\LEFT,0,1,right,3
51,31889382,29,2511241.4589952,2511262.28183103,OK,4,LeftArrow,20.7686697584577,1,\LEFT,0,1,right,3
51,31889382,30,2511264.5031606,2511267.71516382,OK,6,LeftArrow,3.1241629133001,2,\LEFT,1,0,left,3
51,31889382,31,2511297.86366526,2511305.97865304,OK,5,LeftArrow,8.02519425144419,2,\LEFT,1,0,left,3
51,31889382,32,2511308.41018232,2511312.92294425,OK,8,LeftArrow,4.40621609892696,2,\LEFT,1,0,left,3
51,31889382,33,2511314.63401176,2511318.64647607,OK,1,RightArrow,3.94204187300056,4,\RIGHT,1,0,left,3
51,31889382,34,2511321.93846624,2511326.45130695,OK,12,RightArrow,4.47706172522157,4,\RIGHT,1,0,left,3
51,31889382,35,2511328.40243732,2511336.11717766,OK,3,RightArrow,7.62048284057528,4,\RIGHT,1,0,left,3
51,31889382,36,2511338.60871156,2511362.43335905,OK,8,RightArrow,23.8124038251117,3,\RIGHT,0,1,right,3
51,31889382,37,2511365.25508772,2511378.27308874,OK,9,RightArrow,12.9250912619755,3,\RIGHT,0,1,right,3
51,31889382,38,2511380.43441912,2511383.94657707,OK,6,RightArrow,3.44937304127961,4,\RIGHT,1,0,left,3
51,31889382,39,2511386.82835262,2511393.54250345,OK,12,RightArrow,6.64684582874179,4,\RIGHT,1,0,left,3
51,31889382,40,2511396.35425137,2511409.67241769,OK,12,LeftArrow,13.263893995434,1,\LEFT,0,1,right,3
