subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,item,tType,eyes_1,eyes_2,transparency,pas,RoboRT,meanRoboRT,roboBCFS
7,929108771,1,117898.486649474,117904.995139418,OK,8,j,6.41789471586526,19,CFS,0,1,0.5,2@,2.41202643828588,2.34671662001737,j
7,929108771,2,117919.295547692,117924.104029969,OK,3,j,4.79967720883724,13,CFS,0,1,0.727495707309101,2@,4.68895679008976,2.15022107250873,j
7,929108771,3,117932.954260487,117954.163134799,OK,8,j,21.1230454895849,4,CFS,0,1,0.877527328480149,3#,2.8107607291759,2.05995856853313,j
7,929108771,4,117959.50493393,117961.913377934,OK,2,j,2.38792711572023,8,CFS,0,1,1,3#,3.02009173189067,2,j
7,929108771,5,117966.713453576,117979.022100056,OK,1,f,12.2662815750664,15,CATCH,0,0,0,,0,NaN,f
7,929108771,6,117982.43884656,117989.247373511,OK,5,j,6.70825191112817,18,CFS,0,1,0.860707976425058,3#,1.66873348487833,2.06904178986308,j
7,929108771,7,117993.797465,117997.905928141,OK,1,f,4.08507421420654,10,CATCH,0,0,0,,0,NaN,f
7,929108771,8,118001.414299461,118005.822754332,OK,5,j,4.33171786833555,3,CFS,0,1,0.975309912028333,1!,2.3461529071333,2.0112922931668,j
7,929108771,9,118013.914670426,118029.023340934,OK,9,j,15.0778565387445,5,CFS,0,1,1,3#,2.28105721663838,2,j
7,929108771,10,118033.956724433,118057.865730772,OK,9,j,23.873912534269,6,CFS,0,1,1,3#,1.6425533318952,2,j
7,929108771,11,118065.949150885,118094.858240833,OK,1,f,28.8871341735503,2,CATCH,0,0,0,,0,NaN,f
7,929108771,12,118098.549990371,118113.85868726,OK,8,j,15.2850468671968,14,CFS,0,1,1,3#,1.25455337340815,2,j
7,929108771,13,118118.192089715,118141.700995902,OK,1,j,23.4170492529665,9,CFS,0,1,1,3#,1.54508054798682,2,j
7,929108771,14,118146.701089171,118150.409512831,OK,9,j,3.61954954123939,11,CFS,0,1,1,1!,2.7872515515937,2,j
7,929108771,15,118157.56803456,118192.677201901,OK,7,NO RESPONSE,NaN,1,CFS,0,1,1,,3.86014858602733,2,j
7,929108771,16,118197.38565152,118216.994425257,OK,8,j,19.5226765767875,17,CFS,0,1,1,3#,2.43862930713552,2,j
7,929108771,17,118222.644540048,118226.752999567,OK,6,j,4.06319661645102,12,CFS,0,1,1,1!,1.85948206996081,2,j
7,929108771,18,118233.194788194,118235.203184567,OK,1,j,1.91240630032553,20,CFS,0,1,1,1!,3.37953521370152,2,j
7,929108771,19,118240.261626549,118257.870324524,OK,2,j,17.5880642732809,7,CFS,0,1,0.898397321348071,3#,1.51737906873542,2.04899752751341,j
7,929108771,20,118263.40383184,118275.912459123,OK,1,j,12.4046818300558,16,CATCH,0,0,0,,0,NaN,f
