subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,list,tType_study,trial_test,item_test,pair_test,tType_test,gonogo_answer,name,name_test,roboBCFS_1,roboBCFS_2,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,response_cue,rt_cue,RoboRT_cue,response_noise,rt_noise,RoboRT_noise
6,231739134,1,245036.023808237,245144.151889159,245039.736179375,245150.16567062,OK,OK,1,1,f,f,3.68707267797436,5.9933931575215,153,8,1,CFS,11,56,99,CFS,go,knife,clothes pin,j,j,1,0,245286.831703909,245289.372991392,245292.335168064,245297.248277582,Return,Return,5,1,1,,,0.1,0.1,NO RESPONSE,2.52260824182304,1,Return,4.85081449072459,1
6,231739134,2,245042.808090062,245153.838033957,245047.52106248,245156.049376549,OK,OK,4,8,j,j,4.69426691604895,2.17902013595449,85,25,1,CFS,6,184,181,Not Studied,go,foot stool,mailbox,j,j,1,0,245299.11914623,245300.780531367,245303.03192794,245305.44344506,Return,Return,4,1,1,3,3,0.1,0.1,NO RESPONSE,1.63459494605195,1,Return,2.30560932637309,1
6,231739134,3,245052.904455242,245160.161938575,245062.820701862,245167.976911971,OK,OK,0,0,f,f,9.8212346235232,7.75051351840375,56,99,1,Not Studied,1,143,128,CFS,go,clothes pin,high heel,f,f,0,0,245307.244578438,245313.038200638,245317.110781728,245318.421589476,Return,Return,2,1,1,,,0.1,0.1,shoe,5.78057181424811,1,Return,1.21819242124911,1
6,231739134,4,245065.922620135,245170.9687811,245069.434885565,245176.082015341,OK,OK,1,2,j,j,3.45076154664275,5.06327301310375,61,121,1,CFS,7,8,153,Binocular,go,glass,bed,j,j,1,0,245320.472908414,245323.284732634,245326.316588131,245328.027651362,Return,Return,3,1,1,3,3,0.1,0.1,bed,2.79973340808647,1,Return,1.69193725552759,1
6,231739134,5,245073.62754318,245180.664866648,245081.642564329,245194.083344376,OK,OK,0,0,f,f,7.94522128303652,13.3181604556157,53,23,1,Not Studied,8,50,80,Not Studied,go,floss,dresser,f,f,0,0,245329.798735198,245336.582713665,245339.184707248,245341.396044407,Return,Return,6,1,1,,,0.1,0.1,ladder,6.7612556743552,1,Return,2.14304562521284,1
6,231739134,6,245086.085360115,245198.686243201,245090.998452427,245203.599350001,OK,OK,7,10,NO RESPONSE,NO RESPONSE,NaN,NaN,184,181,1,Binocular,2,85,25,Binocular,go,mailbox,foot stool,z,z,1,1,245343.207216032,245345.088412097,245346.96956198,245348.780685007,Return,Return,2,1,1,,,0.1,0.1,NO RESPONSE,1.85638327896595,1,Return,1.78189632194699,1
6,231739134,7,245094.220468655,245206.381073063,245099.133573342,245211.294153602,OK,OK,4,2,NO RESPONSE,NO RESPONSE,NaN,NaN,8,153,1,Binocular,4,61,121,CFS,go,bed,glass,z,z,1,1,245350.401717332,245356.615658832,245358.917076702,245362.629414636,Return,Return,5,1,1,,,0.1,0.1,instrument,6.18921443834552,1,Return,3.66569491830887,1
6,231739134,8,245102.405601207,245214.326061319,245106.117966911,245218.038420685,OK,OK,3,4,j,j,3.62191432414693,3.69580875412794,141,155,1,CFS,10,53,23,Binocular,nogo,purse,floss,j,j,1,0,245364.530626826,245365.61132279,245367.262331309,245372.175458937,Return,OK,0,1,1,3,3,0.1,0.1,NO RESPONSE,1.05991737221484,1,NO RESPONSE,NaN,1
6,231739134,9,245111.691449771,245224.292350364,245116.604542083,245229.205447808,OK,OK,1,10,NO RESPONSE,NO RESPONSE,NaN,NaN,143,128,1,Binocular,3,32,122,Not Studied,go,high heel,chain,z,z,1,1,245376.257998587,245379.980355148,245382.131689511,245383.642648846,Return,Return,2,1,1,,,0.1,0.1,chain,3.69978378649103,1,Return,1.47401347869891,1
6,231739134,10,245119.856589743,245232.467504435,245126.270634535,245238.281158455,OK,OK,0,0,f,f,6.36196731051314,5.7694598948583,50,80,1,Not Studied,5,141,155,Not Studied,nogo,dresser,purse,f,f,0,0,245385.313723898,245386.794638823,245389.436310286,245394.349402296,Return,OK,9,1,1,,,0.1,0.1,NO RESPONSE,1.45175915330765,1,NO RESPONSE,NaN,1
6,231739134,11,245129.252503148,245241.913444568,245134.165624437,245246.826539597,OK,OK,9,8,NO RESPONSE,NO RESPONSE,NaN,NaN,32,122,1,Binocular,9,153,8,Binocular,go,chain,knife,z,z,1,1,245396.450721703,245400.833477868,245402.874751919,245405.686550783,Return,Return,1,1,1,,,0.1,0.1,knife,4.3700314736343,1,Return,2.70579749823082,1
6,231739134,12,245136.437034117,245248.987880211,245141.149979369,245254.201136819,OK,OK,0,0,f,f,4.62077152874554,5.19230143475579,172,170,1,Not Studied,12,172,170,CFS,nogo,paint brush,paint brush,f,f,0,0,245407.297528863,245409.298810207,245411.770378417,245416.683473446,Return,OK,9,1,1,,,0.1,0.1,NO RESPONSE,1.98681317953742,1,NO RESPONSE,NaN,1
6,231739134,13,245426.729788353,245522.520092945,245429.041253827,245524.13105714,OK,OK,1,10,j,j,2.21766509333975,1.59853108835523,69,30,2,CFS,15,161,163,CFS,go,umbrella,pen,j,j,1,0,245619.641193639,245622.402950682,245626.435504051,245627.746332022,Return,Return,8,1,1,3,3,0.1,0.1,NO RESPONSE,2.73652046272764,1,Return,1.222072069766,1
