subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,item,tType_study,eyes_1,eyes_2,transparency,pas,RoboRT,meanRoboRT,roboBCFS
50,31734746,1,10439112.043076,10439117.9569508,OK,2,j,5.89277100749314,11,CFS,0,1,0.5,3,2.47286888701319,2.34671662001737,j
50,31734746,2,10439132.1963407,10439134.7080156,OK,9,j,2.43472626619041,9,CFS,0,1,1,3,3.28211420959942,2,j
50,31734746,3,10439140.3116614,10439141.7225925,OK,5,j,1.39114826545119,18,CFS,0,1,0.90483741803596,2,2.72739804763481,2.04568180093028,j
50,31734746,4,10439148.5570852,10439164.6776797,OK,1,f,16.0886833630502,20,CATCH,0,0,0,,0,NaN,f
50,31734746,5,10439169.9511101,10439172.2626473,OK,9,j,2.23836385458708,2,CFS,0,1,0.818730753077982,3,1.56046197789413,2.09275481981804,j
50,31734746,6,10439176.2652795,10439179.4773888,OK,2,j,3.10783752053976,19,CFS,0,1,0.740818220681718,3,2.74134938058041,2.14126142555782,j
50,31734746,7,10439184.720814,10439187.1324177,OK,11,j,2.31601884774864,4,CFS,0,1,1,3,1.21056293484688,2,j
50,31734746,8,10439193.2063892,10439194.6173313,OK,10,j,1.33407850004733,13,CFS,0,1,0.931062779704023,3,3.16238616407792,2.03248971804528,j
50,31734746,9,10439197.6393177,10439199.0502785,OK,3,j,1.36485144495964,12,CFS,0,1,0.866877899750182,3,2.15058945771319,2.06568315727633,j
50,31734746,10,10439202.9428179,10439206.8553679,OK,2,j,3.90102719329298,1,CFS,0,1,0.807117747005389,2,1.75480838425836,2.09959556016176,j
50,31734746,11,10439213.8099538,10439215.0207467,OK,6,j,1.18563015572727,10,CFS,0,1,1,3,2.66229081907984,2,j
50,31734746,12,10439219.2234794,10439231.6416401,OK,8,j,12.3313380070031,14,CFS,0,1,0.945959468906766,3,2.25625378124056,2.02520949557939,j
50,31734746,13,10439238.0658874,10439249.6834888,OK,3,j,11.5281257275492,7,CFS,0,1,1,1,0.813913273870611,2,j
50,31734746,14,10439253.3759133,10439262.4919198,OK,6,j,9.08152651414275,3,CFS,0,1,1,1,1.95940651539793,2,j
50,31734746,15,10439265.8341274,10439268.6459735,OK,5,j,2.73507611081004,8,CFS,0,1,1,2,1.40587049703354,2,j
50,31734746,16,10439271.7980105,10439275.8106846,OK,1,f,3.96287885867059,16,CATCH,0,0,0,,0,NaN,f
50,31734746,17,10439278.9927411,10439280.603819,OK,7,j,1.5359547957778,17,CFS,0,1,0.955563036268284,3,2.01532282601185,2.02059464435333,j
50,31734746,18,10439284.7865771,10439290.9005913,OK,5,j,6.09361135773361,15,CFS,0,1,0.913100716282262,3,0.810258552019788,2.04147204829069,j
50,31734746,19,10439293.7324241,10439298.4455388,OK,1,f,4.62748127803206,6,CATCH,0,0,0,,0,NaN,f
50,31734746,20,10439301.0172531,10439304.7296368,OK,1,f,3.63035427965224,5,CATCH,0,0,0,,0,NaN,f
