subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType_study,trial_test,item_test,pair_test,tType_test,name_test,roboBCFS_1,roboBCFS_2,gonogo_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,response_noise,rt_noise,RoboRT_noise
22,1774000291,1,4988031.42651374,4988117.81063612,4988035.33899115,4988120.12210487,OK,OK,0,0,f,f,3.88854518625885,2.25989582017064,85,25,foot stool,1,Not Studied,5,141,155,Not Studied,purse,f,f,go,0,0,4988237.65566978,4988247.23172748,4988250.99407173,4988254.90653707,Return,OK,0,0,0,,,0,0,NaN,NaN,spoon,9.56008667871356,2,NO RESPONSE,NaN,2
22,1774000291,2,4988037.99065603,4988122.47359127,4988042.10321892,4988124.98512529,OK,OK,0,0,f,f,4.05196141637862,2.45271947328001,141,155,purse,1,Not Studied,1,8,153,Binocular,bed,f,f,go,0,0,4988257.65828257,4988260.79022101,4988264.38245528,4988266.39373589,Return,Return,12,0,0,,,0,0,NaN,NaN,window,3.11676460038871,2,Return,2.0002955077216,2
22,1774000291,3,4988045.27520549,4988127.7968873,4988049.18764215,4988131.10898963,OK,OK,0,6,NO RESPONSE,NO RESPONSE,NaN,NaN,172,170,paint brush,1,Binocular,7,50,80,Not Studied,dresser,z,z,go,1,1,4988268.44503083,4988271.01661003,4988272.90779879,4988275.01913075,Return,Return,0,1,1,,,0,0,NaN,NaN,drawers,2.54548785835505,2,Return,2.03453610185534,2
22,1774000291,4,4988054.53098804,4988134.17088694,4988057.74301398,4988136.48233396,OK,OK,12,12,j,j,3.19879176747054,2.25879498571157,8,153,bed,1,CFS,2,56,99,CFS,clothes pin,j,j,go,1,0,4988276.88030628,4988283.05417425,4988285.94596399,4988288.45757287,Return,Return,8,0.459881829779189,0.852042349315243,3,3,3.07443975476603,5.14553583725828,2.39363984777779,2.07381218956121,shoe,6.14955300930887,2,Return,2.41167645994574,2
22,1774000291,5,4988063.57665444,4988142.23595333,4988067.08888211,4988144.74752961,OK,OK,2,10,j,j,3.49662942811847,2.4573166007176,32,122,chain,1,CFS,12,85,25,Binocular,foot stool,j,j,go,1,0,4988290.88906466,4988297.60329001,4988300.85533359,4988302.56639407,Return,Return,12,0.574322902994165,0.810487753589375,2,3,1.89383718499665,3.40109396740573,2.27151330473033,2.09759731487505,screw,6.70002164319158,2,Return,1.60557891335338,2
22,1774000291,6,4988072.41218809,4988148.63995111,4988076.82501127,4988152.45232315,OK,OK,9,5,j,j,4.37257492542267,3.78090722486377,184,181,mailbox,1,CFS,6,184,181,CFS,mailbox,j,j,go,1,0,4988304.98793186,4988309.07044923,4988311.4819796,4988313.79342783,Return,Return,3,0.717242507846025,0.770959799411698,2,2,2.24943271077281,1.38751291668947,2.15726307065167,2.12174190632466,bed,4.07249363791198,2,Return,2.20227387268096,2
22,1774000291,7,4988080.20710312,4988155.7344352,4988083.41910823,4988158.74630562,OK,OK,0,0,f,f,3.19333950895816,2.95810668356717,61,121,glass,1,Not Studied,8,172,170,Not Studied,paint brush,f,f,go,0,0,4988315.59452981,4988324.65022688,4988327.882239,4988329.59332997,Return,Return,12,0,0,,,0,0,NaN,NaN,vacuum,9.03314549475908,2,Return,1.64123788569123,2
22,1774000291,8,4988085.7205273,4988160.90761828,4988089.13271751,4988164.01958291,OK,OK,0,0,f,f,3.3116287374869,3.07262463960797,153,8,knife,1,Not Studied,10,61,121,CFS,glass,f,f,nogo,0,0,4988331.56456427,4988334.43635696,4988336.66776116,4988340.17993781,Return,OK,4,0,0,,,0,0,NaN,NaN,lamp,2.84660417865962,2,NO RESPONSE,NaN,2
22,1774000291,9,4988092.45477867,4988166.87136739,4988095.16646549,4988169.98335224,OK,OK,12,8,NO RESPONSE,NO RESPONSE,NaN,NaN,56,99,clothes pin,1,Binocular,4,143,128,Binocular,high heel,z,z,go,1,1,4988342.17119241,4988347.56460714,4988350.15618911,4988351.96732237,Return,Return,8,1,1,,,0,0,NaN,NaN,shoe,5.38324943464249,2,Return,1.74204294104129,2
22,1774000291,10,4988098.22836279,4988173.28542149,4988101.84065719,4988176.09713973,OK,OK,3,11,NO RESPONSE,NO RESPONSE,NaN,NaN,50,80,dresser,1,Binocular,3,153,8,Binocular,knife,z,z,nogo,1,1,4988353.87856009,4988357.07022194,4988359.51206436,4988362.72406646,Return,OK,7,1,1,,,0,0,NaN,NaN,brush,3.17139947321266,2,NO RESPONSE,NaN,2
22,1774000291,11,4988104.88253662,4988178.14812226,4988107.19397429,4988180.3598545,OK,OK,6,1,j,j,2.28467925358564,2.17526613082737,143,128,high heel,1,CFS,9,53,23,CFS,floss,j,j,go,1,0,4988364.51522711,4988372.53020596,4988374.7916258,4988377.50333978,Return,Return,4,0.895727494723439,0.924686178240373,3,3,4.07860414331815,1.5972986497835,2.05038117862959,2.03565249339294,light,7.98990745097399,2,Return,2.67333415988833,2
22,1774000291,12,4988112.92759148,4988183.85200965,4988115.83945464,4988187.46430979,OK,OK,10,3,NO RESPONSE,NO RESPONSE,NaN,NaN,53,23,floss,1,Binocular,11,32,122,Not Studied,chain,z,z,nogo,1,1,4988379.27445299,4988383.66719761,4988385.67846042,4988389.39074339,Return,OK,2,1,1,,,0,0,NaN,NaN,necklace,4.3660797867924,2,NO RESPONSE,NaN,2
22,1774000291,13,4988395.16438727,4988469.3408463,4988399.67725274,4988472.65291966,OK,OK,0,0,f,f,4.49931797664613,3.28711062856019,107,64,ring,2,Not Studied,18,25,85,Not Studied,calculator,f,f,go,0,0,4988543.66740589,4988551.00200487,4988552.96324381,4988554.5742611,Return,Return,1,0,0,,,0,0,NaN,NaN,calculator,7.30826827790588,2,Return,1.57235010992736,2
22,1774000291,14,4988403.03933335,4988475.66483385,4988406.45146047,4988478.87684651,OK,OK,9,8,j,j,3.36007031891495,3.11474584974349,177,179,paper towel,2,CFS,22,45,165,Binocular,cutting board,j,j,go,1,0,4988556.15525067,4988558.1865054,4988560.75811176,4988562.36914021,Return,Return,8,0.886949233302708,0.931062779704023,2,3,1.28873291210167,2.56687161207713,2.05496862386434,2.03248971804528,plate,2.02007039636374,2,Return,1.55309651046991,2
22,1774000291,15,4988410.42393748,4988483.46969292,4988412.63538689,4988485.48099437,OK,OK,2,7,j,j,2.11116081569344,1.99751670658588,45,165,cutting board,2,CFS,14,16,13,Not Studied,book,j,j,go,1,0,4988564.1202129,4988573.43605421,4988575.98766684,4988577.49862313,Return,Return,9,1,1,2,3#,1.95314961782647,3.87956100496509,2,2,board,9.28628568165004,2,Return,1.41076065693051,2
22,1774000291,16,4988416.29765263,4988488.60291089,4988420.1100135,4988492.71548888,OK,OK,0,0,f,f,3.74901560228318,4.09587831236422,4,34,bandana,2,Not Studied,20,161,163,CFS,pen,f,f,go,0,0,4988579.40980531,4988580.88069777,4988583.29224474,4988584.30288122,Return,Return,7,0,0,,,0,0,NaN,NaN,pen,1.46029280964285,2,Return,0.977771096862853,2
22,1774000291,17,4988422.35144323,4988494.91686324,4988427.16442832,4988498.22895471,OK,OK,0,0,f,f,4.76690304279327,3.22168835625052,16,13,book,2,Not Studied,15,81,96,Binocular,stroller,f,f,go,0,0,4988585.94389966,4988590.01613009,4988593.21846342,4988594.62932852,Return,Return,5,0,0,,,0,0,NaN,NaN,stroller,4.04570926260203,2,Return,1.32303190603852,2
22,1774000291,18,4988430.04624715,4988500.78055497,4988431.45715481,4988504.1927014,OK,OK,9,5,f,j,1.35180243290961,3.35772345867008,155,141,lamp,2,CFS,21,107,64,CFS,ring,j,j,go,1,0,4988596.19031802,4988601.12339829,4988603.59495089,4988605.10587729,Return,Return,6,0.96491594437237,0.969233234476344,,2@,2.94143991701186,2.66489635834588,2.01615783382467,2.01412862444611,plate,4.9106922885403,2,Return,1.48191318940371,2
22,1774000291,19,4988434.96934867,4988508.1051266,4988437.98122211,4988511.8174663,OK,OK,9,2,NO RESPONSE,NO RESPONSE,NaN,NaN,161,163,pen,2,Binocular,16,147,146,Not Studied,hole punch,z,z,go,1,1,4988606.78693933,4988616.44299095,4988618.59434206,4988620.40548317,Return,Return,5,1,1,,,0,0,NaN,NaN,hole puncher,9.64125629793853,2,Return,1.77780333440751,2
22,1774000291,20,4988439.80234106,4988513.52852739,4988443.01436368,4988516.74057657,OK,OK,0,0,f,f,3.11510806530714,3.15305231977254,69,30,umbrella,2,Not Studied,23,4,34,CFS,bandana,f,f,nogo,0,0,4988622.32669451,4988625.4986675,4988628.1703581,4988631.18225811,Return,OK,9,0,0,,,0,0,NaN,NaN,arm chair,3.15706265717745,2,NO RESPONSE,NaN,2
