subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,list,tType_study,trial_test,item_test,pair_test,tType_test,gonogo_answer,name,name_test,roboBCFS_1,roboBCFS_2,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,response_cue,rt_cue,RoboRT_cue,response_noise,rt_noise,RoboRT_noise
7,231820957,1,2174665.09504949,2174771.79104736,2174670.00808553,2174776.70406951,OK,OK,3,7,NO RESPONSE,NO RESPONSE,NaN,NaN,53,23,1,Binocular,2,184,181,Not Studied,go,floss,mailbox,z,z,1,1,2174895.49747648,2174912.47796145,2174914.75939317,2174917.37101368,Return,Return,1,1,1,,,0.1,0.1,  trunk,16.9678682768717,1,Return,2.60183190694079,1
7,231820957,2,2174672.43958975,2174778.86539704,2174677.35264269,2174783.7784367,OK,OK,2,0,NO RESPONSE,NO RESPONSE,NaN,NaN,50,80,1,Binocular,8,53,23,Binocular,go,dresser,floss,z,z,1,1,2174919.42232688,2174926.8068414,2174929.3784309,2174931.08949322,Return,Return,3,1,1,,,0.1,0.1,floss,7.36269210185856,1,Return,1.68662642687559,1
7,231820957,3,2174681.47518015,2174785.64959708,2174684.68717611,2174788.86157976,OK,OK,0,0,f,f,3.17887444933876,3.16232124064118,85,25,1,Not Studied,11,32,122,Not Studied,nogo,foot stool,chain,f,f,0,0,2174932.73053146,2174937.50344569,2174939.54469711,2174944.45773405,Return,OK,3,1,1,,,0.1,0.1,chains,4.75026593590155,1,NO RESPONSE,NaN,1
7,231820957,4,2174688.25932857,2174792.05355358,2174690.770925,2174800.56880518,OK,OK,6,5,j,j,2.45866557676345,8.47019015718251,8,153,1,CFS,5,56,99,CFS,nogo,bed,clothes pin,j,j,0,1,2174946.0684182,2174961.36788645,2174964.04984889,2174968.96288915,Return,OK,1,1,1,3#,3#,0.1,0.1,clothes pin,15.283938636072,1,NO RESPONSE,NaN,1
7,231820957,5,2174696.93476578,2174807.69322682,2174701.8477665,2174812.60625893,OK,OK,8,10,NO RESPONSE,NO RESPONSE,NaN,NaN,56,99,1,Binocular,4,8,153,Binocular,go,clothes pin,bed,z,z,1,1,2174971.03417499,2174974.76617136,2174977.83835763,2174978.74893897,Return,Return,9,1,1,,,0.1,0.1,bed,3.70990228280425,1,Return,0.841711864806712,1
7,231820957,6,2174703.75895699,2174815.06777887,2174708.67199393,2174819.98081219,OK,OK,2,7,NO RESPONSE,NO RESPONSE,NaN,NaN,172,170,1,Binocular,9,141,155,CFS,go,paint brush,purse,z,z,1,1,2174980.60010861,2174992.30732105,2174994.81888004,2174998.13093933,Return,Return,6,1,1,,,0.1,0.1,NO RESPONSE,11.6955474950373,1,Return,3.23680705809966,1
7,231820957,7,2174710.82334812,2174821.99205061,2174714.83580453,2174824.30348355,OK,OK,0,0,f,f,3.94214949617162,2.28317675041035,61,121,1,Not Studied,7,61,121,Not Studied,go,glass,glass,f,f,0,0,2174999.97207012,2175006.63589913,2175009.68807474,2175011.9995454,Return,Return,6,1,1,,,0.1,0.1,spatula,6.65135358506814,1,Return,2.23131477832794,1
7,231820957,8,2174717.37738557,2174826.51485074,2174720.68943128,2174828.72617114,OK,OK,0,0,f,f,3.25997183099389,2.12030341429636,141,155,1,Not Studied,6,50,80,CFS,go,purse,dresser,f,f,0,0,2175014.75120863,2175019.57418879,2175022.97599244,2175023.88686115,Return,Return,5,1,1,,,0.1,0.1,dresser,4.80794921098277,1,Return,0.807163176126778,1
7,231820957,9,2174723.41110114,2174830.96762166,2174726.12281969,2174832.47853015,OK,OK,4,0,j,j,2.62619323888794,1.4354087379761,32,122,1,CFS,3,172,170,Binocular,nogo,chain,paint brush,j,j,0,1,2175025.5879127,2175030.9912525,2175033.72294309,2175038.63598396,Return,OK,8,1,1,3#,3#,0.1,0.1,paint brush,5.38699819380417,1,NO RESPONSE,NaN,1
7,231820957,10,2174748.62669553,2174837.19144406,2174751.33837454,2174839.30275879,OK,OK,0,0,f,f,2.6979584232904,2.0834769164212,153,8,1,Not Studied,12,143,128,Binocular,go,knife,high heel,f,f,0,0,2175040.64720396,2175044.38955341,2175046.32074008,2175048.53213474,Return,Return,1,1,1,,,0.1,0.1,belts,3.71936125960201,1,Return,2.16590457921848,1
