firstTarget,response_cue,minDist,cue_correct,id
high heel,shoe,0,1,1
dresser,chest of drawers,9,1,2
floss,chest of drawers,14,1,3
purse,dental floss,11,0,4
mailbox,house,7,0,5
chain,chain,0,1,6
glass,shoe,4,0,7
foot stool,screw,4,0,8
knife,shoe,4,0,9
clothes pin,butterfly,9,0,10
bed,bridge,4,0,11
paint brush,table,5,0,12
bandana,box,6,0,13
calculator,calculator,0,1,14
lazy chair,stroller,6,0,15
lamp,table,4,0,16
ring,plate,5,0,17
pen,pen,0,1,18
hole punch,recliner,8,0,19
book,book,0,1,20
paper towel,paper,6,0,21
cutting board,plate,12,0,22
stroller,greenhouse,9,0,23
umbrella,book,7,0,24
deoderant,tape,8,0,25
paint tray,grater,8,0,26
kid toy,plate,5,0,27
shoe,ice cube tray,10,0,28
mug,mug,0,1,29
moccosin,slipper,0,1,30
lure,lure,0,1,31
plane,plane,0,1,32
bib,basket,5,0,33
radio,table,4,0,34
scissors,scissors,0,1,35
sweater,sweater,0,1,36
crayon,concrete,7,0,37
bobby pin,bobby pin,0,1,38
keys,box,4,0,39
ladle,hammer,4,0,40
camera,camera,0,1,41
guitar,spoon,6,0,42
pill,pill,0,1,43
axe,ax,1,1,44
watering pot,spoon,9,0,45
watch,clock,4,0,46
cork screw,camera,8,0,47
sponge,sponge,0,1,48
blanket,towel,0,1,49
scarf,scarf,0,1,50
lock,chair,5,0,51
notebook,crowbar,7,0,52
truck,camera,5,0,53
key,key,0,1,54
clipboard,clipboard,0,1,55
marker,hammer,3,0,56
crowbar,spoon,6,0,57
magnifying glass,fishing pole,11,0,58
steering wheel,crowbar,12,0,59
briefcase,crowbar,7,0,60
mouse trap,paper,8,0,61
speakers,screen,6,0,62
egg beater,teapot,8,0,63
pfd,life jacket,0,1,64
eletric kettle,teapot,5,0,65
battery,battery,0,1,66
binder,blanket,4,0,67
rug,rug,0,1,68
knot,rug,3,0,69
hammer,hammer,0,1,70
toothbrush,baby toy,10,0,71
helmet,helmet,0,1,72
crib,crib,0,1,73
nail,nail,0,1,74
dice,crib,3,0,75
cd,teapot,6,0,76
