subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType,swap,trial_test,item_test,pair_test,tType_test,swap_test,name_test,mm_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_cue,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,meanRoboRT_cue,response_noise,rt_noise,RoboRT_noise,meanRoboRT_noise
1,893524713,1,3022445.50171649,3022518.10061032,3022450.21050657,3022518.7090539,OK,SPACE,0,0,NO RESPONSE,space,NaN,0.573011967353523,58,74,keys,1,NOT STUDIED,mismatch,6,37,112,BINOCULAR,mismatch,compass,p,0,0,3022616.06873394,3022618.66865437,3022619.89411086,3022625.10295995,OK,OK,4,8,0,0,,,0,0,NaN,NaN,q,2.58590354397893,2,NaN,p,5.13638272183016,2,NaN
1,893524713,2,3022453.32746831,3022521.22588602,3022453.6358332,3022523.13449281,SPACE,SPACE,0,0,space,space,0.212049947120249,1.85558554995805,189,19,fire hydrant,1,NOT STUDIED,match,10,130,160,CFS,mismatch,glove,p,0,0,3022627.43647711,3022634.05351749,3022635.27863379,3022637.98758113,OK,OK,1,0,0,0,,,0,0,NaN,NaN,mop,6.60166907077655,2,NaN,p,2.63150189537555,2,NaN
1,893524713,3,3022456.69448643,3022525.90972093,3022457.50289433,3022526.71816415,SPACE,SPACE,0,0,space,space,0.732958008535206,0.70765570923686,81,96,lamp,1,NOT STUDIED,mismatch,8,66,95,NOT STUDIED,match,vest,q,0,0,3022640.12111888,3022654.82224941,3022656.05570442,3022662.06499277,OK,OK,8,9,0,0,,,0,0,NaN,NaN,microchip,14.6924214446917,2,NaN,q,5.93372073257342,2,NaN
1,893524713,4,3022460.91157432,3022529.16837652,3022461.21997482,3022531.17689363,SPACE,OK,10,0,space,Return,0.219672965817153,1.93687329487875,176,154,paper towel,1,CFS,match,11,40,88,CFS,match,cooler,q,0,1,3022664.07348875,3022677.34118365,3022678.57463111,3022682.08360689,OK,OK,1,4,0.60311512471049,0.60311512471049,,3,1.62558093138909,2.74019125875613,2.2457063559788,2.2457063559788,camara,13.2593933157623,2,NaN,q,3.43824718287215,2,NaN
1,893524713,5,3022464.75334522,3022535.56899882,3022466.76219527,3022535.67737493,OK,SPACE,10,2,Return,space,1.9698224584572,0.0801225886680186,64,107,wardrobe,1,CFS,mismatch,4,176,154,CFS,match,paper towel,q,0,1,3022684.17548789,3022687.76718401,3022688.99231571,3022692.10130066,OK,OK,7,2,0.60311512471049,0.60311512471049,3,,1.78281501195989,2.52328757735305,2.2457063559788,2.2457063559788,paperclip,3.57310282532126,2,NaN,p,3.08420637017116,2,NaN
1,893524713,6,3022472.84609707,3022538.88602993,3022477.55489922,3022543.59487042,OK,OK,2,1,NO RESPONSE,NO RESPONSE,NaN,NaN,37,112,compass,1,BINOCULAR,mismatch,1,58,74,NOT STUDIED,mismatch,keys,p,1,1,3022694.74320836,3022699.21833666,3022700.44346624,3022705.0525588,OK,OK,3,0,1,1,,,0,0,NaN,NaN,cd,4.46105043357238,2,NaN,p,4.56072379695252,2,NaN
1,893524713,7,3022479.9967928,3022546.57011055,3022484.70560008,3022551.27893715,OK,OK,1,10,NO RESPONSE,NO RESPONSE,NaN,NaN,191,60,ladder,1,BINOCULAR,match,2,189,19,NOT STUDIED,match,fire hydrant,q,1,1,3022706.81940323,3022714.10316732,3022715.33660422,3022720.44575942,OK,OK,2,7,1,1,,,0,0,NaN,NaN,pen,7.27237575035542,2,NaN,p,5.07511724764481,2,NaN
1,893524713,8,3022487.71425876,3022553.9958474,3022488.62269199,3022554.70426589,SPACE,SPACE,0,0,space,space,0.896136602386832,0.652686906978488,66,95,vest,1,NOT STUDIED,match,5,64,107,CFS,mismatch,wardrobe,p,0,0,3022722.46256846,3022724.67918847,3022725.91265888,3022728.82160857,OK,OK,8,4,0,0,,,0,0,NaN,NaN,clock,2.20492649683729,2,NaN,p,2.87479281472042,2,NaN
1,893524713,9,3022491.73964528,3022557.76289376,3022496.44846735,3022562.47169622,OK,OK,1,7,NO RESPONSE,NO RESPONSE,NaN,NaN,57,90,cd,1,BINOCULAR,match,9,57,90,BINOCULAR,match,cd,q,1,1,3022731.07182915,3022736.55540121,3022737.77219388,3022742.38127015,OK,OK,8,1,1,1,,,0,0,NaN,NaN,microchip,5.4593277531676,2,NaN,p,4.50278656417504,2,NaN
1,893524713,10,3022498.30696911,3022565.28030756,3022500.81555399,3022565.68871257,OK,SPACE,2,9,Return,space,2.4631474125199,0.343896408565342,130,160,glove,1,CFS,mismatch,7,191,60,BINOCULAR,match,ladder,q,0,1,3022744.23980843,3022748.21489039,3022749.44002691,3022751.44887214,OK,OK,4,0,0.60311512471049,0.60311512471049,3,,2.01502961061714,3.09453172724257,2.2457063559788,2.2457063559788,hose,3.9629884865135,2,NaN,q,1.97078839084134,2,NaN
