subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,item,tType,eyes_1,eyes_2,transparency,pas,RoboRT,meanRoboRT,roboBCFS
4,928742899,1,114290.470062584,114305.478806379,OK,9,j,14.9710933788301,9,CFS,0,1,0.5,2,2.3715956523953,2.34671662001737,j
4,928742899,2,114327.204265166,114344.71308744,OK,1,j,17.426376208954,20,CFS,0,1,0.727495707309101,2,1.39702203732658,2.15022107250873,j
4,928742899,3,114355.371690364,114358.980103399,OK,10,j,3.54599607965793,11,CFS,0,1,0.877527328480149,3,1.71799459394839,2.05995856853313,j
4,928742899,4,114368.146986488,114390.555832547,OK,2,f,22.3766197662626,4,CFS,0,1,1,,3.40517060368105,2,j
4,928742899,5,114396.522661485,114411.231331449,OK,8,j,14.6236947543948,15,CFS,0,1,1,2,3.4797882921993,2,j
4,928742899,6,114418.414829498,114425.923361399,OK,7,j,7.47455280415306,3,CFS,0,1,1,2,1.07871935163424,2,j
4,928742899,7,114433.698514146,114434.806894884,OK,1,j,1.00620770799287,8,CFS,0,1,1,3,3.01013185336693,2,j
4,928742899,8,114440.048677353,114450.357257428,OK,1,f,10.2150904714654,16,CFS,0,1,1,,3.59907100907642,2,j
4,928742899,9,114454.399013818,114465.507605846,OK,1,f,11.0718235979875,10,CATCH,0,0,0,,0,NaN,f
4,928742899,10,114470.241045971,114478.249588739,OK,1,f,7.94096882019949,13,CATCH,0,0,0,,0,NaN,f
4,928742899,11,114484.516395219,114492.824913718,OK,0,f,8.22467188131122,18,CFS,0,1,1,,3.40417922397331,2,j
4,928742899,12,114497.050022367,114500.058417231,OK,9,j,2.9144549103512,12,CFS,0,1,1,1,2.10499042480827,2,j
4,928742899,13,114506.775236962,114509.78362428,OK,10,j,2.94868332962506,2,CFS,0,1,1,3,2.470671392543,2,j
4,928742899,14,114515.575439982,114523.483961862,OK,8,j,7.81166944060533,6,CFS,0,1,1,3,3.09276497855788,2,j
4,928742899,15,114530.784131679,114532.292506017,OK,4,j,1.47440188254404,19,CFS,0,1,1,2,3.5814897309778,2,j
4,928742899,16,114536.934289029,114538.742686489,OK,8,j,1.72381132624287,14,CFS,0,1,1,2,3.24892466524412,2,j
4,928742899,17,114544.892811241,114556.301398621,OK,1,f,11.3561016704625,7,CATCH,0,0,0,,0,NaN,f
4,928742899,18,114559.893148098,114563.801589688,OK,7,j,3.84337897806836,17,CFS,0,1,1,2,1.98642000851489,2,j
4,928742899,19,114568.368347752,114575.876855204,OK,1,f,7.40736310352804,5,CATCH,0,0,0,,0,NaN,f
4,928742899,20,114579.560271756,114584.868758259,OK,10,j,5.29475203275797,1,CFS,0,1,1,1,2.81146605389665,2,j
