subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,tType,correctDirection,eyes_1,eyes_2,eyePresent,RoboRT
8,936742956,1,194220.443636511,194236.952575296,OK,10,RightArrow,16.4872881739575,3,\RIGHT,0,1,right,3
8,936742956,2,194242.486072349,194250.094709654,OK,9,LeftArrow,7.51600342651363,2,\LEFT,1,0,left,3
8,936742956,3,194253.869823766,194255.478237405,OK,4,RightArrow,1.53990458132466,4,\RIGHT,1,0,left,3
8,936742956,4,194258.053286801,194259.161699233,OK,0,RightArrow,1.01216548978118,4,\RIGHT,1,0,left,3
8,936742956,5,194263.995177752,194271.503802923,OK,9,RightArrow,7.49348199716769,3,\RIGHT,0,1,right,3
8,936742956,6,194275.070597511,194277.279026604,OK,10,RightArrow,2.19368163627223,4,\RIGHT,1,0,left,3
8,936742956,7,194281.104163988,194285.312643791,OK,6,RightArrow,4.14359648630489,3,\RIGHT,0,1,right,3
8,936742956,8,194287.904404134,194292.01291225,OK,2,LeftArrow,4.02299290848896,2,\LEFT,1,0,left,3
8,936742956,9,194294.479333397,194297.988079305,OK,0,RightArrow,3.49557045052643,3,\RIGHT,0,1,right,3
8,936742956,10,194302.28827991,194304.596673748,OK,8,LeftArrow,2.21423052009777,2,\LEFT,1,0,left,3
8,936742956,11,194313.255325571,194314.86374253,OK,2,LeftArrow,1.59849386260612,2,\LEFT,1,0,left,3
8,936742956,12,194317.671820338,194318.780242428,OK,4,RightArrow,1.05381895080791,4,\RIGHT,1,0,left,3
8,936742956,13,194321.788964189,194324.19738978,OK,7,LeftArrow,2.38438075955492,1,\LEFT,0,1,right,3
8,936742956,14,194327.255786788,194328.164211474,OK,7,RightArrow,0.869237888080534,4,\RIGHT,1,0,left,3
8,936742956,15,194331.655979303,194333.264383585,OK,2,LeftArrow,1.51669283647789,1,\LEFT,0,1,right,3
8,936742956,16,194335.989523021,194337.597890478,OK,4,RightArrow,1.5188875386666,3,\RIGHT,0,1,right,3
8,936742956,17,194342.014713349,194343.123088955,OK,5,LeftArrow,1.021323413559,1,\LEFT,0,1,right,3
8,936742956,18,194346.189876902,194347.398235968,OK,8,LeftArrow,1.17390486746444,1,\LEFT,0,1,right,3
8,936742956,19,194350.589963169,194353.798455046,OK,10,LeftArrow,3.11746078601573,2,\LEFT,1,0,left,3
8,936742956,20,194355.806860776,194357.11524254,OK,0,LeftArrow,1.27624360923073,1,\LEFT,0,1,right,3
