subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType_study,trial_test,item_test,pair_test,tType_test,name_test,roboBCFS_1,roboBCFS_2,gonogo_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,response_noise,rt_noise,RoboRT_noise
39,14542257,1,1906.1572008481,2090.12096176323,1919.97575337355,2100.53740606225,OK,OK,3,2,f,j,13.7323413925003,10.3888518946933,85,25,foot stool,1,CFS,1,85,25,CFS,foot stool,j,j,go,0,1,2264.25863068215,2267.7204675637,2272.83393302166,2274.04468382339,Return,Return,3,1,1,,3,1.8064426959834,2.53024924126992,2,2,NO RESPONSE,3.44771422154781,2,Return,1.15237084162436,2
39,14542257,2,1923.57798312743,2105.98079015175,1943.70042428955,2115.99696181394,OK,OK,0,0,f,f,20.0230877992001,9.93674807536263,56,99,clothes pin,1,Not Studied,11,153,8,Not Studied,knife,f,f,go,0,0,2276.47587985144,2281.83949835066,2286.88262399059,2288.99392966501,Return,Return,10,0,0,,,0,0,NaN,NaN,bed,5.33416273448256,2,Return,2.03136500734126,2
39,14542257,3,1946.62223831453,2118.71864887806,1963.54269639994,2126.63354042704,OK,OK,0,0,f,f,16.9063468959487,7.88664321040142,50,80,dresser,1,Not Studied,7,172,170,CFS,paint brush,f,f,nogo,0,0,2291.25532444748,2313.17887897726,2316.16072532504,2318.97249030437,Return,OK,11,0,0,,,0,0,NaN,NaN,frame,21.9060713009294,2,NO RESPONSE,NaN,2
39,14542257,4,1967.24498374804,2130.16573101202,1979.46254141472,2132.77735876736,OK,OK,8,8,j,j,12.1393264131716,2.54346522854166,61,121,glass,1,CFS,5,8,153,Binocular,bed,j,j,nogo,0,1,2321.27389435987,2323.24510328323,2326.92738388183,2329.63906168499,Return,OK,12,1,1,3,2,1.09301178464315,1.69626342623427,2,2,bed,1.94329504182497,2,NO RESPONSE,NaN,2
39,14542257,5,1986.57696194676,2138.32076271903,1989.88898622085,2141.33263443483,OK,OK,6,9,NO RESPONSE,NO RESPONSE,NaN,NaN,184,181,mailbox,1,Binocular,8,61,121,Not Studied,glass,z,z,go,1,1,2331.540238684,2334.49206117304,2336.95358623679,2337.8641464463,Return,Return,1,1,1,,,0,0,NaN,NaN,glass,2.94067764378042,2,Return,0.839377306183906,2
39,14542257,6,1994.84204541613,2143.95425032118,2008.06022430356,2151.16871244905,OK,OK,0,0,f,f,13.1977003361474,7.13052155980131,53,23,floss,1,Not Studied,9,143,128,Binocular,high heel,f,f,go,0,0,2340.80596963565,2343.65772909704,2346.86971600129,2348.48073068601,Return,Return,10,0,0,,,0,0,NaN,NaN,shoe,2.82678807739103,2,Return,1.52304010586704,2
39,14542257,7,2010.9320200964,2154.04048590451,2021.44850055783,2158.35315252932,OK,OK,1,2,j,j,10.467396173425,4.21211489142843,141,155,purse,1,CFS,10,50,80,CFS,dresser,j,j,go,0,1,2350.36189067239,2357.75644705195,2359.67763804503,2361.38870036271,Return,Return,1,1,0.96491594437237,3,3,2.41930434842174,3.06684602863142,2,2.01615783382467,wood,7.37454329105731,2,Return,1.60278124577371,2
39,14542257,8,2026.93189029809,2162.42567114783,2045.25322412969,2171.84149271681,OK,OK,8,2,f,f,18.3069871940381,9.32269520458658,153,8,knife,1,CFS,2,184,181,Binocular,mailbox,j,j,go,0,1,2364.0703600424,2370.16412453152,2372.76573970548,2375.27728632179,Return,Return,7,1,1,,,3.5184178688263,1.94005910622382,2,2,window,6.07389085833483,2,Return,2.46640668769214,2
39,14542257,9,2048.30511025008,2174.49314876215,2066.72649956291,2188.31167955393,OK,OK,0,0,f,f,18.3973766251956,13.8067665369085,172,170,paint brush,1,Not Studied,3,53,23,Not Studied,floss,f,f,nogo,0,0,2377.91892465419,2380.85072952688,2383.30228366546,2386.51424400634,Return,OK,7,0,0,,,0,0,NaN,NaN,floor,2.90509268203141,2,NO RESPONSE,NaN,2
39,14542257,10,2071.24930663553,2191.48363213106,2074.7614654169,2195.39607773651,OK,OK,4,0,NO RESPONSE,NO RESPONSE,NaN,NaN,8,153,bed,1,Binocular,4,141,155,Not Studied,purse,z,z,go,1,1,2388.47547475996,2399.74241917489,2402.29400374061,2405.10574940112,Return,Return,1,1,1,,,0,0,NaN,NaN,string,11.2441756780904,2,Return,2.78555779466024,2
39,14542257,11,2077.29303206441,2198.37789993577,2081.10539079555,2201.48982411423,OK,OK,1,8,NO RESPONSE,NO RESPONSE,NaN,NaN,143,128,high heel,1,Binocular,6,56,99,Binocular,clothes pin,z,z,go,1,1,2407.04695408641,2411.87993112841,2415.0618999092,2417.9737082955,Return,OK,10,1,1,,,0,0,NaN,NaN,flower,4.80840833462116,2,NO RESPONSE,NaN,2
39,14542257,12,2084.28735535035,2203.7212037918,2087.09909678487,2207.13331735506,OK,OK,11,5,NO RESPONSE,NO RESPONSE,NaN,NaN,32,122,chain,1,Binocular,12,32,122,CFS,chain,z,z,go,1,1,2419.92493341045,2424.05746684408,2427.43956107644,2429.95111825773,Return,Return,12,1,1,,,0,0,NaN,NaN,necklace,4.12218669706181,2,Return,2.49545343681802,2
39,14542257,13,2440.21746831714,2537.04737185586,2446.03106798051,2544.26183549302,OK,OK,0,0,f,f,5.75727323329374,7.13328415084106,81,96,stroller,2,Not Studied,19,161,163,CFS,pen,f,f,go,0,0,2625.71219337413,2630.26499774211,2632.86662076435,2634.67774369482,Return,Return,3,0,0,,,0,0,NaN,NaN,umbrella,4.53867597270255,2,Return,1.72818362053977,2
39,14542257,14,2448.71274214932,2546.71334586239,2454.42621690445,2553.42750160588,OK,OK,0,0,f,f,5.64579248208202,6.6511827342888,161,163,pen,2,Not Studied,13,107,64,Not Studied,ring,f,f,go,0,0,2636.69899892298,2639.07046689962,2642.13234990485,2643.34310161216,Return,Return,10,0,0,,,0,0,NaN,NaN,mirror,2.35969526978715,2,Return,1.1423054353495,2
39,14542257,15,2457.24800865242,2555.80897190078,2467.46432417943,2560.52188701389,OK,OK,0,0,f,f,10.1342751458574,4.65938568572165,110,102,lazy chair,2,Not Studied,16,177,179,CFS,paper towel,f,f,nogo,0,0,2645.20425032118,2670.18969087476,2673.83197427458,2676.54363094778,Return,OK,12,0,0,,,0,0,NaN,NaN,paper towel,24.973749046133,2,NO RESPONSE,NaN,2
39,14542257,16,2471.00651738452,2564.01405021444,2474.91895151943,2567.02594909733,OK,OK,0,9,NO RESPONSE,NO RESPONSE,NaN,NaN,177,179,paper towel,2,Binocular,15,110,102,Binocular,lazy chair,z,z,nogo,1,1,2678.56490217433,2682.64740258486,2685.74932565249,2688.46100073894,Return,OK,12,1,1,,,0,0,NaN,NaN,table,4.06889603819354,2,NO RESPONSE,NaN,2
