subject,seed,dominantEye,sex,ethnicity,race,trial,item,tStart,tEnd,exitFlag,jitter,tType,eyes_1,eyes_2,transparency,pas,response,rt,RoboRT,meanRoboRT
6,788062814,Right,Male,Not Hispanic or Latino,White,1,45,490062.688508033,490064.188588777,SPACE,5,NULL,0,0,0,,space,1.47655608342029,0,NaN
6,788062814,Right,Male,Not Hispanic or Latino,White,2,75,490066.0303174,490067.030353923,OK,1,CFS,1,0,0.367879441171442,2@,Return,0.934626219735947,2.00991864218955,2.52478821136401
6,788062814,Right,Male,Not Hispanic or Latino,White,3,47,490070.663839075,490072.288899105,SPACE,0,CFS,1,0,0.173773943450445,,space,1.60478987154784,2.59221349414207,3.03568827256864
6,788062814,Right,Male,Not Hispanic or Latino,White,4,48,490074.230661866,490075.855719481,SPACE,8,CFS,1,0,1,,space,1.56577327329433,0.876636394668844,2
6,788062814,Right,Male,Not Hispanic or Latino,White,5,9,490077.739129398,490079.239200181,OK,4,CFS,1,0,1,2@,Return,1.44110730348621,1.66502464913645,2
6,788062814,Right,Male,Not Hispanic or Latino,White,6,6,490081.764303344,490083.139364959,OK,1,CFS,1,0,0.687289278790972,2@,Return,1.29567252617562,2.2469620577449,2.17860838536917
6,788062814,Right,Male,Not Hispanic or Latino,White,7,83,490085.864448562,490087.739542021,SPACE,8,NULL,0,0,0,,space,1.795337326359,0,NaN
6,788062814,Right,Male,Not Hispanic or Latino,White,8,85,490089.339592007,490091.839671845,SPACE,2,NULL,0,0,0,,space,2.49590923375217,0,NaN
6,788062814,Right,Male,Not Hispanic or Latino,White,9,16,490093.664817358,490095.289834525,OK,6,CFS,1,0,0.472366552741015,2@,Return,1.6105234339484,2.64489096311227,2.3784840742878
6,788062814,Right,Male,Not Hispanic or Latino,White,10,82,490097.581589394,490099.456635765,OK,4,CFS,1,0,0.32465246735835,2@,Return,1.8055155693437,4.14418518011393,2.60215941258796
6,788062814,Right,Male,Not Hispanic or Latino,White,11,74,490102.665103206,490104.040166933,OK,3,CFS,1,0,0.22313016014843,3#,Return,1.30572821974056,3.54124819334271,2.85246827823525
6,788062814,Right,Male,Not Hispanic or Latino,White,12,27,490107.223613162,490108.973675417,OK,5,CFS,1,0,0.153354966844928,2@,Return,1.68308205163339,2.4639954525588,3.13258198544045
6,788062814,Right,Male,Not Hispanic or Latino,White,13,3,490111.782114062,490113.907191146,SPACE,5,CFS,1,0,0.105399224561864,,space,2.05218281358248,5.23935098036245,3.44604946395477
6,788062814,Right,Male,Not Hispanic or Latino,White,14,31,490115.623932333,490116.873998664,OK,1,CFS,1,0,1,2@,Return,1.18618487642379,2.53439905541684,2
6,788062814,Right,Male,Not Hispanic or Latino,White,15,80,490119.082387021,490120.207408264,OK,1,CFS,1,0,0.687289278790972,2@,Return,1.07950892089866,1.85640248975227,2.17860838536917
6,788062814,Right,Male,Not Hispanic or Latino,White,16,29,490123.824239673,490126.324320417,OK,5,CFS,1,0,0.472366552741015,1!,Return,2.37739005341427,2.57607645627316,2.3784840742878
6,788062814,Right,Male,Not Hispanic or Latino,White,17,33,490130.291135481,490131.541215395,OK,0,CFS,1,0,0.32465246735835,2@,Return,1.22216581058456,1.78395511806203,2.60215941258796
6,788062814,Right,Male,Not Hispanic or Latino,White,18,49,490134.099597971,490136.474683733,SPACE,7,NULL,0,0,0,,space,2.27745944773778,0,NaN
6,788062814,Right,Male,Not Hispanic or Latino,White,19,71,490138.299749559,490140.799877994,OK,7,CFS,1,0,0.22313016014843,2@,Return,2.46107138984371,2.50987756368858,2.85246827823525
6,788062814,Right,Male,Not Hispanic or Latino,White,20,12,490143.5579775,490145.558344243,OK,6,CFS,1,0,0.153354966844928,2@,Return,1.9545718934969,3.68361713978186,3.13258198544045
6,788062814,Right,Male,Not Hispanic or Latino,White,21,61,490149.175133997,490151.925244548,SPACE,8,CFS,1,0,0.105399224561864,,space,2.71301339077763,3.4335598574702,3.44604946395477
6,788062814,Right,Male,Not Hispanic or Latino,White,22,90,490153.758629245,490155.008686219,OK,2,CFS,1,0,1,3#,Return,1.24932529899525,5.40959462961208,2
6,788062814,Right,Male,Not Hispanic or Latino,White,23,58,490157.850446838,490159.725504981,OK,7,CFS,1,0,0.687289278790972,2@,Return,1.781281571195,1.10345736885748,2.17860838536917
6,788062814,Right,Male,Not Hispanic or Latino,White,24,22,490162.508933582,490164.258992215,OK,5,CFS,1,0,0.472366552741015,2@,Return,1.69056330178864,3.04215009961052,2.3784840742878
6,788062814,Right,Male,Not Hispanic or Latino,White,25,66,490166.500730316,490168.875815776,OK,8,CFS,1,0,0.32465246735835,2@,Return,2.30657429376151,1.44906571017213,2.60215941258796
6,788062814,Right,Male,Not Hispanic or Latino,White,26,38,490171.325901184,490173.575989549,CAUGHT,1,NULL,0,0,0,,Return,2.16110721894074,0,NaN
6,788062814,Right,Male,Not Hispanic or Latino,White,27,52,490175.742713818,490177.867800259,SPACE,8,CFS,1,0,0.22313016014843,,space,2.04000544530572,3.01640141236051,2.85246827823525
6,788062814,Right,Male,Not Hispanic or Latino,White,28,56,490179.717821192,490181.342924687,OK,4,CFS,1,0,1,2@,Return,1.53673600166803,0.845978737871533,2
6,788062814,Right,Male,Not Hispanic or Latino,White,29,51,490183.659691411,490185.534715747,OK,5,CFS,1,0,0.687289278790972,2@,Return,1.85060681583127,2.11619286822875,2.17860838536917
6,788062814,Right,Male,Not Hispanic or Latino,White,30,43,490187.476457983,490191.226575477,SPACE,6,NULL,0,0,0,,space,3.73749610997038,0,NaN
6,788062814,Right,Male,Not Hispanic or Latino,White,31,91,490193.943332964,490195.943396352,OK,8,CFS,1,0,0.472366552741015,2@,Return,1.99038952909177,1.98024253951253,2.3784840742878
6,788062814,Right,Male,Not Hispanic or Latino,White,32,95,490198.268445726,490201.393586801,SPACE,1,NULL,0,0,0,,space,3.0250133642694,0,NaN
6,788062814,Right,Male,Not Hispanic or Latino,White,33,65,490203.20199013,490205.577065629,OK,6,CFS,1,0,0.32465246735835,2@,Return,2.33116537559545,4.59935995794961,2.60215941258796
6,788062814,Right,Male,Not Hispanic or Latino,White,34,36,490208.010492766,490209.510515858,OK,2,CFS,1,0,0.22313016014843,2@,Return,1.47446791367838,3.32435052349479,2.85246827823525
6,788062814,Right,Male,Not Hispanic or Latino,White,35,89,490211.402249778,490213.777331616,OK,7,CFS,1,0,0.153354966844928,2@,Return,2.37045031483285,2.53372679944125,3.13258198544045
6,788062814,Right,Male,Not Hispanic or Latino,White,36,4,490215.885725075,490218.510859056,SPACE,1,CFS,1,0,0.105399224561864,,space,2.57476073427824,3.48149774709108,3.44604946395477
6,788062814,Right,Male,Not Hispanic or Latino,White,37,73,490220.385865584,490222.885950855,CAUGHT,4,NULL,0,0,0,,Return,2.47432363132248,0,NaN
6,788062814,Right,Male,Not Hispanic or Latino,White,38,86,490224.794348177,490228.544487404,SPACE,5,NULL,0,0,0,,space,3.72151820029831,0,NaN
6,788062814,Right,Male,Not Hispanic or Latino,White,39,14,490230.411213997,490231.536247615,OK,1,CFS,1,0,1,2@,Return,1.04850542522036,3.54867955392566,2
6,788062814,Right,Male,Not Hispanic or Latino,White,40,70,490233.761341331,490234.886346575,OK,0,CFS,1,0,0.687289278790972,2@,Return,1.00222520780517,1.72085904371758,2.17860838536917
6,788062814,Right,Male,Not Hispanic or Latino,White,41,67,490237.844792661,490239.469843333,OK,3,CFS,1,0,0.472366552741015,2@,Return,1.50240676809335,3.08755875710257,2.3784840742878
6,788062814,Right,Male,Not Hispanic or Latino,White,42,37,490241.661574024,490243.03663926,OK,4,CFS,1,0,0.32465246735835,2@,Return,1.36554471560521,3.20067821094038,2.60215941258796
6,788062814,Right,Male,Not Hispanic or Latino,White,43,17,490245.095039193,490246.59509428,OK,3,CFS,1,0,0.22313016014843,2@,Return,1.49975414655637,4.24707820213792,2.85246827823525
6,788062814,Right,Male,Not Hispanic or Latino,White,44,32,490248.670177235,490250.045187837,OK,1,CFS,1,0,0.153354966844928,2@,Return,1.26053917518584,2.55051816401166,3.13258198544045
6,788062814,Right,Male,Not Hispanic or Latino,White,45,97,490252.253603964,490255.378703687,SPACE,4,NULL,0,0,0,,space,3.0128109427169,0,NaN
6,788062814,Right,Male,Not Hispanic or Latino,White,46,10,490257.420453197,490260.045535865,SPACE,3,CFS,1,0,0.105399224561864,,space,2.55768561485456,2.55547056301126,3.44604946395477
6,788062814,Right,Male,Not Hispanic or Latino,White,47,79,490261.937256203,490263.812311931,OK,6,CFS,1,0,1,2@,Return,1.76869188144337,3.35102383539453,2
6,788062814,Right,Male,Not Hispanic or Latino,White,48,78,490266.329065736,490268.579151686,OK,8,CFS,1,0,0.687289278790972,2@,Return,2.20057236019056,2.5712596594373,2.17860838536917
6,788062814,Right,Male,Not Hispanic or Latino,White,49,60,490270.912541062,490274.162642407,SPACE,1,NULL,0,0,0,,space,3.12884744076291,0,NaN
6,788062814,Right,Male,Not Hispanic or Latino,White,50,24,490276.129421552,490278.004458264,OK,6,CFS,1,0,0.472366552741015,2@,Return,1.79177282837918,4.15991749032242,2.3784840742878
6,788062814,Right,Male,Not Hispanic or Latino,White,51,92,490281.346222354,490284.346321057,SPACE,7,NULL,0,0,0,,space,2.88652828638442,0,NaN
6,788062814,Right,Male,Not Hispanic or Latino,White,52,40,490286.179713603,490289.55481989,SPACE,5,NULL,0,0,0,,space,3.35679239250021,0,NaN
6,788062814,Right,Male,Not Hispanic or Latino,White,53,68,490291.35488533,490293.604954981,OK,7,CFS,1,0,0.32465246735835,2@,Return,2.24536508106394,4.22173359001833,2.60215941258796
6,788062814,Right,Male,Not Hispanic or Latino,White,54,5,490296.063381296,490298.18844208,OK,8,CFS,1,0,0.22313016014843,2@,Return,2.04864699090831,2.90902313632025,2.85246827823525
6,788062814,Right,Male,Not Hispanic or Latino,White,55,35,490300.313565044,490304.688647184,OK,8,CFS,1,0,0.153354966844928,2@,Return,4.34207106719259,3.55869151904371,3.13258198544045
6,788062814,Right,Male,Not Hispanic or Latino,White,56,93,490307.322068948,490311.322213231,SPACE,7,CFS,1,0,0.173773943450445,,space,3.90922679461073,3.14707537240789,3.03568827256864
6,788062814,Right,Male,Not Hispanic or Latino,White,57,99,490313.313935409,490316.314030189,OK,3,CFS,1,0,1,2@,Return,2.88507369114086,1.50512503519772,2
6,788062814,Right,Male,Not Hispanic or Latino,White,58,21,490319.322461952,490321.822510398,SPACE,4,NULL,0,0,0,,space,2.40422596299322,0,NaN
6,788062814,Right,Male,Not Hispanic or Latino,White,59,18,490323.705938425,490327.83108916,SPACE,2,NULL,0,0,0,,space,4.10840221203398,0,NaN
6,788062814,Right,Male,Not Hispanic or Latino,White,60,62,490329.58946576,490333.214597025,OK,8,CFS,1,0,0.687289278790972,2@,Return,3.53658024920151,2.54360191197876,2.17860838536917
6,788062814,Right,Male,Not Hispanic or Latino,White,61,84,490337.023047442,490339.148117885,OK,3,CFS,1,0,0.778800783071405,2@,Return,2.07070498215035,1.76982388937103,2.11682622632695
6,788062814,Right,Male,Not Hispanic or Latino,White,62,81,490341.589848199,490344.214942035,OK,8,CFS,1,0,0.53526142851899,2@,Return,2.61558267270448,2.28562248487468,2.30934537413147
