subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,item,tType,eyes_1,eyes_2,transparency,pas,RoboRT,meanRoboRT
7,894843588,1,3035670.37275545,3035703.78472535,OK,4,Return,33.3223555111326,1,CFS,0,1,0.5,1!,2.09352748106532,2.34671662001737
7,894843588,2,3035715.60226101,3035726.01193862,OK,0,Return,10.3961020400748,4,CATCH,0,0,0,2@,0,NaN
7,894843588,3,3035735.00449702,3035737.01302711,OK,0,Return,1.91359069989994,2,CFS,0,1,0.727495707309101,3#,1.7782100080023,2.15022107250873
7,894843588,4,3035743.45533302,3035746.06393386,OK,9,Return,2.55054830247536,3,CFS,0,1,0.60311512471049,2@,4.450506109235,2.2457063559788
7,894843588,5,3035751.1144307,3035767.12436018,OK,4,Return,15.9708333672024,5,CFS,0,1,0.5,2@,2.2075380649782,2.34671662001737
