subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,list,tType_study,trial_test,item_test,pair_test,tType_test,gonogo_answer,name,name_test,roboBCFS_1,roboBCFS_2,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,response_noise,rt_noise,RoboRT_noise
63,284916914,1,776861.516134514,776991.347866797,776865.428569402,776995.260359338,OK,OK,6,3,NO RESPONSE,NO RESPONSE,NaN,NaN,208,202,1,Binocular,7,207,206,Not Studied,nogo,hockey stick,axe,z,z,1,1,777155.811433025,777159.76392431,777164.97719118,777168.889683117,Return,OK,5,1,1,,,0,0,NaN,NaN,NO RESPONSE,3.92928010236938,1,NO RESPONSE,NaN,1
63,284916914,2,776871.472374748,776998.362290891,776876.285399415,776999.973345339,OK,OK,6,2,j,j,4.70654940092936,1.53842355206143,202,208,1,CFS,11,206,207,Not Studied,go,zip tie,frame,j,j,1,0,777171.351235719,777185.490140598,777191.233755387,777192.944864499,Return,Return,3,0.5,0.931062779704023,2,2,2.94333309370732,2.15975526437292,2.34671662001737,2.03248971804528,mirror,14.1241813513916,1,Return,1.64929945673794,1
63,284916914,3,776893.075984423,777005.376702308,776901.991643346,777008.688815245,OK,OK,0,0,f,f,8.86162969388533,3.28360764752142,198,193,1,Not Studied,9,200,196,Binocular,go,chest,tape,f,f,0,0,777195.736549138,777202.180643171,777206.173127163,777207.584050549,Return,Return,6,0,0,,,0,0,NaN,NaN,guitar,6.42604233301245,1,Return,1.35725456231739,1
63,284916914,4,776906.574484391,777013.211636289,776908.986004228,777015.022812442,OK,OK,5,0,j,j,2.39472985989414,1.77636888681445,204,205,1,CFS,2,202,208,CFS,go,bowtie,zip tie,j,j,1,0,777210.806078549,777225.575355826,777230.168267415,777231.679219506,Return,Return,1,1,0.866877899750182,2,2,1.1436143685169,4.15859602729176,2,2.06568315727633,stick,14.747337476816,1,Return,1.46489043382462,1
63,284916914,5,776914.019174573,777022.617556549,776917.631446976,777025.829612105,OK,OK,0,10,j,j,3.5976650872035,3.16990916500799,201,203,1,CFS,8,199,195,Binocular,go,bellow,scroll,j,j,1,0,777233.570415484,777254.273442926,777256.78499509,777258.195871689,Return,Return,0,0.90483741803596,0.807117747005389,2,2,2.30016900865171,1.46598599503998,2.04568180093028,2.09959556016176,board,20.6855715893907,1,Return,1.36692455527373,1
63,284916914,6,776925.936678691,777031.673259825,776927.847918564,777033.184275908,OK,OK,10,5,j,j,1.87966207542922,1.40175959107,205,204,1,CFS,12,197,194,Binocular,go,cheese grater,pipe,j,j,1,0,777260.257216499,777266.210957736,777269.753155591,777271.264126095,Return,Return,5,1,1,2,2,2.00519288121761,2.10346416107071,2,2,bottle,5.93419327738229,1,Return,1.43806975637563,1
63,284916914,7,776936.253176872,777037.596990458,776941.866762614,777042.410078514,OK,OK,0,0,f,f,5.50647961371578,4.73373742680997,207,206,1,Not Studied,4,204,205,CFS,go,axe,bowtie,f,f,0,0,777273.13532587,777283.021527778,777286.823937971,777288.735140415,Return,Return,2,0,0,,,0,0,NaN,NaN,shirt,9.86322646820918,1,Return,1.82245348452125,1
63,284916914,8,776946.599722179,777046.552653256,776950.512151936,777050.465126479,OK,OK,10,5,NO RESPONSE,NO RESPONSE,NaN,NaN,199,195,1,Binocular,6,205,204,CFS,nogo,scroll,cheese grater,z,z,1,1,777294.248622895,777307.446919629,777310.488849595,777314.401269089,Return,OK,8,1,1,,,0,0,NaN,NaN,hockey stick,13.1806775816949,1,NO RESPONSE,NaN,1
63,284916914,9,776954.324582869,777053.396934857,776958.237050658,777057.309404759,OK,OK,3,6,NO RESPONSE,NO RESPONSE,NaN,NaN,200,196,1,Binocular,1,208,202,Binocular,nogo,tape,hockey stick,z,z,1,1,777316.372544959,777330.53144755,777333.363258313,777337.275669959,Return,OK,1,1,1,,,0,0,NaN,NaN,stick,14.1356159459101,1,NO RESPONSE,NaN,1
63,284916914,10,776966.282087542,777059.861012415,776970.794985042,777062.973001534,OK,OK,0,0,f,f,4.47611947008409,3.05262533552013,203,201,1,Not Studied,3,198,193,Not Studied,go,bowling pin,chest,f,f,0,0,777339.126867796,777345.130643005,777348.182533945,777349.993704363,Return,Return,10,0,0,,,0,0,NaN,NaN,desk,5.98052931413986,1,Return,1.75674576777965,1
63,284916914,11,776974.10704093,777065.714694157,776978.820013348,777069.327025421,OK,OK,0,0,f,f,4.6507655311143,3.55057956266683,206,207,1,Not Studied,10,203,201,Not Studied,go,frame,bowling pin,f,f,0,0,777352.625371386,777357.338329919,777360.620378221,777362.631660383,Return,Return,10,0,0,,,0,0,NaN,NaN,tree,4.68946119886823,1,Return,1.95025006576907,1
63,284916914,12,776983.452892591,777072.008657898,776987.365360381,777075.921077391,OK,OK,10,3,NO RESPONSE,NO RESPONSE,NaN,NaN,197,194,1,Binocular,5,201,203,CFS,go,pipe,bellow,z,z,1,1,777366.333990858,777389.068288515,777392.490423127,777394.301565473,Return,Return,10,1,1,,,0,0,NaN,NaN,pipe,22.7152613290818,1,Return,1.71064970002044,1
