subject,seed,dominantEye,sex,ethnicity,race,trial,item,tStart,tEnd,exitFlag,jitter,tType,eyes_1,eyes_2,transparency,pas,response,rt,RoboRT,meanRoboRT
1,772596437,Right,Male,Not Hispanic or Latino,White,1,64,1813171.57137169,1813175.69677448,OK,1,CFS,1,0,0.6731973263793,3#,Return,4.0428342751693,2.25111610376431,2.18907348447831
1,772596437,Right,Male,Not Hispanic or Latino,White,2,43,1813180.06388255,1813183.81423066,OK,2,CFS,1,0,0.590953271612442,3#,Return,3.67808730877005,1.68137966520014,2.25640763650484
1,772596437,Right,Male,Not Hispanic or Latino,White,3,36,1813186.73124287,1813191.60671275,SPACE,7,CFS,1,0,0.58818109843688,,space,4.83449652721174,1.19317820880468,2.25888700325662
1,772596437,Right,Male,Not Hispanic or Latino,White,4,23,1813194.4902871,1813199.2407647,SPACE,5,NULL,0,0,0,,space,4.69920017779805,0,NaN
1,772596437,Right,Male,Not Hispanic or Latino,White,5,13,1813201.6493644,1813206.14981039,OK,0,CFS,1,0,0.585734664196018,2@,Return,4.43597995815799,0.956788591627668,2.26108768874841
1,772596437,Right,Male,Not Hispanic or Latino,White,6,89,1813209.66684506,1813213.79224091,OK,5,CFS,1,0,0.583575693556081,2@,Return,4.08223496261053,2.91822818550667,2.26303973564289
1,772596437,Right,Male,Not Hispanic or Latino,White,7,35,1813218.68437825,1813220.55954838,OK,0,CFS,1,0,0.581670408653565,3#,Return,1.75253474269994,3.2985643861972,2.26477022549291
1,772596437,Right,Male,Not Hispanic or Latino,White,8,61,1813223.70156158,1813228.45204462,OK,7,CFS,1,0,0.579989000628553,3#,Return,4.63111069262959,2.63988086789743,2.26630350954517
1,772596437,Right,Male,Not Hispanic or Latino,White,9,56,1813230.9856061,1813235.73607706,OK,7,CFS,1,0,0.5785051632545,1!,Return,4.7308830646798,4.02720747407193,2.26766143573177
1,772596437,Right,Male,Not Hispanic or Latino,White,10,7,1813241.69498901,1813246.57046009,OK,5,CFS,1,0,0.577195681367959,1!,Return,4.80514606577344,4.04048759903911,2.26886356790773
1,772596437,Right,Male,Not Hispanic or Latino,White,11,20,1813254.77131126,1813258.14665089,SPACE,8,NULL,0,0,0,,space,3.3444910608232,0,NaN
1,772596437,Right,Male,Not Hispanic or Latino,White,12,65,1813260.07183338,1813265.4473674,OK,0,CFS,1,0,0.576040067659095,2@,Return,5.35576349264011,0.994326565058689,2.2699273946053
1,772596437,Right,Male,Not Hispanic or Latino,White,13,92,1813271.16459067,1813276.66513476,OK,1,CFS,1,0,0.575020242140439,3#,Return,5.49459968274459,3.17531662065754,2.27086852554295
1,772596437,Right,Male,Not Hispanic or Latino,White,14,59,1813279.03207198,1813283.28248544,OK,0,CFS,1,0,0.574120249279048,1!,Return,4.15500348480418,2.80118767470312,2.27170087488276
1,772596437,Right,Male,Not Hispanic or Latino,White,15,32,1813288.15796014,1813294.15856536,OK,0,CFS,1,0,0.573326008366522,2@,Return,5.94882912375033,4.18691822874809,2.27243683080814
1,772596437,Right,Male,Not Hispanic or Latino,White,16,34,1813296.70881,1813303.20947272,OK,7,CFS,1,0,0.572625093221312,2@,Return,6.38169274223037,0.966104115421177,2.27308741142654
1,772596437,Right,Male,Not Hispanic or Latino,White,17,55,1813305.60969476,1813312.23537661,OK,8,CFS,1,0,0.57200653777669,2@,Return,6.52054161042906,2.84668789995952,2.27366240731501
1,772596437,Right,Male,Not Hispanic or Latino,White,18,30,1813314.5189276,1813320.01949222,OK,3,CFS,1,0,0.571460664512734,2@,Return,5.39505641791038,1.99577738445965,2.27417051124625
1,772596437,Right,Male,Not Hispanic or Latino,White,19,48,1813322.34472379,1813327.09519415,OK,5,CFS,1,0,0.570978933048089,2@,Return,4.72104413667694,3.34019678245043,2.27461943577795
1,772596437,Right,Male,Not Hispanic or Latino,White,20,22,1813329.4454304,1813330.57051141,OK,0,CFS,1,0,0.570553806522662,1!,Return,1.1002535270527,3.58803673787522,2.27501601947602
1,772596437,Right,Male,Not Hispanic or Latino,White,21,76,1813336.53780011,1813339.91312584,SPACE,8,NULL,0,0,0,,space,3.32757788500749,0,NaN
1,772596437,Right,Male,Not Hispanic or Latino,White,22,12,1813341.87997293,1813343.38013759,OK,0,CFS,1,0,0.570178633680767,3#,Return,1.38532404461876,0.852264187239483,2.27536632258739
1,772596437,Right,Male,Not Hispanic or Latino,White,23,41,1813345.49695203,1813347.37218042,OK,0,CFS,1,0,0.56984754480986,3#,Return,1.86423849361017,3.63524596636699,2.27567571299009
1,772596437,Right,Male,Not Hispanic or Latino,White,24,90,1813349.60573655,1813354.60625091,OK,7,CFS,1,0,0.569555359906804,3#,Return,4.9871941502206,2.73830425170433,2.27594894323787
1,772596437,Right,Male,Not Hispanic or Latino,White,25,49,1813357.19817855,1813359.82341245,OK,5,CFS,1,0,0.569297507634876,3#,Return,2.59462712146342,1.42369403013153,2.27619021948882
1,772596437,Right,Male,Not Hispanic or Latino,White,26,75,1813362.10697823,1813367.10749621,OK,5,CFS,1,0,0.569069953803575,2@,Return,4.95761729823425,5.00342870975826,2.2764032630697
