subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,tType,correctDirection,eyes_1,eyes_2,eyePresent,RoboRT
7,929094360,1,117735.631135794,117751.540029846,OK,9,LeftArrow,15.8033056663844,2,\LEFT,1,0,left,3
7,929094360,2,117755.231854543,117760.040342858,OK,6,LeftArrow,4.75406265901984,1,\LEFT,0,1,right,3
7,929094360,3,117764.648860029,117765.857201285,OK,4,RightArrow,1.12867788436415,3,\RIGHT,0,1,right,3
7,929094360,4,117769.874014859,117771.582465383,OK,10,LeftArrow,1.66309586117859,1,\LEFT,0,1,right,3
7,929094360,5,117774.040848445,117774.649186623,OK,3,RightArrow,0.528122130592237,3,\RIGHT,0,1,right,3
7,929094360,6,117777.490957682,117778.099307934,OK,9,LeftArrow,0.549719617818482,1,\LEFT,0,1,right,3
7,929094360,7,117781.299425472,117786.907984599,OK,9,RightArrow,5.59665925943409,4,\RIGHT,1,0,left,3
7,929094360,8,117790.25810766,117791.266481697,OK,0,LeftArrow,0.933775895886356,2,\LEFT,1,0,left,3
7,929094360,9,117793.808203073,117794.516573005,OK,6,RightArrow,0.655388897837838,3,\RIGHT,0,1,right,3
7,929094360,10,117798.375062557,117799.183419268,OK,3,LeftArrow,0.744304369058227,2,\LEFT,1,0,left,3
7,929094360,11,117806.000316935,117810.208832959,OK,6,RightArrow,4.13436430908041,3,\RIGHT,0,1,right,3
7,929094360,12,117814.25892807,117818.167450554,OK,10,RightArrow,3.83519057476951,4,\RIGHT,1,0,left,3
7,929094360,13,117820.725827941,117822.934213267,OK,2,LeftArrow,2.18398190390144,2,\LEFT,1,0,left,3
7,929094360,14,117826.192674084,117827.201038763,OK,10,RightArrow,0.908896467168233,1,\LEFT,0,1,right,3
7,929094360,15,117830.301178275,117840.709853793,OK,7,RightArrow,10.343487943479,3,\RIGHT,0,1,right,3
7,929094360,16,117843.959994301,117853.468609813,OK,1,LeftArrow,9.43581695984176,1,\LEFT,0,1,right,3
7,929094360,17,117858.377116298,117859.285478503,OK,10,RightArrow,0.890375064365799,4,\RIGHT,1,0,left,3
7,929094360,18,117861.668861973,117862.177240537,OK,5,RightArrow,0.438418546706089,4,\RIGHT,1,0,left,3
7,929094360,19,117864.877316119,117865.585649829,OK,9,RightArrow,0.613743284746306,4,\RIGHT,1,0,left,3
7,929094360,20,117867.744048708,117868.152405479,OK,2,RightArrow,0.370836148023955,2,\LEFT,1,0,left,3
