subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,item,tType_study,eyes_1,eyes_2,transparency,pas,RoboRT,meanRoboRT,roboBCFS
34,1928372633,1,872.985312609984,875.997124943178,OK,5,j,2.93747830501741,5,CFS,0,1,0.5,2,3.00390697555817,2.34671662001737,j
34,1928372633,2,891.046373987391,893.15767204008,OK,2,j,2.08331507181765,14,CFS,0,1,0.389400391535702,3,2.47957248021295,2.49054657589196,j
34,1928372633,3,904.894924143776,907.406429804243,OK,4,j,2.40984878257564,13,CFS,0,1,0.343644639395486,2,2.94823725746424,2.56660933584118,j
34,1928372633,4,919.703982338549,921.214928985342,OK,9,j,1.47187937861338,16,CFS,0,1,0.303265329856317,2,2.57897486187632,2.64557860575162,j
34,1928372633,5,936.864511023013,938.475543755497,OK,7,j,1.55821650490884,18,CFS,0,1,0.267630714259495,2,2.57513265808333,2.72756544917343,j
34,1928372633,6,946.57052295548,959.288318546033,OK,1,f,12.6908530633164,7,CATCH,0,0,0,,0,NaN,f
34,1928372633,7,965.642206800045,967.053074001699,OK,9,j,1.33068284787885,6,CFS,0,1,0.236183276370507,2,1.55125326023357,2.81268517361682,j
34,1928372633,8,982.332425087037,987.945911201342,OK,1,f,5.54316871406934,4,CATCH,0,0,0,,0,NaN,f
34,1928372633,9,991.548108378625,995.660669041569,OK,5,f,4.02299894535975,3,CFS,0,1,0.208431009839254,,5.00723671697139,2.90105749272224,j
34,1928372633,10,1000.66376263289,1009.1789903223,OK,12,f,8.49044545421066,1,CFS,0,1,0.208431009839254,,2.79423631761316,2.90105749272224,j
34,1928372633,11,1025.03873735352,1030.75221024709,OK,4,j,5.6180650761944,2,CFS,0,1,0.208431009839254,1,3.007874212774,2.90105749272224,j
34,1928372633,12,1050.09408906428,1052.2054348082,OK,10,j,2.08934378676827,15,CFS,0,1,0.31094252823251,2,3.36480939578997,2.62954696002822,j
34,1928372633,13,1059.62997550844,1062.5417503527,OK,1,j,2.85677478087678,12,CFS,0,1,0.286080936371042,2,3.04531796050406,2.68345669798376,j
34,1928372633,14,1074.25893501255,1078.47153980497,OK,0,j,4.19473325811396,20,CFS,0,1,0.263207167640104,2,2.09573328168372,2.73873116745309,j
34,1928372633,15,1085.13564261519,1093.55082104379,OK,1,f,8.38909223061546,19,CATCH,0,0,0,,0,NaN,f
34,1928372633,16,1098.11361319031,1100.32491975498,OK,10,j,2.16266241429912,11,CFS,0,1,0.350252988434255,3,4.5083410361668,2.55483381602094,j
34,1928372633,17,1106.28861133397,1114.10343111243,OK,0,j,7.73884311939287,10,CFS,0,1,0.329032232624597,1,3.27184509611917,2.59372541945778,j
34,1928372633,18,1126.68116329176,1128.49224896755,OK,4,j,1.72930396760853,8,CFS,0,1,0.410911531578326,3,2.18575905102043,2.45869475464101,j
34,1928372633,19,1135.66668356989,1143.28132544194,OK,1,f,7.56682628136969,9,CATCH,0,0,0,,0,NaN,f
34,1928372633,20,1148.39446986971,1151.70652446228,OK,6,j,3.27853490122766,17,CFS,0,1,0.390871139703958,3,3.87779136900919,2.48829663503037,j
