subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,item,tType_study,eyes_1,eyes_2,transparency,pas,RoboRT,meanRoboRT,roboBCFS
37,14153814,1,2333353.0145084,2333362.23024934,OK,10,j,9.16747651202604,2,CFS,0,1,0.5,3#,2.09663843579382,2.34671662001737,j
37,14153814,2,2333370.30515536,2333385.42443838,OK,1,f,15.0433736657724,7,CATCH,0,0,0,,0,NaN,f
37,14153814,3,2333389.4369371,2333396.75142787,OK,4,j,7.30275540612638,8,CFS,0,1,1,3#,5.49826766741558,2,j
37,14153814,4,2333402.85521365,2333408.8688799,OK,1,j,5.94776874454692,11,CFS,0,1,1,3#,1.23416773126344,2,j
37,14153814,5,2333414.85251728,2333430.77236191,OK,1,f,15.9089906420559,17,CATCH,0,0,0,,0,NaN,f
37,14153814,6,2333434.87484764,2333441.288819,OK,8,j,6.36603321880102,20,CFS,0,1,1,3#,3.43840533724366,2,j
37,14153814,7,2333447.16242637,2333460.88087153,OK,1,f,13.6612078314647,19,CATCH,0,0,0,,0,NaN,f
37,14153814,8,2333464.33296146,2333470.34661323,OK,6,j,5.98602435644716,12,CFS,0,1,1,3#,2.51986411211976,2,j
37,14153814,9,2333477.55109844,2333480.96320742,OK,9,j,3.38318395148963,16,CFS,0,1,1,2@,2.06137233997119,2,j
37,14153814,10,2333486.73675859,2333491.54970362,OK,1,j,4.70890570338815,9,CFS,0,1,1,2@,1.94414138955548,2,j
37,14153814,11,2333500.39517437,2333505.20811759,OK,9,j,4.74559082463384,15,CFS,0,1,1,3#,4.42972694691239,2,j
37,14153814,12,2333510.92157056,2333514.63392845,OK,4,j,3.62661478575319,13,CFS,0,1,1,2@,1.77743995172641,2,j
37,14153814,13,2333522.20858454,2333530.22350284,OK,9,f,7.96258200332522,5,CFS,0,1,1,,0.633192200804655,2,j
37,14153814,14,2333533.42548215,2333537.8381918,OK,1,j,4.33719451213256,14,CFS,0,1,1,3#,2.27836326324896,2,j
37,14153814,15,2333544.04200752,2333553.85804675,OK,12,f,9.7595878993161,10,CFS,0,1,1,,2.93585241699145,2,j
37,14153814,16,2333557.35018766,2333565.8654078,OK,3,j,8.44265884021297,6,CFS,0,1,1,2@,2.42124712168406,2,j
37,14153814,17,2333572.04919984,2333575.76151577,OK,2,j,3.6789966612123,4,CFS,0,1,1,3#,1.2380586523172,2,j
37,14153814,18,2333581.3549269,2333584.06658873,OK,1,j,2.67675819154829,1,CFS,0,1,1,3#,2.11452048996133,2,j
37,14153814,19,2333588.6994233,2333593.61246226,OK,4,j,4.85160058410838,18,CFS,0,1,0.90483741803596,3#,2.13242561182165,2.04568180093028,j
37,14153814,20,2333598.09523154,2333607.21082211,OK,1,f,9.03894985094666,3,CATCH,0,0,0,,0,NaN,f
