subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,item,tType_study,eyes_1,eyes_2,transparency,pas,RoboRT,meanRoboRT,roboBCFS
10,1385497043,1,1103183.59695636,1103189.8108628,OK,12,j,6.14643251802772,13,CFS,0,1,0.5,3,1.92372847965601,2.34671662001737,j
10,1385497043,2,1103200.04727826,1103205.76085856,OK,10,j,5.63129082648084,5,CFS,0,1,1,2,2.21387758427614,2,j
10,1385497043,3,1103214.21611989,1103216.62764965,OK,10,j,2.38982184696943,6,CFS,0,1,1,3,2.96668830844021,2,j
10,1385497043,4,1103222.66140819,1103226.27367603,OK,8,j,3.59211775427684,17,CFS,0,1,0.90483741803596,3,2.52143368058112,2.04568180093028,j
10,1385497043,5,1103232.45754751,1103246.47633083,OK,1,f,13.9228452441748,18,CATCH,0,0,0,,0,NaN,f
10,1385497043,6,1103250.89912069,1103253.61083256,OK,3,j,2.65690645086579,14,CFS,0,1,1,3,3.03685826166106,2,j
10,1385497043,7,1103261.47572292,1103264.08739702,OK,11,j,2.5117462167982,7,CFS,0,1,0.931062779704023,2,4.91340390916316,2.03248971804528,j
10,1385497043,8,1103271.86222867,1103280.47764477,OK,1,f,8.58037621574476,2,CATCH,0,0,0,,0,NaN,f
10,1385497043,9,1103283.68963509,1103285.20060285,OK,3,j,1.45670505845919,19,CFS,0,1,0.866877899750182,2,4.40718339836888,2.06568315727633,j
10,1385497043,10,1103293.27563955,1103295.88727592,OK,11,j,2.566119086463,12,CFS,0,1,0.807117747005389,2,1.11349762729617,2.09959556016176,j
10,1385497043,11,1103306.38385041,1103308.69531585,OK,2,j,2.273283631308,16,CFS,0,1,0.751477293075286,2,3.6612115415375,2.13424249931919,j
10,1385497043,12,1103315.76976938,1103321.28320896,OK,1,j,5.40662958170287,10,CFS,0,1,0.69967253737513,2,1.61380824460593,2.16963988466618,j
10,1385497043,13,1103327.50708117,1103330.11874864,OK,1,j,2.58091199374758,8,CFS,0,1,0.898397321348071,3,1.92157592272566,2.04899752751341,j
10,1385497043,14,1103335.13194508,1103337.54343047,OK,5,j,2.32363741076551,20,CFS,0,1,0.849847452969682,3,2.63620185510159,2.0750304917283,j
10,1385497043,15,1103344.64777227,1103352.66286823,OK,1,f,7.92699624109082,3,CATCH,0,0,0,,0,NaN,f
10,1385497043,16,1103357.3857928,1103361.39831853,OK,10,j,3.96453934116289,15,CFS,0,1,0.803921245262968,3,2.7820512436099,2.10150097454072,j
10,1385497043,17,1103367.66222952,1103370.07375385,OK,1,j,2.37561059836298,4,CFS,0,1,0.981911626307747,3,0.748970221134686,2.00823681832306,j
10,1385497043,18,1103376.48775453,1103383.90243829,OK,1,f,7.38136168499477,9,CATCH,0,0,0,,0,NaN,f
10,1385497043,19,1103386.9143226,1103390.82676952,OK,2,j,3.81845847447403,11,CFS,0,1,0.93827845498176,3,4.44353193475045,2.02894455223903,j
10,1385497043,20,1103397.15071693,1103401.46341904,OK,7,j,4.28546646959148,1,CFS,0,1,1,2,3.3551342517096,2,j
