subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,item,tType_study,eyes_1,eyes_2,transparency,pas,RoboRT,meanRoboRT,roboBCFS
29,1825249712,1,5500549.75005124,5500572.5743589,OK,2,f,22.7678342405707,1,CFS,0,1,0.5,,2.48212941347511,2.34671662001737,j
29,1825249712,2,5500579.50870964,5500608.3367768,OK,11,NO RESPONSE,NaN,13,CFS,0,1,0.5,,3.65338879827095,2.34671662001737,j
29,1825249712,3,5500615.63133973,5500639.75644345,OK,1,j,24.0189037583768,6,CATCH,0,0,0,,0,NaN,f
29,1825249712,4,5500645.62013215,5500668.04415475,OK,5,j,22.3887104466558,7,CFS,0,1,1,3#,2.43719946984536,2,j
29,1825249712,5,5500679.20117032,5500709.02985114,OK,1,NO RESPONSE,NaN,14,CATCH,0,0,0,,0,NaN,f
29,1825249712,6,5500715.85414371,5500723.76909626,OK,10,j,7.90364990197122,18,CFS,0,1,1,3#,0.71179895082973,2,j
29,1825249712,7,5500734.59587243,5500735.90669161,OK,10,j,1.21737556904554,19,CFS,0,1,1,2@,2.15904309759188,2,j
29,1825249712,8,5500743.44140233,5500745.25253589,OK,4,j,1.70734414365143,4,CFS,0,1,0.90483741803596,2@,3.38736039692835,2.04568180093028,j
29,1825249712,9,5500751.80662276,5500753.11747062,OK,12,j,1.26973330881447,20,CFS,0,1,0.818730753077982,3#,2.31285902198606,2.09275481981804,j
29,1825249712,10,5500760.07182776,5500761.38265148,OK,11,j,1.28403481002897,12,CFS,0,1,0.740818220681718,2@,5.00201390694439,2.14126142555782,j
29,1825249712,11,5500775.71159747,5500777.52273646,OK,10,j,1.75542743131518,5,CFS,0,1,0.670320046035639,2@,1.85745332513312,2.19124527736906,j
29,1825249712,12,5500782.31576374,5500783.42644884,OK,0,j,1.09491240233183,17,CFS,0,1,0.606530659712634,2@,2.25507814522711,2.24275136409242,j
29,1825249712,13,5500788.88986667,5500790.90110986,OK,11,j,1.91246624197811,15,CFS,0,1,0.548811636094027,2@,3.07293213559664,2.29582604468272,j
29,1825249712,14,5500796.28451505,5500804.39960349,OK,1,f,8.03711689263582,8,CATCH,0,0,0,,0,NaN,f
29,1825249712,15,5500808.65223235,5500809.46274652,OK,10,j,0.741081257350743,9,CFS,0,1,0.49658530379141,2@,4.27750815816673,2.35051708993511,j
29,1825249712,16,5500816.14692332,5500817.25764163,OK,12,j,1.06201502587646,16,CFS,0,1,0.449328964117222,2@,1.83399831184112,2.40687372548211,j
29,1825249712,17,5500822.53094458,5500826.84367234,OK,6,j,4.28549635224044,10,CFS,0,1,0.406569659740599,2@,3.17118391812752,2.46494667609987,j
29,1825249712,18,5500831.28640733,5500832.99750222,OK,5,j,1.66573245078325,11,CFS,0,1,0.567413668797004,2@,4.34416673728183,2.27795727698055,j
29,1825249712,19,5500837.51030128,5500839.42152421,OK,4,j,1.817431894131,3,CFS,0,1,0.528297747712196,2@,2.88964966291628,2.31646749739765,j
29,1825249712,20,5500844.56473572,5500852.27958589,OK,1,f,7.69033960439265,2,CATCH,0,0,0,,0,NaN,f
