subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,item,pair,list,tType_study,trial_test,item_test,pair_test,tType_test,gonogo_answer,name,name_test,roboBCFS,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_noise,transparency,pas,RoboRT,response_cue,rt_cue,RoboRT_cue,response_noise,rt_noise,RoboRT_noise
2,221634781,1,144023.477379986,144031.492433735,OK,1,j,8.00389292978798,208,202,1,CFS,9,200,196,Not Studied,nogo,hockey stick,tape,j,0,1,144282.000188051,144291.476189499,144295.218506343,144300.131627632,Return,OK,7,1,3#,0.1,cassette,9.4520911857835,1,NO RESPONSE,NaN,1
2,221634781,2,144041.638827455,144071.56768165,OK,0,NO RESPONSE,NaN,203,201,1,Not Studied,11,205,204,CFS,nogo,bowling pin,cheese grater,f,0,0,144302.533100166,144313.359951873,144316.27179514,144321.184889263,Return,OK,5,1,,0.1,grater,10.8060903206933,1,NO RESPONSE,NaN,1
2,221634781,3,144079.642735175,144090.159334534,OK,0,f,10.4436240559444,204,205,1,Not Studied,7,207,206,Binocular,nogo,bowtie,axe,f,0,0,144323.256212554,144326.167715034,144328.9797756,144333.892893268,Return,OK,3,1,,0.1,NO RESPONSE,2.89835067398963,1,NO RESPONSE,NaN,1
2,221634781,4,144094.792336027,144099.705390608,OK,7,NO RESPONSE,NaN,198,193,1,Binocular,6,197,194,Binocular,nogo,chest,pipe,z,1,1,144335.824113345,144339.026124013,144341.157481491,144346.070549052,Return,OK,1,1,,0.1,pipe,3.17781485809246,1,NO RESPONSE,NaN,1
2,221634781,5,144104.078125731,144106.08941393,OK,9,j,1.95949505708995,201,203,1,CFS,1,208,202,CFS,nogo,bellow,hockey stick,j,0,1,144347.991737221,144355.96677834,144358.938626514,144363.851734221,Return,OK,6,1,2@,0.1,hockey stick,7.96135142043931,1,NO RESPONSE,NaN,1
2,221634781,6,144112.523462773,144117.436549953,OK,7,NO RESPONSE,NaN,197,194,1,Binocular,5,201,203,CFS,nogo,pipe,bellow,z,1,1,144365.76300941,144376.789892268,144379.591672203,144384.504765421,Return,OK,4,1,,0.1,dont know,11.0049829018244,1,NO RESPONSE,NaN,1
2,221634781,7,144120.288365069,144125.201464927,OK,3,NO RESPONSE,NaN,207,206,1,Binocular,8,199,195,CFS,go,axe,scroll,z,1,1,144386.365942343,144400.124290922,144402.295969518,144403.406637752,Return,Return,0,1,,0.1,light switch,13.7369056203752,1,Return,1.08682981130551,1
2,221634781,8,144127.84312643,144135.457944918,OK,6,f,7.54504458137671,199,195,1,CFS,2,203,201,Not Studied,nogo,scroll,bowling pin,j,0,1,144405.457953974,144414.243487862,144416.955207009,144421.868265212,Return,OK,5,1,,0.1,vase,8.75622779718833,1,NO RESPONSE,NaN,1
2,221634781,9,144138.039546275,144166.567482732,OK,0,f,28.4350063040911,200,196,1,Not Studied,10,202,208,Not Studied,nogo,tape,zip tie,f,0,0,144423.899558668,144430.423362227,144432.88521064,144437.798328005,Return,OK,4,1,,0.1,hockey stick,6.50580377664301,1,NO RESPONSE,NaN,1
2,221634781,10,144169.57943409,144186.90030544,OK,0,f,17.2301362329163,202,208,1,Not Studied,4,198,193,Binocular,nogo,zip tie,chest,f,0,0,144439.509393651,144447.2740104,144449.975993449,144454.88907912,Return,OK,9,1,,0.1,suitcase,7.74314692526241,1,NO RESPONSE,NaN,1
2,221634781,11,144189.742112493,144199.45823107,OK,2,j,9.62682931026211,205,204,1,CFS,3,204,205,Not Studied,go,cheese grater,bowtie,j,0,1,144456.799981527,144464.064517833,144466.466379147,144467.276890932,Return,Return,7,1,2@,0.1,dont know,7.25170747697121,1,Return,0.721189617994241,1
2,221634781,12,144207.002973804,144211.91607668,OK,3,NO RESPONSE,NaN,206,207,1,Binocular,12,206,207,Binocular,go,frame,frame,z,1,1,144469.158037797,144475.351656193,144477.853549835,144479.064287221,Return,Return,8,1,,0.1,picture frame,6.16506782971555,1,Return,1.10946778516518,1
