subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType_study,trial_test,item_test,pair_test,tType_test,name_test,roboBCFS_1,roboBCFS_2,gonogo_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_cue,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,meanRoboRT_cue,response_noise,rt_noise,RoboRT_noise,meanRoboRT_noise
1,1092348281,1,1815303.88095723,1815359.51816185,1815308.29792713,1815363.33508785,OK,OK,2,8,NO RESPONSE,NO RESPONSE,NaN,NaN,31,47,cell phone,1,Binocular,9,115,118,Binocular,pot,z,z,go,1,1,1815417.65553767,1815417.67220697,1815419.03896568,1815421.85583039,OK,OK,2,9,1,1,,,0,0,NaN,NaN,NO RESPONSE,0.00590142398141325,2,NaN,Return,2.80564527050592,2,NaN
1,1092348281,2,1815310.06471859,1815365.40190593,1815312.18153384,1815369.91888115,OK,OK,3,6,j,j,2.10473587177694,4.504789885832,89,72,sponge,1,CFS,6,124,100,CFS,magnifying glass,j,j,nogo,1,0,1815423.13925052,1815423.15591919,1815424.51434819,1815429.2313437,OK,OK,1,8,0.635543619144441,0.695830242266167,2@,2@,1.76120981264513,3.90388649686042,2.21849253615244,2.17240042406063,NO RESPONSE,0.00586822093464434,2,NaN,NO RESPONSE,NaN,2,NaN
1,1092348281,3,1815314.32335038,1815372.36071801,1815318.54030818,1815376.27766,OK,OK,4,7,NO RESPONSE,NO RESPONSE,NaN,NaN,102,110,saddle,1,Binocular,4,107,64,Not Studied,ring,z,z,nogo,1,1,1815430.5230969,1815430.53976438,1815431.89819308,1815436.61518633,OK,OK,9,3,1,1,,,0,0,NaN,NaN,NO RESPONSE,0.00566493230871856,2,NaN,NO RESPONSE,NaN,2,NaN
1,1092348281,4,1815320.80713475,1815378.54448901,1815325.02409871,1815382.66143468,OK,OK,8,8,j,j,4.20467979554087,4.1049296844285,117,135,plane,1,CFS,10,102,110,Binocular,saddle,j,j,nogo,1,0,1815437.89861187,1815437.91527561,1815439.27370278,1815443.99069814,OK,OK,1,0,0.604547791083868,0.729223832825997,2@,2@,3.45406863342318,3.40965242934155,2.24446422489294,2.14904688253934,NO RESPONSE,0.00572954583913088,2,NaN,NO RESPONSE,NaN,2,NaN
1,1092348281,5,1815326.765883,1815384.40322257,1815326.88255475,1815384.51990247,OK,OK,0,0,f,f,0.104243588866666,0.104261544067413,146,147,hinge,1,Not Studied,12,2,187,CFS,backpack,f,f,nogo,0,0,1815445.28245196,1815445.29912545,1815446.65755475,1815451.37454604,OK,OK,0,9,0,0,,,0,0,NaN,NaN,NO RESPONSE,0.00569162261672318,2,NaN,NO RESPONSE,NaN,2,NaN
1,1092348281,6,1815328.88269851,1815387.12007969,1815333.09965455,1815390.73700029,OK,OK,4,10,NO RESPONSE,NO RESPONSE,NaN,NaN,2,187,backpack,1,Binocular,5,89,72,Binocular,sponge,z,z,nogo,1,1,1815452.66629982,1815452.68297077,1815454.04139812,1815458.75838788,OK,OK,10,1,1,1,,,0,0,NaN,NaN,NO RESPONSE,0.00576636171899736,2,NaN,NO RESPONSE,NaN,2,NaN
1,1092348281,7,1815334.56642779,1815392.20376976,1815334.68309622,1815392.3204391,OK,OK,0,0,f,f,0.104130378225818,0.104236792773008,115,118,pot,1,Not Studied,1,139,14,CFS,bobby pin,f,f,go,0,0,1815460.04181301,1815460.05847851,1815461.41691473,1815463.83373933,OK,OK,1,4,0,0,,,0,0,NaN,NaN,NO RESPONSE,0.00566553603857756,2,NaN,Return,2.40562494471669,2,NaN
1,1092348281,8,1815336.28321061,1815393.92055458,1815336.39988405,1815394.03722826,OK,OK,0,0,f,f,0.104294902645051,0.104273453122005,85,25,foot stool,1,Not Studied,11,33,157,Binocular,office chair,f,f,go,0,0,1815465.12549812,1815465.14216169,1815466.50892855,1815469.02577546,OK,OK,7,5,0,0,,,0,0,NaN,NaN,NO RESPONSE,0.00572484405711293,2,NaN,Return,2.50555582437664,2,NaN
1,1092348281,9,1815338.10000389,1815396.03737149,1815342.61698126,1815400.25433017,OK,OK,1,4,NO RESPONSE,NO RESPONSE,NaN,NaN,107,64,ring,1,Binocular,3,31,47,CFS,cell phone,z,z,go,1,1,1815470.31752448,1815470.33419359,1815471.70095398,1815473.71776171,OK,OK,10,0,1,1,,,0,0,NaN,NaN,NO RESPONSE,0.00560334674082696,2,NaN,Return,2.00546105857939,2,NaN
1,1092348281,10,1815344.08375239,1815401.72110098,1815344.20042562,1815401.83777201,OK,OK,0,0,f,f,0.104378184536472,0.104257638333365,33,157,office chair,1,Not Studied,8,117,135,Not Studied,plane,f,f,nogo,0,0,1815475.00118587,1815475.01785024,1815476.37628553,1815481.09327051,OK,OK,2,5,0,0,,,0,0,NaN,NaN,NO RESPONSE,0.00557457120157778,2,NaN,NO RESPONSE,NaN,2,NaN
1,1092348281,11,1815346.30057444,1815404.43795685,1815349.61746857,1815408.85492245,OK,OK,5,10,j,j,3.30469808285125,4.40480529610068,124,100,magnifying glass,1,CFS,2,85,25,Not Studied,foot stool,j,j,go,1,0,1815482.38503259,1815482.40170051,1815483.76846289,1815485.98528224,OK,OK,1,2,0.633560645344925,0.764220015257726,2@,2@,2.87324579405935,3.47891984203413,2.22010437833805,2.12601945185474,NO RESPONSE,0.00553212920203805,2,NaN,Return,2.20548418699764,2,NaN
1,1092348281,12,1815352.35933462,1815411.19676041,1815356.97631999,1815413.71359909,OK,OK,10,6,j,j,4.60494644613937,2.50707595702261,139,14,bobby pin,1,CFS,7,146,147,Not Studied,hinge,j,j,go,1,0,1815487.27703097,1815487.29370144,1815488.6604635,1815491.57733621,OK,OK,5,10,0.663965855553332,0.800895699551111,2@,2@,3.74406241925653,1.99720224070051,2.19608469474879,2.10331357816743,NO RESPONSE,0.0056938820052892,2,NaN,Return,2.90565599314868,2,NaN
1,1092348281,13,1815493.44413582,1815546.48114724,1815493.56080502,1815546.59782279,OK,OK,0,0,f,f,0.104204650735483,0.104189567733556,122,32,lure,2,Not Studied,24,6,3,Binocular,tub,f,f,go,0,0,1815600.16821157,1815600.184881,1815601.55164457,1815604.36849886,OK,OK,2,9,0,0,,,0,0,NaN,NaN,NO RESPONSE,0.00555869191884995,2,NaN,Return,2.80606482713483,2,NaN
1,1092348281,14,1815495.46093611,1815548.29794083,1815499.77790405,1815552.81492466,OK,OK,3,1,NO RESPONSE,NO RESPONSE,NaN,NaN,25,85,calculator,2,Binocular,14,25,85,CFS,calculator,z,z,nogo,1,1,1815605.65192492,1815605.66859297,1815607.02701864,1815611.74400856,OK,OK,4,5,1,1,,,0,0,NaN,NaN,NO RESPONSE,0.00570790376514196,2,NaN,NO RESPONSE,NaN,2,NaN
1,1092348281,15,1815501.34468351,1815554.78172675,1815503.06147142,1815556.69851995,OK,OK,1,5,j,j,1.70462905312888,1.90461403038353,86,29,steering wheel,2,CFS,20,39,18,Not Studied,mouse,j,j,nogo,1,0,1815613.03577248,1815613.05243905,1815614.41086892,1815619.12786701,OK,OK,9,7,0.766330147417117,0.830888351699731,2@,2@,1.53670852796032,1.44477696847938,2.1246749551638,2.08572713486736,NO RESPONSE,0.00581554439850152,2,NaN,NO RESPONSE,NaN,2,NaN
1,1092348281,16,1815505.50330049,1815558.54031917,1815509.42024203,1815563.05730072,OK,OK,7,1,NO RESPONSE,NO RESPONSE,NaN,NaN,128,143,pfd,2,Binocular,23,90,57,Binocular,speakers,z,z,nogo,1,1,1815620.41961462,1815620.43628451,1815621.79471501,1815626.51170209,OK,OK,2,6,1,1,,,0,0,NaN,NaN,NO RESPONSE,0.0058398658875376,2,NaN,NO RESPONSE,NaN,2,NaN
1,1092348281,17,1815511.38704363,1815564.62407295,1815515.50399551,1815569.14104954,OK,OK,5,1,NO RESPONSE,NO RESPONSE,NaN,NaN,90,57,speakers,2,Binocular,16,144,140,CFS,marker,z,z,nogo,1,1,1815627.79512931,1815627.81179844,1815629.17022336,1815633.88721392,OK,OK,0,2,1,1,,,0,0,NaN,NaN,NO RESPONSE,0.00581178488209844,2,NaN,NO RESPONSE,NaN,2,NaN
