subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,list,tType_study,trial_test,item_test,pair_test,tType_test,gonogo_answer,name,name_test,roboBCFS_1,roboBCFS_2,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,response_cue,rt_cue,RoboRT_cue,response_noise,rt_noise,RoboRT_noise
1,215341603,1,81075.8763520136,81174.0181344061,81078.3879247035,81176.3295884095,OK,OK,7,8,j,j,2.47858073626412,2.2920400648436,32,122,1,CFS,6,143,128,Not Studied,nogo,chain,high heel,j,j,0,1,81310.1238366412,81313.1957153323,81318.8192937428,81323.7323616051,Return,OK,10,1,1,3,3,0.1,0.1,boot,3.05941871981486,1,NO RESPONSE,NaN,1
1,215341603,2,81087.9439369211,81183.1138454824,81092.8570331571,81188.0269598292,OK,OK,9,4,NO RESPONSE,NO RESPONSE,NaN,NaN,53,23,1,Binocular,3,50,80,Binocular,nogo,floss,dresser,z,z,1,1,81326.8843232076,81329.2058073083,81332.5879229528,81337.5010430347,Return,OK,3,1,1,,,0.1,0.1,burrow,2.3061227693106,1,NO RESPONSE,NaN,1
1,215341603,3,81096.4392931451,81190.4184309413,81098.8508024168,81193.1301528044,OK,OK,0,0,f,f,2.37070217925066,2.64289394671505,61,121,1,Not Studied,7,53,23,Not Studied,go,glass,floss,f,f,0,0,81339.9826078374,81349.8087888391,81353.3310412025,81356.5430203907,Return,Return,9,1,1,,,0.1,0.1,bed,9.81485627974325,1,Return,3.11413555798936,1
1,215341603,4,81102.633185921,81196.2121026439,81104.6444454439,81201.225294294,OK,OK,0,0,f,f,1.96855652505474,4.9528239210631,153,8,1,Not Studied,9,141,155,CFS,go,knife,purse,f,f,0,0,81360.0152146333,81374.2441673214,81377.946505645,81382.8595991644,Return,OK,6,1,1,,,0.1,0.1,bed,14.2050052989362,1,NO RESPONSE,NaN,1
1,215341603,5,81107.9565475143,81204.3972865099,81110.5681781891,81207.8093720089,OK,OK,0,0,f,f,2.53289309852698,3.34326965654327,85,25,1,Not Studied,8,184,181,Binocular,go,foot stool,mailbox,f,f,0,0,81385.7113828881,81390.6044451903,81394.3167502231,81396.4281356467,Return,Return,2,1,1,,,0.1,0.1,suitcase,4.86800471728202,1,Return,2.03847833744658,1
1,215341603,6,81115.491279469,81210.7812437272,81120.4043693662,81215.6943755812,OK,OK,5,1,NO RESPONSE,NO RESPONSE,NaN,NaN,172,170,1,Binocular,12,32,122,CFS,nogo,paint brush,chain,z,z,1,1,81398.8196378492,81400.8409135843,81403.6626290512,81408.5758055787,Return,OK,2,1,1,,,0.1,0.1,chain,2.00724887251272,1,NO RESPONSE,NaN,1
1,215341603,7,81124.026641078,81218.6362197922,81126.0379271635,81220.6475182535,OK,OK,5,7,j,j,1.93405865323439,1.97575015945768,184,181,1,CFS,5,61,121,Not Studied,go,mailbox,glass,j,j,0,1,81410.9672504301,81419.7825175245,81424.0054676692,81428.018023628,Return,Return,9,1,1,3,3,0.1,0.1,tennis raquet,8.78672226298659,1,Return,3.98816515537328,1
1,215341603,8,81134.5332981781,81226.1709387675,81139.4463820384,81231.0840464737,OK,OK,10,10,NO RESPONSE,NO RESPONSE,NaN,NaN,50,80,1,Binocular,2,85,25,CFS,go,dresser,foot stool,z,z,1,1,81430.2794439603,81441.6766058071,81445.2585736066,81448.4708778848,Return,Return,3,1,1,,,0.1,0.1,wedge tool,11.3853976345417,1,Return,3.11801158430171,1
1,215341603,9,81142.8885406237,81235.3667570298,81145.0999375477,81237.2779425699,OK,OK,4,5,j,j,2.14318477697088,1.83637017273577,8,153,1,CFS,11,153,8,Binocular,go,bed,knife,j,j,0,1,81450.4021178842,81459.7379430709,81462.679505658,81465.8918537041,Return,Return,2,1,1,3,3,0.1,0.1,sword,9.30984032558627,1,Return,3.1602101946628,1
1,215341603,10,81150.8935437493,81241.8509234578,81155.8066689627,81246.7639412133,OK,OK,8,1,NO RESPONSE,NO RESPONSE,NaN,NaN,56,99,1,Binocular,10,56,99,Binocular,go,clothes pin,clothes pin,z,z,1,1,81468.0632437339,81477.8994053299,81481.52168821,81484.0332753886,Return,Return,0,1,1,,,0.1,0.1,clothes pin,9.82381662873377,1,Return,2.43718353155418,1
