subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType,swap,trial_test,item_test,pair_test,tType_test,swap_test,name_test,mm_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_cue,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,meanRoboRT_cue,response_noise,rt_noise,RoboRT_noise,meanRoboRT_noise
5,894417996,1,1557187.87640896,1557289.57640141,1557192.58515595,1557294.28514871,OK,OK,0,0,NO RESPONSE,NO RESPONSE,NaN,NaN,189,19,fire hydrant,1,NOT STUDIED,mismatch,10,192,133,CFS,mismatch,razor,p,0,0,1557451.75639211,1557458.37325433,1557459.6066911,1557465.01580876,OK,OK,2,2,0,0,,,0,0,NaN,NaN,NO RESPONSE,6.60820939880796,2,NaN,p,5.3975993914064,2,NaN
5,894417996,2,1557196.89382084,1557296.33528801,1557201.60254067,1557301.04401267,OK,OK,0,0,NO RESPONSE,NO RESPONSE,NaN,NaN,36,46,comb,1,NOT STUDIED,match,7,25,85,BINOCULAR,mismatch,camera,p,0,0,1557468.38275323,1557473.69121346,1557474.9163041,1557479.62534479,OK,OK,8,9,0,0,,,0,0,NaN,NaN,NO RESPONSE,5.29316854360513,2,NaN,p,4.65545577765442,2,NaN
5,894417996,3,1557206.86128992,1557303.49420419,1557211.57004235,1557308.20296144,OK,OK,9,10,NO RESPONSE,NO RESPONSE,NaN,NaN,43,44,crib,1,CFS,match,12,18,39,NOT STUDIED,mismatch,necklace,p,0,1,1557482.46720044,1557487.34231688,1557488.57573523,1557491.9846902,OK,OK,8,9,0.727495707309101,0.727495707309101,,,2.18181271201422,3.92832672952692,2.15022107250873,2.15022107250873,NO RESPONSE,4.86412700614892,2,NaN,q,3.37946427753195,2,NaN
5,894417996,4,1557218.27055912,1557310.25311856,1557222.97930852,1557314.96185589,OK,OK,9,5,NO RESPONSE,NO RESPONSE,NaN,NaN,50,80,boot,1,BINOCULAR,match,11,11,103,BINOCULAR,match,bike,q,1,1,1557494.92656909,1557497.39311451,1557498.61824469,1557502.82725066,OK,OK,3,10,1,1,,,0,0,NaN,NaN,NO RESPONSE,2.45230326196179,2,NaN,q,4.12050282070413,2,NaN
5,894417996,5,1557227.05460305,1557317.15367728,1557231.76335337,1557321.86241884,OK,OK,1,10,NO RESPONSE,NO RESPONSE,NaN,NaN,187,2,vinyl,1,CFS,match,8,57,90,NOT STUDIED,match,cd,q,0,1,1557505.12741034,1557508.75240559,1557509.97752429,1557515.48659849,OK,OK,10,5,0.727495707309101,0.727495707309101,,,1.88824953473569,1.57604314668557,2.15022107250873,2.15022107250873,NO RESPONSE,3.61095653078519,2,NaN,q,5.42457748623565,2,NaN
5,894417996,6,1557235.25528433,1557324.26257791,1557239.96403494,1557328.97129472,OK,OK,10,2,NO RESPONSE,NO RESPONSE,NaN,NaN,117,135,pillow,1,CFS,mismatch,5,187,2,CFS,match,vinyl,q,0,1,1557517.71178903,1557521.90346644,1557523.12891144,1557526.83753467,OK,OK,8,5,0.727495707309101,0.727495707309101,,,3.43464890487933,3.68945223043468,2.15022107250873,2.15022107250873,NO RESPONSE,4.17798340437002,2,NaN,q,3.63272379850969,2,NaN
5,894417996,7,1557243.8643211,1557331.47149968,1557248.5730702,1557336.18024969,OK,OK,7,0,NO RESPONSE,NO RESPONSE,NaN,NaN,25,85,camera,1,BINOCULAR,mismatch,6,117,135,CFS,mismatch,pillow,p,1,1,1557529.12106909,1557532.56269383,1557533.7961158,1557537.40507349,OK,OK,10,5,1,1,,,0,0,NaN,NaN,NO RESPONSE,3.43222725647502,2,NaN,q,3.5090805364307,2,NaN
5,894417996,8,1557253.29009421,1557338.06375573,1557257.99884271,1557342.77245533,OK,OK,0,0,NO RESPONSE,NO RESPONSE,NaN,NaN,57,90,cd,1,NOT STUDIED,match,2,36,46,NOT STUDIED,match,comb,q,0,0,1557539.97197207,1557543.92196256,1557545.15569273,1557548.76434555,OK,OK,4,9,0,0,,,0,0,NaN,NaN,NO RESPONSE,3.94083087076433,2,NaN,q,3.54101771558635,2,NaN
5,894417996,9,1557260.18234241,1557344.9642728,1557264.89107341,1557349.67303488,OK,OK,2,10,NO RESPONSE,NO RESPONSE,NaN,NaN,63,77,watch,1,BINOCULAR,mismatch,9,63,77,BINOCULAR,mismatch,watch,p,1,1,1557551.05613916,1557553.40605963,1557554.63119554,1557563.6405752,OK,OK,2,6,1,1,,,0,0,NaN,NaN,NO RESPONSE,2.33623853349127,2,NaN,p,8.95285172248259,2,NaN
5,894417996,10,1557269.39974192,1557351.61481628,1557274.10850914,1557355.32345491,OK,SPACE,2,0,NO RESPONSE,space,NaN,3.63441204256378,192,133,razor,1,CFS,mismatch,4,50,80,BINOCULAR,match,boot,q,0,1,1557566.16576273,1557567.72390014,1557568.94904208,1557571.95792974,OK,OK,3,5,0.727495707309101,0.727495707309101,,,2.06839392336393,2.17407979494134,2.15022107250873,2.15022107250873,NO RESPONSE,1.54600547556765,2,NaN,q,2.97063759644516,2,NaN
