subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType,swap,trial_test,item_test,pair_test,tType_test,swap_test,name_test,mm_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_cue,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,meanRoboRT_cue,response_noise,rt_noise,RoboRT_noise,meanRoboRT_noise
2,894012391,11,3027411.3897462,3027510.84964567,3027411.49812262,3027512.85820655,CAUGHT,OK,3,4,Return,Return,0.0764257838018239,1.97355307126418,58,74,keys,1,CFS,match,12,111,125,BINOCULAR,mismatch,rake,p,0,1,3027674.12422616,3027676.06578634,3027677.29089781,3027680.39987642,OK,OK,7,8,0.727495707309101,0.343644639395486,,2,2.82818149912427,3.53497226064428,2.15022107250873,2.56660933584118,NO RESPONSE,1.92612518277019,2,NaN,p,3.03940189443529,2,NaN
2,894012391,12,3027418.52378352,3027517.26696864,3027423.23262461,3027521.97580067,OK,OK,2,10,NO RESPONSE,NO RESPONSE,NaN,NaN,111,125,rake,1,BINOCULAR,mismatch,10,151,97,CFS,match,key ring,q,1,1,3027682.44170975,3027684.86666419,3027686.10043343,3027687.1088461,OK,OK,9,0,1,1,,,0,0,NaN,NaN,NO RESPONSE,2.41637666057795,2,NaN,q,0.965686456300318,2,NaN
2,894012391,13,3027698.63502694,3027780.58481959,3027700.94358864,3027783.09338273,OK,OK,6,10,Return,Return,2.21467185020447,2.48647619085386,181,184,microscope,2,CFS,match,20,178,84,NOT STUDIED,mismatch,athletic tape,p,0,1,3027870.86045898,3027874.09378269,3027875.32726698,3027878.63621716,OK,OK,2,4,0.284891412365461,0.1958028133384,2,2,1.95722184532647,5.11625370049968,2.68618772539277,2.9465020318903,NO RESPONSE,3.2240791269578,2,NaN,p,3.24524240521714,2,NaN
2,894012391,14,3027707.37753229,3027786.58541635,3027712.08633203,3027791.29425895,OK,OK,4,6,NO RESPONSE,NO RESPONSE,NaN,NaN,167,126,nail polish,2,BINOCULAR,match,17,176,154,BINOCULAR,match,paper towel,q,1,1,3027881.22816623,3027882.93634958,3027884.16177014,3027886.07030962,OK,OK,10,4,1,1,,,0,0,NaN,NaN,NO RESPONSE,1.69611130654812,2,NaN,q,1.85052376193926,2,NaN
2,894012391,15,3027714.25324455,3027792.95270463,3027718.96204368,3027797.66151825,OK,OK,1,9,NO RESPONSE,NO RESPONSE,NaN,NaN,20,71,broach,2,BINOCULAR,mismatch,22,37,112,BINOCULAR,mismatch,compass,p,1,1,3027887.67878037,3027888.77890379,3027890.00370465,3027893.11268508,OK,OK,10,5,1,1,,,0,0,NaN,NaN,NO RESPONSE,1.08533862419426,2,NaN,p,3.03237624559551,2,NaN
2,894012391,16,3027720.82886635,3027799.47004749,3027723.1374374,3027803.578765,SPACE,SPACE,0,0,space,space,2.26818873453885,4.07263298984617,117,135,pillow,2,NOT STUDIED,match,13,181,184,CFS,match,microscope,q,0,0,3027894.92950866,3027896.31268532,3027897.53781912,3027899.74669115,OK,OK,8,2,0,0,,,0,0,NaN,NaN,NO RESPONSE,1.37038831412792,2,NaN,p,2.19402202498168,2,NaN
2,894012391,17,3027726.62946348,3027807.64583271,3027731.33823272,3027812.35463214,OK,OK,3,3,NO RESPONSE,NO RESPONSE,NaN,NaN,176,154,paper towel,2,BINOCULAR,match,24,41,42,CFS,mismatch,couch,p,1,1,3027902.39662998,3027903.48003855,3027904.7051639,3027907.71413772,OK,OK,2,7,1,1,,,0,0,NaN,NaN,NO RESPONSE,1.0710745183751,2,NaN,q,2.95439017843455,2,NaN
2,894012391,18,3027733.22176421,3027816.11334161,3027735.13033659,3027818.22191212,SPACE,SPACE,0,0,space,space,1.83490433217958,2.06093766121194,148,55,box,2,NOT STUDIED,mismatch,19,64,107,CFS,match,wardrobe,q,0,0,3027909.67265454,3027910.63944458,3027911.87254219,3027912.98125367,OK,OK,2,1,0,0,,,0,0,NaN,NaN,NO RESPONSE,0.954789832700044,2,NaN,q,1.05892429547384,2,NaN
2,894012391,19,3027737.63885989,3027823.27239084,3027738.94739049,3027824.58080463,OK,OK,2,1,Return,Return,1.26570296799764,1.22974522598088,64,107,wardrobe,2,CFS,match,23,180,182,NOT STUDIED,match,clipboard,q,0,1,3027914.86483979,3027916.29799651,3027917.52312578,3027919.93201798,OK,OK,6,0,0.236183276370507,0.162326233679175,2,2,3.7219970586195,2.8512827590088,2.81268517361682,3.0880618167681,NO RESPONSE,1.41847182810307,2,NaN,q,2.37617002334446,2,NaN
2,894012391,20,3027743.9645044,3027831.10649798,3027746.073074,3027834.01513526,SPACE,SPACE,0,0,space,space,2.0918689314276,2.8272665226832,178,84,athletic tape,2,NOT STUDIED,mismatch,21,177,179,CFS,mismatch,bottle cap,p,0,0,3027921.74050586,3027922.79894055,3027924.03210518,3027926.64099067,OK,OK,10,3,0,0,,,0,0,NaN,NaN,NO RESPONSE,1.04661378776655,2,NaN,p,2.52299477718771,2,NaN
