subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,item,pair,list,tType_study,trial_test,item_test,pair_test,tType_test,gonogo_answer,name,name_test,roboBCFS,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_noise,transparency,pas,RoboRT,response_cue,rt_cue,RoboRT_cue,response_noise,rt_noise,RoboRT_noise
4,231261204,1,12184838.6475214,12184868.5763769,OK,0,NO RESPONSE,NaN,204,205,1,Not Studied,3,200,196,Not Studied,go,bowtie,tape,f,0,0,12185110.1385724,12185124.2171221,12185129.2005712,12185132.3125187,Return,Return,0,1,,0.1,NO RESPONSE,14.0658063162118,1,Return,3.05156238377094,1
4,231261204,2,12184876.6614547,12184885.777211,OK,0,f,9.01021727360785,199,195,1,Not Studied,9,205,204,CFS,go,scroll,cheese grater,f,0,0,12185135.0542612,12185150.9539473,12185154.8967611,12185157.0080938,Return,Return,1,1,,0.1,NO RESPONSE,15.8848909381777,1,Return,2.03423536755145,1
4,231261204,3,12184890.7403344,12184902.3576535,OK,0,f,11.5305617190897,200,196,1,Not Studied,5,202,208,Binocular,go,tape,zip tie,f,0,0,12185159.559691,12185172.4474945,12185177.4409706,12185181.1533113,Return,Return,8,1,,0.1,golf club,12.8744345996529,1,Return,3.67289450764656,1
4,231261204,4,12184906.7304181,12184911.6435249,OK,3,NO RESPONSE,NaN,198,193,1,Binocular,11,197,194,Not Studied,nogo,chest,pipe,z,1,1,12185183.6248879,12185194.2512452,12185199.9451601,12185204.8582241,Return,OK,10,1,,0.1,pipe,10.6083224490285,1,NO RESPONSE,NaN,1
4,231261204,5,12184915.4758607,12184920.3890128,OK,8,NO RESPONSE,NaN,202,208,1,Binocular,6,206,207,CFS,nogo,zip tie,frame,z,1,1,12185207.4298391,12185214.0036804,12185229.8039659,12185234.7170713,Return,OK,3,1,,0.1,frame,6.55436429381371,1,NO RESPONSE,NaN,1
4,231261204,6,12184923.6510651,12184929.1645413,OK,3,f,5.47454525716603,206,207,1,CFS,12,207,206,CFS,go,frame,axe,j,0,1,12185237.378763,12185245.9538277,12185249.7465456,12185252.8585,Return,Return,2,1,,0.1,axe,8.56391780078411,1,Return,3.01193026453257,1
4,231261204,7,12184933.6473663,12184938.5604604,OK,4,NO RESPONSE,NaN,203,201,1,Binocular,2,199,195,Not Studied,go,bowling pin,scroll,z,1,1,12185255.810338,12185274.7019592,12185276.7835899,12185281.0963045,Return,Return,0,1,,0.1,paper,18.8750090170652,1,Return,4.2455541472882,1
4,231261204,8,12184942.5529993,12184947.4660612,OK,1,NO RESPONSE,NaN,201,203,1,Binocular,1,204,205,Not Studied,nogo,bellow,bowtie,z,1,1,12185283.537845,12185297.7664993,12185300.3084256,12185305.2215234,Return,OK,0,1,,0.1,rug,14.2104292307049,1,NO RESPONSE,NaN,1
4,231261204,9,12184951.8788479,12184955.0908764,OK,7,j,3.17358106188476,205,204,1,CFS,4,198,193,Binocular,nogo,cheese grater,chest,j,0,1,12185307.843135,12185317.8592042,12185323.3429483,12185328.2560434,Return,OK,5,1,2,0.1,treasure chest,10.0001626964659,1,NO RESPONSE,NaN,1
4,231261204,10,12184968.7094541,12184970.6205938,OK,1,j,1.86219192110002,208,202,1,CFS,8,201,203,Binocular,go,hockey stick,bellow,j,0,1,12185330.5374813,12185353.2114625,12185357.4144176,12185360.8265795,Return,Return,6,1,2,0.1,fan for fireplace,22.6641982495785,1,Return,3.30698094330728,1
4,231261204,11,12184980.476855,12184986.3905945,OK,0,f,5.83811345882714,197,194,1,Not Studied,7,203,201,Binocular,go,pipe,bowling pin,f,0,0,12185363.8785059,12185369.2115385,12185372.9442193,12185376.0562099,Return,Return,10,1,,0.1,vase,5.31442422792315,1,Return,3.00846293009818,1
4,231261204,12,12184990.2930503,12184996.0066476,OK,6,f,5.66948361881077,207,206,1,CFS,10,208,202,CFS,nogo,axe,hockey stick,j,0,1,12185378.8076144,12185393.2266799,12185395.7185751,12185400.6316765,Return,OK,4,1,,0.1,golf club,14.4001776073128,1,NO RESPONSE,NaN,1
