subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,item,pair,list,tType_study,trial_test,item_test,pair_test,tType_test,gonogo_answer,name,name_test,roboBCFS,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_noise,transparency,pas,RoboRT,response_cue,rt_cue,RoboRT_cue,response_noise,rt_noise,RoboRT_noise
10,232046824,1,1814793.20006912,1814809.0205839,OK,0,f,15.8057083263993,200,196,1,Not Studied,3,204,205,CFS,go,tape,bowtie,f,0,0,1815014.92764664,1815018.48969537,1815023.76354441,1815028.67680417,Return,OK,3,1,,0.1,NO RESPONSE,3.54278512950987,1,NO RESPONSE,NaN,1
10,232046824,2,1814814.31409951,1814819.22740274,OK,0,NO RESPONSE,NaN,197,194,1,Binocular,12,201,203,CFS,nogo,pipe,bellow,z,1,1,1815031.88894044,1815033.7498536,1815036.59207427,1815041.50534429,Return,OK,2,1,,0.1,NO RESPONSE,1.84494729642756,1,NO RESPONSE,NaN,1
10,232046824,3,1814823.81045737,1814833.62696777,OK,6,j,9.73855195497163,204,205,1,CFS,5,208,202,CFS,go,bowtie,hockey stick,j,0,1,1815043.99700774,1815045.35758222,1815048.27984563,1815049.69078023,Return,Return,1,1,1!,0.1,NO RESPONSE,1.34445256087929,1,Return,1.30151801439933,1
10,232046824,4,1814845.63497018,1814850.54824292,OK,10,NO RESPONSE,NaN,202,208,1,Binocular,8,206,207,Binocular,nogo,zip tie,frame,z,1,1,1815052.17239049,1815053.95330438,1815057.13572632,1815062.04899604,Return,OK,7,1,,0.1,NO RESPONSE,1.76879693800583,1,NO RESPONSE,NaN,1
10,232046824,5,1814856.72234249,1814860.6349584,OK,0,j,3.8417060081847,208,202,1,CFS,10,205,204,CFS,go,hockey stick,cheese grater,j,0,1,1815064.24047445,1815065.92125945,1815068.44327051,1815070.15441761,Return,Return,3,1,3#,0.1,NO RESPONSE,1.66827533743344,1,Return,1.64145396160893,1
10,232046824,6,1814867.66963005,1814872.58288559,OK,6,NO RESPONSE,NaN,203,201,1,Binocular,2,197,194,Binocular,nogo,bowling pin,pipe,z,1,1,1815072.48595391,1815075.52766747,1815078.91022132,1815083.82350281,Return,OK,1,1,,0.1,NO RESPONSE,3.02247621398419,1,NO RESPONSE,NaN,1
10,232046824,7,1814874.46414962,1814882.97981515,OK,0,f,8.46711743273772,198,193,1,Not Studied,7,198,193,Not Studied,nogo,chest,chest,f,0,0,1815086.88555124,1815088.44626881,1815094.95092669,1815099.86419611,Return,OK,4,1,,0.1,NO RESPONSE,1.55042863008566,1,NO RESPONSE,NaN,1
10,232046824,8,1814887.22263076,1814892.13591135,OK,10,NO RESPONSE,NaN,206,207,1,Binocular,4,202,208,Binocular,nogo,frame,zip tie,z,1,1,1815102.02531332,1815103.45624291,1815106.50862331,1815111.42187251,Return,OK,5,1,,0.1,NO RESPONSE,1.4181597281713,1,NO RESPONSE,NaN,1
10,232046824,9,1814901.83237153,1814910.64827159,OK,0,f,8.71393832564354,207,206,1,Not Studied,1,200,196,Not Studied,go,axe,tape,f,0,0,1815113.39319203,1815114.19341147,1815117.09565574,1815118.40654536,Return,Return,6,1,,0.1,NO RESPONSE,0.785850679734722,1,Return,1.23533028643578,1
10,232046824,10,1814914.60087145,1814930.7215779,OK,0,j,16.1045908695087,205,204,1,CFS,9,207,206,Not Studied,go,cheese grater,axe,j,0,1,1815120.71805016,1815121.90885453,1815125.18103976,1815126.69205646,Return,Return,9,1,3#,0.1,NO RESPONSE,1.17275029583834,1,Return,1.46969253337011,1
10,232046824,11,1814936.08515823,1814944.50074346,OK,0,f,8.3159236072097,199,195,1,Not Studied,6,203,201,Binocular,go,scroll,bowling pin,f,0,0,1815129.01361021,1815130.00392347,1815133.06629036,1815134.07693427,Return,Return,8,1,,0.1,NO RESPONSE,0.972898203181103,1,Return,0.944279599701986,1
10,232046824,12,1814947.34263964,1814949.75425883,OK,0,j,2.39419447747059,201,203,1,CFS,11,199,195,Not Studied,nogo,bellow,scroll,j,0,1,1815136.20835406,1815137.10866557,1815139.80077546,1815144.71408835,Return,OK,5,1,3#,0.1,NO RESPONSE,0.889933834085241,1,NO RESPONSE,NaN,1
