subject,seed,dominantEye,sex,ethnicity,race,trial,item,tStart,tEnd,exitFlag,jitter,tType,eyes_1,eyes_2,transparency,pas,response,rt,RoboRT,meanRoboRT
7,787787636,Left,Male,Not Hispanic or Latino,White,1,4,392211.479982653,392213.855201044,OK,1,CFS,0,1,0.606530659712633,2@,Return,2.29950860561803,4.38998924392729,2.24275136409242
7,787787636,Left,Male,Not Hispanic or Latino,White,2,61,392220.114103113,392220.364124246,OK,0,CFS,0,1,0.237520819095458,1!,Return,0.145177633385174,2.74472055000864,2.80877044540358
7,787787636,Left,Male,Not Hispanic or Latino,White,3,51,392226.348000348,392229.598303714,SPACE,4,CFS,0,1,0.148636730538123,,space,3.2229352130671,1.4248897096746,3.15737849357103
7,787787636,Left,Male,Not Hispanic or Latino,White,4,68,392233.106945747,392235.482162479,OK,1,CFS,0,1,1,2@,Return,2.30382192344405,2.25395648479265,2
7,787787636,Left,Male,Not Hispanic or Latino,White,5,30,392239.974240215,392244.34963247,SPACE,6,NULL,0,0,0,,space,4.33217655873159,0,NaN
7,787787636,Left,Male,Not Hispanic or Latino,White,6,74,392246.866532574,392248.8667081,OK,5,CFS,0,1,0.625784009604591,2@,Return,1.93572769465391,3.57622609497755,2.22648941703676
7,787787636,Left,Male,Not Hispanic or Latino,White,7,66,392254.15885919,392256.534071537,OK,7,CFS,0,1,0.391605626676799,2@,Return,2.33913560560904,5.33360702996519,2.4871771380933
7,787787636,Left,Male,Not Hispanic or Latino,White,8,26,392260.534434518,392264.034755235,OK,3,CFS,0,1,0.245060539245526,2@,Return,3.41929818579229,4.57525752053915,2.78722686579699
7,787787636,Left,Male,Not Hispanic or Latino,White,9,15,392267.593415368,392274.219010324,SPACE,0,CFS,0,1,0.28650479686019,,space,6.55195391789312,3.67009692604126,2.6824871219273
7,787787636,Left,Male,Not Hispanic or Latino,White,10,42,392276.66090122,392279.411146773,OK,8,CFS,0,1,1,2@,Return,2.73227420408512,2.2192691052271,2
7,787787636,Left,Male,Not Hispanic or Latino,White,11,29,392287.795242939,392290.79551249,OK,3,CFS,0,1,0.625784009604591,2@,Return,2.9895569938235,3.32672649562438,2.22648941703676
7,787787636,Left,Male,Not Hispanic or Latino,White,12,22,392294.054140787,392296.804391618,OK,7,CFS,0,1,0.391605626676799,2@,Return,2.71445511741331,3.03076093021099,2.4871771380933
7,787787636,Left,Male,Not Hispanic or Latino,White,13,27,392301.204791129,392302.57991413,OK,0,CFS,0,1,0.245060539245526,2@,Return,1.35558685049182,4.44592436789074,2.78722686579699
7,787787636,Left,Male,Not Hispanic or Latino,White,14,5,392305.838541067,392309.213855744,SPACE,6,CFS,0,1,0.153354966844928,,space,3.32960719050607,2.95508561579192,3.13258198544045
7,787787636,Left,Male,Not Hispanic or Latino,White,15,56,392311.780745126,392313.905938159,OK,3,CFS,0,1,1,2@,Return,2.12316476501292,1.58325923711535,2
7,787787636,Left,Male,Not Hispanic or Latino,White,16,20,392317.247906624,392319.498117324,OK,6,CFS,0,1,0.625784009604591,3#,Return,2.22387140616775,4.24620410774084,2.22648941703676
7,787787636,Left,Male,Not Hispanic or Latino,White,17,19,392325.231963094,392326.607093652,OK,2,CFS,0,1,0.391605626676799,2@,Return,1.35951320425374,3.71976427936054,2.4871771380933
7,787787636,Left,Male,Not Hispanic or Latino,White,18,28,392329.699038727,392334.949513695,SPACE,2,NULL,0,0,0,,space,5.19617933110567,0,NaN
7,787787636,Left,Male,Not Hispanic or Latino,White,19,60,392337.774769062,392342.400191805,SPACE,0,NULL,0,0,0,,space,4.57618358323816,0,NaN
7,787787636,Left,Male,Not Hispanic or Latino,White,20,32,392344.758732861,392349.509167072,SPACE,3,NULL,0,0,0,,space,4.6319990697084,0,NaN
7,787787636,Left,Male,Not Hispanic or Latino,White,21,50,392354.642614281,392356.768153817,OK,6,CFS,0,1,0.245060539245526,2@,Return,2.04389594553504,2.87729477741561,2.78722686579699
7,787787636,Left,Male,Not Hispanic or Latino,White,22,49,392360.768518302,392365.893982701,SPACE,6,CFS,0,1,0.153354966844928,,space,5.03763133188477,3.90873773999429,3.13258198544045
7,787787636,Left,Male,Not Hispanic or Latino,White,23,44,392368.344205019,392370.594408617,OK,5,CFS,0,1,1,2@,Return,2.14979657519143,3.88571900731326,2
7,787787636,Left,Male,Not Hispanic or Latino,White,24,64,392373.678016986,392375.553189793,OK,6,CFS,0,1,0.625784009604591,3#,Return,1.79181349358987,2.76703184633902,2.22648941703676
7,787787636,Left,Male,Not Hispanic or Latino,White,25,81,392379.695232368,392381.195364729,OK,1,CFS,0,1,0.391605626676799,2@,Return,1.39040007215226,2.26858556754463,2.4871771380933
7,787787636,Left,Male,Not Hispanic or Latino,White,26,63,392384.403990767,392389.279435093,SPACE,2,NULL,0,0,0,,space,4.87329666916048,0,NaN
7,787787636,Left,Male,Not Hispanic or Latino,White,27,16,392391.27961469,392393.029774824,OK,4,CFS,0,1,0.245060539245526,2@,Return,1.70953342312714,5.51791176496186,2.78722686579699
7,787787636,Left,Male,Not Hispanic or Latino,White,28,73,392395.746682017,392400.247089059,SPACE,1,NULL,0,0,0,,space,4.49028189311503,0,NaN
7,787787636,Left,Male,Not Hispanic or Latino,White,29,52,392402.255605523,392406.88102268,SPACE,5,CFS,0,1,0.153354966844928,,space,4.60529496194795,3.97311986474012,3.13258198544045
7,787787636,Left,Male,Not Hispanic or Latino,White,30,14,392409.547937725,392411.923149623,OK,8,CFS,0,1,1,3#,Return,2.36854551610304,1.88166957985025,2
7,787787636,Left,Male,Not Hispanic or Latino,White,31,83,392418.532078559,392420.782281855,OK,5,CFS,0,1,0.625784009604591,2@,Return,2.15217230393318,2.0568046925901,2.22648941703676
7,787787636,Left,Male,Not Hispanic or Latino,White,32,88,392424.307608921,392425.932754863,OK,2,CFS,0,1,0.391605626676799,2@,Return,1.60844085999997,2.76923105510689,2.4871771380933
7,787787636,Left,Male,Not Hispanic or Latino,White,33,33,392428.991364288,392435.991992894,SPACE,2,CFS,0,1,0.245060539245526,,space,6.92434319324093,2.77950836004724,2.78722686579699
7,787787636,Left,Male,Not Hispanic or Latino,White,34,85,392437.967174,392439.21728705,OK,0,CFS,0,1,1,2@,Return,1.18039910891093,1.96991544421605,2
7,787787636,Left,Male,Not Hispanic or Latino,White,35,47,392442.034211302,392444.284415504,OK,7,CFS,0,1,0.625784009604591,2@,Return,2.20118569367332,3.12980888629195,2.22648941703676
7,787787636,Left,Male,Not Hispanic or Latino,White,36,97,392447.77639242,392449.776573078,OK,7,CFS,0,1,0.391605626676799,2@,Return,1.88274856866337,4.07338010448492,2.4871771380933
7,787787636,Left,Male,Not Hispanic or Latino,White,37,8,392452.9435263,392454.318650962,OK,2,CFS,0,1,0.245060539245526,2@,Return,1.3395557916956,3.52301738984728,2.78722686579699
7,787787636,Left,Male,Not Hispanic or Latino,White,38,72,392457.102238058,392466.978134107,SPACE,6,CFS,0,1,0.153354966844928,,space,9.8203658395214,2.49009440895619,3.13258198544045
7,787787636,Left,Male,Not Hispanic or Latino,White,39,46,392469.403348869,392471.153514593,OK,5,CFS,0,1,1,2@,Return,1.64713409473188,1.91292266741878,2
7,787787636,Left,Male,Not Hispanic or Latino,White,40,11,392473.962098062,392476.962372899,CAUGHT,0,NULL,0,0,0,,Return,2.97609046316938,0,NaN
7,787787636,Left,Male,Not Hispanic or Latino,White,41,69,392482.479535153,392484.104684872,OK,4,CFS,0,1,0.625784009604591,3#,Return,1.57853909058031,1.80338805359641,2.22648941703676
7,787787636,Left,Male,Not Hispanic or Latino,White,42,53,392487.33830531,392489.08846877,OK,3,CFS,0,1,0.391605626676799,2@,Return,1.64753782335902,2.5011022943124,2.4871771380933
7,787787636,Left,Male,Not Hispanic or Latino,White,43,10,392491.8220536,392493.072161962,OK,1,CFS,0,1,0.245060539245526,2@,Return,1.19565002934542,3.42386483276075,2.78722686579699
