subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType_study,trial_test,item_test,pair_test,tType_test,name_test,roboBCFS_1,roboBCFS_2,gonogo_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,response_noise,rt_noise,RoboRT_noise
23,1775830463,28,5007087.46963044,5007160.52531695,5007090.48147129,5007162.93689199,OK,OK,0,0,f,f,2.98213429283351,2.33061218447983,113,76,radio,3,Not Studied,25,95,66,Not Studied,shoe,f,f,nogo,0,0,5007258.75685939,5007262.58927979,5007265.12084949,5007268.53300951,Return,OK,5,0,0,,,0,0,NaN,NaN,sneaker,3.80577004235238,2,NO RESPONSE,NaN,2
23,1775830463,29,5007093.1131856,5007165.71864408,5007094.42397913,5007167.52974806,OK,OK,3,6,j,j,1.21035189647228,1.7050667097792,78,98,sweater,3,CFS,31,117,135,CFS,plane,j,j,go,1,0,5007270.22407174,5007274.6568162,5007277.76875789,5007279.57989507,Return,Return,12,0.166209824646196,0.208274874580093,2@,3#,2.52437355927216,3.14618696572343,3.06976998160886,2.90159734383849,fish hook,4.4098762460053,2,Return,1.76901355478913,2
23,1775830463,30,5007098.89685412,5007171.61234783,5007102.00872639,5007174.52414608,OK,OK,0,0,f,f,3.03432903531939,2.81893388368189,52,26,deoderant,3,Not Studied,34,122,32,Not Studied,lure,f,f,go,0,0,5007281.93136276,5007284.93332084,5007287.79503788,5007289.00580059,Return,Return,9,0,0,,,0,0,NaN,NaN,fish hook,2.97404087428004,2,Return,1.12624440062791,2
23,1775830463,31,5007104.60036783,5007177.18580722,5007108.21263024,5007179.79744209,OK,OK,4,4,j,j,3.58645661827177,2.54924494493753,122,32,lure,3,CFS,30,78,98,Binocular,sweater,j,j,go,1,0,5007290.75690075,5007293.84885203,5007296.63059598,5007297.84132729,Return,Return,7,0.158823964696538,0.201446812019736,3#,3#,4.6131412585256,3.4038711066532,3.10505231416959,2.92573379841296,sweater,3.07602977380157,2,Return,1.17022559139878,2
23,1775830463,32,5007113.71607355,5007184.46037552,5007117.02815053,5007188.27276053,OK,OK,6,1,NO RESPONSE,NO RESPONSE,NaN,NaN,121,61,mug,3,Binocular,35,97,151,Not Studied,scissors,z,z,go,1,1,5007299.5324194,5007302.16404769,5007304.23532791,5007305.54615252,Return,Return,2,1,1,,,0,0,NaN,NaN,scissors,2.61205835733563,2,Return,1.28507286123931,2
23,1775830463,33,5007119.30955807,5007191.34465681,5007120.72047569,5007192.2552504,OK,OK,6,10,j,j,1.38067196495831,0.861731532029808,95,66,shoe,3,CFS,28,11,103,CFS,bib,j,j,nogo,1,0,5007307.18717912,5007309.7184518,5007312.42048465,5007315.53240371,Return,OK,8,0.187628344506861,0.194842599976261,3#,3#,5.09306554075231,3.50701846002147,2.97800241360179,2.95011282838873,bib,2.5169056840241,2,NO RESPONSE,NaN,2
23,1775830463,34,5007125.23328108,5007196.33778256,5007128.64541937,5007200.25025272,OK,OK,5,0,NO RESPONSE,NO RESPONSE,NaN,NaN,174,131,paint tray,3,Binocular,27,52,26,CFS,deoderant,z,z,go,1,1,5007317.20343598,5007320.69561408,5007324.01771207,5007326.02897548,Return,Return,12,1,1,,,0,0,NaN,NaN,NO RESPONSE,3.46810460463166,2,Return,1.9816000238061,2
23,1775830463,35,5007130.96687322,5007202.42159484,5007133.6785706,5007205.03324571,OK,OK,0,0,f,f,2.64257355779409,2.52811959479004,117,135,plane,3,Not Studied,29,121,61,Not Studied,mug,f,f,go,0,0,5007327.91019183,5007330.68189001,5007334.24412131,5007335.15469195,Return,Return,11,0,0,,,0,0,NaN,NaN,mug,2.75280498713255,2,Return,0.882711392827332,2
23,1775830463,36,5007136.23015365,5007207.35469745,5007138.7417251,5007209.66613662,OK,OK,0,0,f,f,2.41101481206715,2.26679422706366,111,125,kid toy,3,Not Studied,26,163,161,Binocular,moccosin,f,f,go,0,0,5007336.68566249,5007339.36732822,5007342.15906571,5007343.26977557,Return,Return,8,0,0,,,0,0,NaN,NaN,NO RESPONSE,2.66486796177924,2,Return,1.07130194734782,2
23,1775830463,37,5007362.20165086,5007442.46189441,5007366.11408299,5007446.17418341,OK,OK,0,2,NO RESPONSE,NO RESPONSE,NaN,NaN,133,192,guitar,4,Binocular,40,62,123,Binocular,watering pot,z,z,go,1,1,5007519.68020902,5007524.32312669,5007527.2749619,5007528.98604592,Return,Return,7,1,1,,,0,0,NaN,NaN,watering can,4.6285563968122,2,Return,1.69755193218589,2
