subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,trialCode,correctDirection,eyes_1,eyes_2,eyePresent,RoboRT
0,885580202,1,1468741.95616938,1468742.25617258,OK,3,RightArrow,0.202882439130917,3,\RIGHT,0,1,right,0.1
0,885580202,2,1468744.0146576,1468744.31463997,CAUGHT,8,RightArrow,0.280274606542662,1,\LEFT,0,1,right,0.1
0,885580202,3,1468745.98976142,1468746.58980524,CAUGHT,9,RightArrow,0.520945330383256,2,\LEFT,1,0,left,0.1
0,885580202,4,1468748.16487652,1468749.76503988,OK,10,RightArrow,1.51369621953927,4,\RIGHT,1,0,left,0.1
