subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,tType,correctDirection,eyes_1,eyes_2,eyePresent,RoboRT
5,928876770,1,181590.462291704,181626.106481579,OK,2,NO RESPONSE,NaN,2,\LEFT,1,0,left,3
5,928876770,2,181628.206627733,181629.715026571,OK,8,LeftArrow,1.42847449320834,2,\LEFT,1,0,left,3
5,928876770,3,181634.023672802,181668.83447149,OK,10,NO RESPONSE,NaN,2,\LEFT,1,0,left,3
5,928876770,4,181670.459556384,181670.76792854,OK,3,LeftArrow,0.213107742369175,3,\RIGHT,0,1,right,3
5,928876770,5,181676.568343758,181678.876845707,OK,8,RightArrow,2.27188361578737,4,\RIGHT,1,0,left,3
5,928876770,6,181681.968670596,181683.377153589,OK,3,LeftArrow,1.38332209465443,1,\LEFT,0,1,right,3
5,928876770,7,181685.810650784,181688.119169334,OK,2,LeftArrow,2.23702413373394,1,\LEFT,0,1,right,3
5,928876770,8,181690.302307183,181691.811054351,OK,1,RightArrow,1.49704765347997,4,\RIGHT,1,0,left,3
5,928876770,9,181694.869596898,181697.378145452,OK,9,RightArrow,2.48150474589784,3,\RIGHT,0,1,right,3
5,928876770,10,181699.778273374,181700.886676499,OK,6,LeftArrow,1.06866341197747,2,\LEFT,1,0,left,3
5,928876770,11,181708.395568552,181709.503961113,OK,3,RightArrow,1.05883352580713,4,\RIGHT,1,0,left,3
5,928876770,12,181711.712446098,181713.120919734,OK,4,LeftArrow,1.39768116589403,1,\LEFT,0,1,right,3
5,928876770,13,181715.812732006,181717.521181675,OK,8,RightArrow,1.66520825194311,3,\RIGHT,0,1,right,3
5,928876770,14,181720.363085798,181722.271550077,OK,10,RightArrow,1.86658901200281,3,\RIGHT,0,1,right,3
5,928876770,15,181724.280031319,181725.588432754,OK,3,LeftArrow,1.27742488737567,2,\LEFT,1,0,left,3
5,928876770,16,181727.596891962,181729.005357448,OK,3,RightArrow,1.36837170890067,4,\RIGHT,1,0,left,3
5,928876770,17,181731.113844184,181733.522310877,OK,3,RightArrow,2.37920402249438,3,\RIGHT,0,1,right,3
5,928876770,18,181735.822514804,181736.730848686,OK,4,LeftArrow,0.838288321188884,1,\LEFT,0,1,right,3
5,928876770,19,181738.881018111,181740.98950032,OK,5,LeftArrow,2.05155905990978,1,\LEFT,0,1,right,3
5,928876770,20,181743.097981321,181743.906353778,OK,0,RightArrow,0.754405579558806,4,\RIGHT,1,0,left,3
