subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType_study,trial_test,item_test,pair_test,tType_test,name_test,roboBCFS_1,roboBCFS_2,gonogo_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,response_noise,rt_noise,RoboRT_noise
12,1395203577,1,2598435.919,2598553.874,2598437.53,2598555.284,OK,OK,7,12,j,j,1.576012026,1.304203555,85,25,foot stool,1,CFS,11,184,181,CFS,mailbox,j,j,go,0,1,2598722.15,2598728.884,2598739.011,2598740.722,Return,Return,3,0.175594881,0.131955566,2@,2@,1.889030348,3.833828039,3.027770866,3.253993718,toolbox,6.715911389,2,Return,1.68684178,2
12,1395203577,2,2598444.644,2598564.841,2598448.557,2598567.953,OK,OK,0,8,NO RESPONSE,NO RESPONSE,NaN,NaN,143,128,high heel,1,Binocular,5,53,23,Not Studied,floss,z,z,go,1,1,2598743.644,2598810.086,2598813.728,2598815.839,Return,Return,10,1,1,,,0,0,NaN,NaN,bed,66.41870863,2,Return,2.06225222,2
12,1395203577,3,2598451.519,2598570.454,2598453.83,2598572.665,OK,OK,1,6,j,j,2.279405719,2.146905289,61,121,glass,1,CFS,8,141,155,CFS,purse,j,j,go,0,1,2598818.681,2598855.094,2598858.606,2598861.318,Return,OK,12,0.163489858,0.122858916,2,2,2.900740454,2.598472711,3.082521908,3.313644705,shoe,36.38718528,2,NO RESPONSE,NaN,2
12,1395203577,4,2598458.944,2598578.329,2598462.556,2598581.141,OK,OK,3,11,NO RESPONSE,NO RESPONSE,NaN,NaN,184,181,mailbox,1,Binocular,1,50,80,Binocular,dresser,z,z,go,1,1,2598865.701,2598874.096,2598876.618,2598877.729,Return,Return,2,1,1,,,0,0,NaN,NaN,dresser,8.374619896,2,Return,1.089675542,2
12,1395203577,5,2598465.498,2598583.382,2598469.21,2598587.095,OK,OK,2,2,NO RESPONSE,NO RESPONSE,NaN,NaN,8,153,bed,1,Binocular,6,143,128,Not Studied,high heel,z,z,nogo,1,1,2598880.37,2598887.225,2598893.128,2598895.94,Return,OK,11,1,1,,,0,0,NaN,NaN,NO RESPONSE,6.824746522,2,NO RESPONSE,NaN,2
12,1395203577,6,2598472.002,2598590.747,2598487.321,2598595.66,OK,OK,0,0,f,f,15.25095279,4.821027134,53,23,floss,1,Not Studied,2,8,153,Binocular,bed,f,f,go,0,0,2598898.482,2598908.768,2598912.14,2598913.251,Return,Return,10,0,0,,,0,0,NaN,NaN,bed,10.27229807,2,Return,1.085569484,2
12,1395203577,7,2598490.714,2598598.712,2598491.624,2598603.125,OK,OK,2,5,j,j,0.826929195,4.303585669,153,8,knife,1,CFS,12,56,99,CFS,clothes pin,j,j,nogo,0,1,2598915.643,2598928.421,2598931.282,2598934.394,Return,OK,8,0.152219321,0.114389364,1,2,1.838700571,3.079470716,3.138458847,3.37458772,NO RESPONSE,12.75057668,2,NO RESPONSE,NaN,2
12,1395203577,8,2598502.901,2598612.01,2598506.814,2598615.523,OK,OK,0,4,NO RESPONSE,NO RESPONSE,NaN,NaN,32,122,chain,1,Binocular,10,61,121,Binocular,glass,z,z,go,1,1,2598936.386,2598951.195,2598953.707,2598954.817,Return,Return,2,1,1,,,0,0,NaN,NaN,wine glass,14.79045401,2,Return,1.021464211,2
12,1395203577,9,2598510.576,2598619.635,2598522.294,2598623.147,OK,OK,0,0,f,f,11.63498737,3.451563127,50,80,dresser,1,Not Studied,4,172,170,Not Studied,paint brush,f,f,go,0,0,2598957.019,2598968.396,2598970.778,2598972.188,Return,Return,4,0,0,,,0,0,NaN,NaN,NO RESPONSE,11.364616,2,Return,1.373874932,2
12,1395203577,10,2598525.205,2598625.939,2598532.62,2598631.753,OK,OK,0,0,f,f,7.381278393,5.803055018,56,99,clothes pin,1,Not Studied,7,32,122,Not Studied,chain,f,f,go,0,0,2598974.97,2598984.316,2598987.458,2598989.069,Return,Return,12,0,0,,,0,0,NaN,NaN,chain,9.324553338,2,Return,1.564522731,2
12,1395203577,11,2598535.342,2598634.975,2598536.753,2598636.186,OK,OK,0,9,j,j,1.34867956,1.151321949,141,155,purse,1,CFS,3,85,25,Binocular,foot stool,j,j,nogo,0,1,2598990.96,2599000.536,2599003.949,2599006.66,Return,OK,12,0.141725744,0.14687885,2,2,3.185943853,3.171118157,3.19560737,3.166880033,screw,9.557709385,2,NO RESPONSE,NaN,2
