subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType_study,trial_test,item_test,pair_test,tType_test,name_test,roboBCFS_1,roboBCFS_2,gonogo_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,response_noise,rt_noise,RoboRT_noise
51,32031609,29,2513143.07761597,2513259.87935839,2513146.18954367,2513263.79179095,OK,OK,8,0,NO RESPONSE,NO RESPONSE,NaN,NaN,111,125,kid toy,3,Binocular,34,78,98,Not Studied,sweater,z,z,go,1,1,2513440.69052224,2513445.68356566,2513448.21512367,2513450.22631663,Return,Return,3,1,1,,,0,0,NaN,NaN,sweater,4.97996092913672,2,Return,1.99106453452259,2
51,32031609,30,2513148.50096228,2513266.79330017,2513152.01311147,2513270.60594275,OK,OK,4,1,NO RESPONSE,NO RESPONSE,NaN,NaN,117,135,plane,3,Binocular,30,117,135,Binocular,plane,z,z,go,1,1,2513452.07750851,2513454.32888024,2513456.16996702,2513457.58085324,Return,Return,1,1,1,,,0,0,NaN,NaN,plane,2.22441501263529,2,Return,1.33982567954808,2
51,32031609,31,2513154.20442665,2513272.88734697,2513166.82217902,2513284.90473465,OK,OK,0,0,f,f,12.5801538676023,11.9456117725931,78,98,sweater,3,Not Studied,29,97,151,CFS,scissors,f,f,go,0,0,2513459.16183959,2513461.59332329,2513464.68521493,2513466.09608817,Return,Return,2,0,0,,,0,0,NaN,NaN,scissors,2.4115988695994,2,Return,1.32795690186322,2
51,32031609,32,2513168.75337687,2513287.32625601,2513186.1740902,2513297.64255815,OK,OK,0,0,f,f,17.3419693699107,10.2338774963282,163,161,moccosin,3,Not Studied,36,174,131,Binocular,paint tray,f,f,go,0,0,2513467.73709575,2513473.75072608,2513476.12222448,2513478.63377119,Return,Return,3,0,0,,,0,0,NaN,NaN,NO RESPONSE,6.00355480751023,2,Return,2.46619627391919,2
51,32031609,33,2513189.4360699,2513300.41429493,2513191.94764952,2513302.22537548,OK,OK,12,6,j,j,2.44287435663864,1.76955627230927,11,103,bib,3,CFS,33,11,103,Not Studied,bib,j,j,nogo,1,0,2513480.49494714,2513482.68628467,2513484.66750911,2513488.37975924,Return,OK,2,0.90483741803596,0.920044414629323,3#,3#,3.10064141787167,3.02579926259355,2.04568180093028,2.03797268078664,bib,2.18112103361636,2,NO RESPONSE,NaN,2
51,32031609,34,2513196.85062835,2513306.86822943,2513209.6685067,2513316.98444481,OK,OK,0,0,f,f,12.7871473943815,10.0506305806339,122,32,lure,3,Not Studied,28,111,125,Not Studied,kid toy,f,f,go,0,0,2513490.86132024,2513499.69671637,2513502.76863142,2513504.97999262,Return,Return,12,0,0,,,0,0,NaN,NaN,rattle,8.81364983413368,2,Return,2.13808150822297,2
51,32031609,35,2513212.9405565,2513320.35652968,2513215.65221321,2513323.26834015,OK,OK,12,10,NO RESPONSE,NO RESPONSE,NaN,NaN,113,76,radio,3,Binocular,26,121,61,Binocular,mug,z,z,go,1,1,2513507.35145178,2513510.14317753,2513513.36514188,2513514.07557943,Return,Return,12,1,1,,,0,0,NaN,NaN,mug,2.76287135016173,2,Return,0.676991214510053,2
51,32031609,36,2513218.25377832,2513325.82987813,2513221.46575438,2513329.64224091,OK,OK,7,1,NO RESPONSE,NO RESPONSE,NaN,NaN,52,26,deoderant,3,Binocular,27,163,161,CFS,moccosin,z,z,go,1,1,2513515.67656894,2513520.06926306,2513522.05051467,2513524.86217566,Return,Return,3,1,1,,,0,0,NaN,NaN,paint tray,4.3730918224901,2,Return,2.75091926380992,2
51,32031609,37,2513529.94538056,2513641.02363704,2513533.05721801,2513643.73525571,OK,OK,8,12,NO RESPONSE,NO RESPONSE,NaN,NaN,119,7,pill,4,Binocular,46,26,52,CFS,camera,z,z,go,1,1,2513755.66403127,2513762.0777032,2513764.46943022,2513765.48005239,Return,Return,4,1,1,,,0,0,NaN,NaN,camera,6.38601041119546,2,Return,0.932465896010399,2
51,32031609,38,2513534.98846959,2513645.52631349,2513543.40359006,2513656.44305848,OK,OK,0,0,f,f,8.3317190753296,10.8586181374267,43,44,crayon,4,Not Studied,40,89,72,Not Studied,sponge,f,f,go,0,0,2513767.06100674,2513772.13414276,2513773.98524379,2513775.89644634,Return,Return,1,0,0,,,0,0,NaN,NaN,sponge,5.06036442145705,2,Return,1.81596014229581,2
51,32031609,39,2513546.14525421,2513658.85453661,2513549.85756833,2513668.77059733,OK,OK,0,5,j,f,3.66258061490953,9.88961260812357,62,123,watering pot,4,CFS,43,157,33,CFS,axe,j,j,nogo,1,0,2513777.62753239,2513782.96078875,2513785.46231155,2513788.77436343,Return,OK,6,0.882496902584595,0.931062779704023,3#,,2.12130427366994,2.27989871127161,2.05731799562274,2.03248971804528,NO RESPONSE,5.31715906318277,2,NO RESPONSE,NaN,2
51,32031609,40,2513555.60109334,2513671.00196832,2513562.11510128,2513675.31461935,OK,OK,11,0,j,j,6.42997055826709,4.3016497544013,59,79,keys,4,CFS,41,43,44,Binocular,crayon,j,j,nogo,1,0,2513790.6551927,2513795.6986056,2513798.58041889,2513801.59221009,Return,OK,9,1,0.931062779704023,3#,3#,1.07061584871583,2.16760446769997,2,2.03248971804528,NO RESPONSE,5.01665842626244,2,NO RESPONSE,NaN,2
51,32031609,41,2513566.34768024,2513679.14698951,2513569.25946927,2513682.25889064,OK,OK,2,2,j,j,2.80278196837753,3.07626008987427,125,111,cork screw,4,CFS,44,59,79,Not Studied,keys,j,j,go,1,0,2513803.32334957,2513820.38375534,2513824.2661382,2513826.47750242,Return,Return,3,1,1,2@,3#,2.34787045183383,1.44240381189726,2,2,NO RESPONSE,17.0429296540096,2,Return,2.11583656724542,2
51,32031609,42,2513573.73220438,2513686.35145842,2513583.6482992,2513694.46637406,OK,OK,0,0,f,f,9.88946380000561,8.07902919966728,89,72,sponge,4,Not Studied,38,139,14,Binocular,bobby pin,f,f,go,0,0,2513828.50877096,2513836.37360767,2513839.15531978,2513840.86636525,Return,Return,9,0,0,,,0,0,NaN,NaN,hairpin ,7.840461964719,2,Return,1.65774176549166,2
51,32031609,43,2513586.18989109,2513697.458259,2513589.50188894,2513700.4701148,OK,OK,6,9,NO RESPONSE,NO RESPONSE,NaN,NaN,139,14,bobby pin,4,Binocular,42,62,123,CFS,watering pot,z,z,go,1,1,2513842.5374192,2513848.38100193,2513851.12266245,2513852.53350762,Return,Return,4,1,1,,,0,0,NaN,NaN,NO RESPONSE,5.82703778892756,2,Return,1.37757932581007,2
51,32031609,44,2513591.74327448,2513702.9212811,2513602.86010381,2513716.23976404,OK,OK,0,0,f,f,11.101066774223,13.2917888378724,157,33,axe,4,Not Studied,39,125,111,Binocular,cork screw,f,f,go,0,0,2513854.64484431,2513863.36019134,2513865.44148618,2513867.85293443,Return,Return,2,0,0,,,0,0,NaN,NaN,keys,8.70264668250456,2,Return,2.39366636332124,2
51,32031609,45,2513604.96142564,2513719.33174262,2513615.97819877,2513731.54917026,OK,OK,0,0,f,f,10.9541409569792,12.1763229332864,64,107,watch,4,Not Studied,47,133,192,Not Studied,guitar,f,f,nogo,0,0,2513870.16437417,2513875.23746068,2513877.70902131,2513881.62141765,Return,OK,0,0,0,,,0,0,NaN,NaN,ladel,5.06234602257609,2,NO RESPONSE,NaN,2
51,32031609,46,2513619.32024571,2513734.36087351,2513622.0318828,2513739.07379946,OK,OK,12,6,j,j,2.6109074675478,4.69071300793439,133,192,guitar,4,CFS,45,119,7,Not Studied,pill,j,j,go,1,0,2513883.33245467,2513887.72516389,2513890.24671489,2513891.35739356,Return,Return,8,0.96491594437237,1,3#,3#,1.82547106411402,2.49952902855425,2.01615783382467,2,pill,4.37344950670376,2,Return,1.06703576073051,2
51,32031609,47,2513628.41582317,2513742.89617951,2513631.82793607,2513746.60842511,OK,OK,5,2,NO RESPONSE,NO RESPONSE,NaN,NaN,154,176,ladle,4,Binocular,48,64,107,Binocular,watch,z,z,go,1,1,2513892.95836344,2513895.3298235,2513899.19217906,2513900.40296102,Return,Return,3,1,1,,,0,0,NaN,NaN,clock,2.35503314528614,2,Return,1.11296060541645,2
51,32031609,48,2513634.03925833,2513748.44955626,2513637.75157336,2513752.26191934,OK,OK,2,1,NO RESPONSE,NO RESPONSE,NaN,NaN,26,52,camera,4,Binocular,37,154,176,CFS,ladle,z,z,go,1,1,2513902.47419753,2513906.02636993,2513907.85750826,2513908.96818904,Return,Return,0,1,1,,,0,0,NaN,NaN,ladel,3.53448679670691,2,Return,1.03911797795445,2
51,32031609,49,2513913.9212497,2514021.89759214,2513917.13324266,2514025.50982922,OK,OK,7,3,NO RESPONSE,NO RESPONSE,NaN,NaN,86,29,steering wheel,5,Binocular,54,144,140,CFS,marker,z,z,go,1,1,2514108.94107477,2514119.27743498,2514122.15923166,2514123.46998048,Return,Return,3,1,1,,,0,0,NaN,NaN,marker,10.3178511899896,2,Return,1.24349693814293,2
51,32031609,50,2513919.51469946,2514027.75117402,2513924.9280122,2514030.76302469,OK,OK,2,3,j,j,5.35688012419268,2.97755071148276,71,20,truck,5,CFS,55,124,100,Not Studied,magnifying glass,j,j,go,1,0,2514125.0609829,2514134.69687936,2514136.58804284,2514139.69995756,Return,Return,0,1,1,3#,3#,2.39588606690278,2.99374937094558,2,2,NO RESPONSE,9.62095552682877,2,Return,3.04566858010367,2
51,32031609,51,2513929.82103262,2514034.8355223,2513936.93540102,2514039.8486392,OK,OK,0,0,f,f,7.08176933275536,4.94861330185086,72,89,blanket,5,Not Studied,52,170,172,CFS,notebook,f,f,nogo,0,0,2514141.61120478,2514150.38655131,2514153.23827233,2514156.15009577,Return,OK,10,0,0,,,0,0,NaN,NaN,notebook,8.75768115604296,2,NO RESPONSE,NaN,2
51,32031609,52,2513938.98667121,2514041.76978386,2513942.69894427,2514045.68224902,OK,OK,2,0,NO RESPONSE,NO RESPONSE,NaN,NaN,151,97,key,5,Binocular,58,72,89,Binocular,blanket,z,z,nogo,1,1,2514158.01120593,2514163.044329,2514165.94611193,2514168.6577481,Return,OK,12,1,1,,,0,0,NaN,NaN,NO RESPONSE,5.00484639499336,2,NO RESPONSE,NaN,2
51,32031609,53,2513945.79081509,2514047.96362638,2513949.20293645,2514049.67464167,OK,OK,9,2,f,j,3.3352427938953,1.66790271457285,185,183,lock,5,CFS,56,159,162,Not Studied,crowbar,j,j,go,1,0,2514170.4088696,2514178.06354162,2514180.86528253,2514182.57629812,Return,Return,8,1,0.969233234476344,,3#,2.24563829513701,2.05556012557706,2,2.01412862444611,NO RESPONSE,7.63026859797537,2,Return,1.69357387861237,2
51,32031609,54,2513953.7858226,2514053.91728892,2513956.99773286,2514057.4294046,OK,OK,7,4,NO RESPONSE,NO RESPONSE,NaN,NaN,144,140,marker,5,Binocular,49,86,29,Binocular,steering wheel,z,z,go,1,1,2514184.31737609,2514190.41115425,2514193.04273074,2514193.85324654,Return,Return,7,1,1,,,0,0,NaN,NaN,steering wheel,6.06495364615694,2,Return,0.763464774005115,2
51,32031609,55,2513959.54931636,2514059.63076241,2513967.06392044,2514066.44494591,OK,OK,0,0,f,f,7.47945956792682,6.79960597399622,159,162,crowbar,5,Not Studied,53,71,20,CFS,truck,f,f,go,0,0,2514195.43425432,2514203.82938522,2514206.36094625,2514207.97190443,Return,Return,8,0,0,,,0,0,NaN,NaN,NO RESPONSE,8.37922074925154,2,Return,1.59624331956729,2
