subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType_study,trial_test,item_test,pair_test,tType_test,name_test,roboBCFS_1,roboBCFS_2,gonogo_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,response_noise,rt_noise,RoboRT_noise
20,1749869593,1,91238.1928474989,91318.4899610286,91242.1051386699,91321.6018251468,OK,OK,0,0,f,f,3.90083789650816,3.01563536183676,32,122,chain,1,Not Studied,3,85,25,Binocular,foot stool,f,f,go,0,0,91499.5360626924,91502.267669281,91507.9510304898,91509.1617086822,Return,Return,12,0,0,,,0,0,NaN,NaN,NO RESPONSE,2.71186339380802,2,Return,1.18465567883686,2
20,1749869593,2,91245.1069253011,91324.0532143816,91248.1186900815,91328.5658416892,OK,OK,2,2,f,f,2.98649809128256,4.41997271908622,53,23,floss,1,CFS,4,141,155,CFS,purse,j,j,go,0,1,91511.433044798,91521.1487491922,91523.4301066213,91525.3411994607,Return,Return,2,0.1,0.1,,,2.91868079864533,2.0407101793039,3.49289347245332,3.49289347245332,NO RESPONSE,9.69393490190851,2,Return,1.84073869153508,2
20,1749869593,3,91250.840270829,91332.3780727626,91255.1529035095,91334.6894367811,OK,OK,0,12,f,j,4.2608083034429,2.24676669265318,172,170,paint brush,1,CFS,9,32,122,Binocular,chain,j,j,go,0,1,91527.5325009003,91533.6560796924,91537.3482128708,91539.2593844921,Return,Return,11,0.1,0.1,,3#,3.93473714830306,4.61389595032403,3.49289347245332,3.49289347245332, ,6.10580122363172,2,Return,1.85788721131394,2
20,1749869593,4,91258.7348988315,91340.5728964524,91262.2469900593,91343.3845449614,OK,OK,4,11,NO RESPONSE,NO RESPONSE,NaN,NaN,141,155,purse,1,Binocular,2,53,23,Not Studied,floss,z,z,go,1,1,91541.6707723867,91551.2164274682,91553.527753454,91556.2393140954,Return,Return,1,1,1,,,0,0,NaN,NaN,NO RESPONSE,9.51856644506915,2,Return,2.70131807436701,2
20,1749869593,5,91265.2787389083,91346.5063866253,91268.4906229786,91349.5181535187,OK,OK,7,9,NO RESPONSE,NO RESPONSE,NaN,NaN,61,121,glass,1,Binocular,11,56,99,CFS,clothes pin,z,z,nogo,1,1,91558.0504123378,91562.0026888512,91564.7342574071,91567.9461798119,Return,OK,7,1,1,,,0,0,NaN,NaN,NO RESPONSE,3.93034734415414,2,NO RESPONSE,NaN,2
20,1749869593,6,91273.5836011469,91352.9701555024,91276.6954224029,91355.6817448193,OK,OK,9,11,f,j,3.03631035766739,2.61357181644416,56,99,clothes pin,1,CFS,5,143,128,Not Studied,high heel,j,j,go,0,1,91569.8273276387,91575.5806789681,91578.8625972286,91581.3740536726,Return,Return,9,0.1,0.1,,2@,3.77034451242647,4.52155573307834,3.49289347245332,3.49289347245332,shoe,5.72872727207141,2,Return,2.44521586422343,2
20,1749869593,7,91280.1174356063,91359.8041524459,91283.0291481371,91363.616395895,OK,OK,10,1,NO RESPONSE,NO RESPONSE,NaN,NaN,153,8,knife,1,Binocular,10,184,181,Binocular,mailbox,z,z,nogo,1,1,91583.8956144378,91587.8078612374,91591.009769875,91594.2216216477,Return,OK,7,1,1,,,0,0,NaN,NaN,NO RESPONSE,3.89181297934556,2,NO RESPONSE,NaN,2
20,1749869593,8,91286.2810480362,91366.0778293835,91290.1933512811,91369.7900405048,OK,OK,0,0,f,f,3.82614983253006,3.66518007122795,143,128,high heel,1,Not Studied,6,8,153,Not Studied,bed,f,f,go,0,0,91596.022339379,91598.2936963222,91600.6953901053,91603.6071240672,Return,Return,3,0,0,,,0,0,NaN,NaN,NO RESPONSE,2.25256366023677,2,Return,2.8113004797342,2
20,1749869593,9,91293.3952212824,91373.2920600108,91295.1062232054,91374.402728212,OK,OK,4,10,j,j,1.69565512675035,1.02671796854702,50,80,dresser,1,CFS,12,172,170,CFS,paint brush,j,j,go,0,1,91605.5182392432,91609.8907948501,91612.4222501531,91614.2333305865,Return,Return,7,0.1,0.1,2@,2@,4.90699774340735,3.56701183676349,3.49289347245332,3.49289347245332,NO RESPONSE,4.35600202719797,2,Return,1.71579766484501,2
20,1749869593,10,91300.9796672984,91378.3950534556,91303.9914393232,91382.0071827462,OK,OK,9,3,NO RESPONSE,NO RESPONSE,NaN,NaN,85,25,foot stool,1,Binocular,1,153,8,CFS,knife,z,z,go,1,1,91616.0844177934,91617.2951494126,91620.2068390031,91622.0179001183,Return,Return,12,1,1,,,0,0,NaN,NaN,NO RESPONSE,1.18942153778335,2,Return,1.70678119940567,2
