subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,tType_study,correctDirection,eyes_1,eyes_2,eyePresent,RoboRT
31,1868046996,1,5928523.90198159,5928527.7544422,OK,3,RightArrow,3.7778471019119,4,\RIGHT,1,0,left,3
31,1868046996,2,5928529.93574195,5928534.34853675,OK,1,LeftArrow,4.3836886221543,1,\LEFT,0,1,right,3
31,1868046996,3,5928536.48987681,5928539.4016808,OK,3,RightArrow,2.87730863783509,4,\RIGHT,1,0,left,3
31,1868046996,4,5928543.33423374,5928546.44612171,OK,12,RightArrow,3.02461681328714,4,\RIGHT,1,0,left,3
31,1868046996,5,5928556.10218208,5928559.61437473,OK,9,LeftArrow,3.43194245360792,2,\LEFT,1,0,left,3
31,1868046996,6,5928562.69630832,5928566.80885733,OK,5,LeftArrow,4.10134173929691,2,\LEFT,1,0,left,3
31,1868046996,7,5928568.60996928,5928573.52304646,OK,0,LeftArrow,4.83540022931993,1,\LEFT,0,1,right,3
31,1868046996,8,5928576.34483309,5928582.0584641,OK,12,LeftArrow,5.68411522172391,1,\LEFT,0,1,right,3
31,1868046996,9,5928583.81954392,5928586.63130622,OK,1,RightArrow,2.80105791240931,4,\RIGHT,1,0,left,3
31,1868046996,10,5928588.44240839,5928592.25482751,OK,1,RightArrow,3.76200980413705,3,\RIGHT,0,1,right,3
31,1868046996,11,5928597.68823845,5928600.49996634,OK,12,RightArrow,2.70773654431105,3,\RIGHT,0,1,right,3
31,1868046996,12,5928603.08163839,5928606.49376068,OK,9,LeftArrow,3.36998870130628,2,\LEFT,1,0,left,3
31,1868046996,13,5928609.2854885,5928611.59691923,OK,11,LeftArrow,2.28588754590601,2,\LEFT,1,0,left,3
31,1868046996,14,5928614.37869396,5928616.99030529,OK,11,LeftArrow,2.58437810000032,2,\LEFT,1,0,left,3
31,1868046996,15,5928618.92152466,5928622.23358987,OK,3,LeftArrow,3.20926705840975,2,\LEFT,1,0,left,3
31,1868046996,16,5928623.88462269,5928629.19797739,OK,0,RightArrow,5.30172816384584,3,\RIGHT,0,1,right,3
31,1868046996,17,5928630.92905061,5928633.74079843,OK,1,LeftArrow,2.70514639746398,1,\LEFT,0,1,right,3
31,1868046996,18,5928636.34242888,5928638.75397283,OK,11,LeftArrow,2.34744255803525,1,\LEFT,0,1,right,3
31,1868046996,19,5928641.04539444,5928643.35685806,OK,7,LeftArrow,2.28428383450955,1,\LEFT,0,1,right,3
31,1868046996,20,5928646.07852937,5928649.09043692,OK,11,LeftArrow,2.93078230507672,2,\LEFT,1,0,left,3
31,1868046996,21,5928652.93281494,5928655.54446581,OK,7,RightArrow,2.54825156740844,3,\RIGHT,0,1,right,3
31,1868046996,22,5928657.33555764,5928659.64706142,OK,3,RightArrow,2.29716544691473,3,\RIGHT,0,1,right,3
31,1868046996,23,5928662.12858643,5928664.6401941,OK,9,RightArrow,2.41596962697804,3,\RIGHT,0,1,right,3
31,1868046996,24,5928666.50133794,5928668.91285442,OK,3,LeftArrow,2.38694403972477,1,\LEFT,0,1,right,3
31,1868046996,25,5928670.78405247,5928673.29561305,OK,3,LeftArrow,2.48006890621036,2,\LEFT,1,0,left,3
31,1868046996,26,5928674.86657225,5928678.6789633,OK,0,LeftArrow,3.71726041473448,1,\LEFT,0,1,right,3
31,1868046996,27,5928681.39066068,5928683.60207508,OK,12,LeftArrow,2.16889595612884,2,\LEFT,1,0,left,3
31,1868046996,28,5928686.11358646,5928688.42507061,OK,9,RightArrow,2.23767929337919,4,\RIGHT,1,0,left,3
31,1868046996,29,5928690.00608674,5928693.31816282,OK,0,RightArrow,3.25694587174803,3,\RIGHT,0,1,right,3
31,1868046996,30,5928695.49950029,5928697.61085972,OK,6,LeftArrow,2.01929736696184,1,\LEFT,0,1,right,3
31,1868046996,31,5928700.4726157,5928702.78409442,OK,1,RightArrow,2.24590733461082,4,\RIGHT,1,0,left,3
31,1868046996,32,5928705.1455463,5928707.45702653,OK,8,LeftArrow,2.22869784198701,1,\LEFT,0,1,right,3
31,1868046996,33,5928709.08801581,5928711.39950419,OK,1,LeftArrow,2.26205040328205,2,\LEFT,1,0,left,3
31,1868046996,34,5928713.90104587,5928715.81225975,OK,9,RightArrow,1.89672523364425,4,\RIGHT,1,0,left,3
31,1868046996,35,5928717.62338244,5928720.03490496,OK,1,RightArrow,2.33426543604583,3,\RIGHT,0,1,right,3
31,1868046996,36,5928722.16624212,5928724.17747082,OK,5,RightArrow,1.99907121807337,4,\RIGHT,1,0,left,3
31,1868046996,37,5928726.44890081,5928728.86040341,OK,6,RightArrow,2.34026192501187,4,\RIGHT,1,0,left,3
31,1868046996,38,5928731.6321523,5928734.74409761,OK,12,RightArrow,3.0287089496851,3,\RIGHT,0,1,right,3
31,1868046996,39,5928737.53585713,5928740.64779249,OK,12,RightArrow,3.04470350965858,3,\RIGHT,0,1,right,3
31,1868046996,40,5928742.88924275,5928745.30069645,OK,6,RightArrow,2.37902448512614,4,\RIGHT,1,0,left,3
