subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,item,tType_study,eyes_1,eyes_2,transparency,pas,RoboRT,meanRoboRT,roboBCFS
23,1775809648,1,5006153.23458235,5006160.64922475,OK,1,f,7.37029054854065,11,CATCH,0,0,0,,0,NaN,f
23,1775809648,2,5006166.48284801,5006168.09392144,OK,7,j,1.5696621639654,16,CFS,0,1,0.5,2@,2.61916853605565,2.34671662001737,j
23,1775809648,3,5006178.04012661,5006183.05326751,OK,1,f,4.94761811196804,1,CATCH,0,0,0,,0,NaN,f
23,1775809648,4,5006186.78556683,5006188.1964594,OK,9,j,1.36180654074997,19,CFS,0,1,0.389400391535702,2@,2.65691577968463,2.49054657589196,j
23,1775809648,5,5006196.83188673,5006199.44352733,OK,0,j,2.54695573914796,4,CFS,0,1,0.343644639395486,1!,2.92481334269839,2.56660933584118,j
23,1775809648,6,5006209.59986224,5006212.51170939,OK,8,j,2.89827099069953,7,CFS,0,1,0.303265329856317,2@,2.91429542495326,2.64557860575162,j
23,1775809648,7,5006218.16522972,5006219.57617421,OK,0,j,1.34859682060778,14,CFS,0,1,0.267630714259495,3#,5.32296418818304,2.72756544917343,j
23,1775809648,8,5006225.92007459,5006227.33100036,OK,6,j,1.38533338531852,8,CFS,0,1,0.236183276370507,3#,2.22418113599243,2.81268517361682,j
23,1775809648,9,5006232.11397614,5006234.72560889,OK,0,j,2.50294768437743,13,CFS,0,1,0.208431009839254,2@,4.54016252910095,2.90105749272224,j
23,1775809648,10,5006240.95954015,5006243.27096454,OK,2,j,2.27300925180316,20,CFS,0,1,0.183939720585721,2@,2.30389121678953,2.99280669462744,j
23,1775809648,11,5006252.15655978,5006254.96830639,OK,1,f,2.76339045260102,10,CATCH,0,0,0,,0,NaN,f
23,1775809648,12,5006257.78000229,5006258.79066261,OK,3,j,0.987722986377776,18,CFS,0,1,0.162326233679175,2@,3.92994154746244,3.0880618167681,j
23,1775809648,13,5006264.58431019,5006266.99582425,OK,1,f,2.32700270041823,9,CATCH,0,0,0,,0,NaN,f
23,1775809648,14,5006270.13783109,5006272.44926967,OK,8,j,2.27716598473489,12,CFS,0,1,0.143252398430095,1!,3.5418152101732,3.18695682735802,j
23,1775809648,15,5006277.5324363,5006279.14345872,OK,1,j,1.59416457731277,17,CFS,0,1,0.126419797902373,2@,3.42244534605725,3.28963081380402,j
23,1775809648,16,5006283.78636643,5006286.89832683,OK,2,f,3.00382590852678,3,CFS,0,1,0.111565080074215,,3.79386849664266,3.39622817832047,j
23,1775809648,17,5006291.30104388,5006293.51243745,OK,12,j,2.2007670532912,5,CFS,0,1,0.111565080074215,1!,2.87898635035788,3.39622817832047,j
23,1775809648,18,5006298.31546249,5006300.82701975,OK,6,f,2.4979518186301,15,CFS,0,1,0.1,,3.23851004566807,3.49289347245332,j
23,1775809648,19,5006304.17912886,5006307.79140757,OK,6,f,3.56204204168171,2,CFS,0,1,0.1,,4.20168975682096,3.49289347245332,j
23,1775809648,20,5006311.06342405,5006312.47429578,OK,0,j,1.39738190174103,6,CFS,0,1,0.1,1!,3.95774855222898,3.49289347245332,j
